Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
HA1 1AA,Yes,51.582384,-0.333160,515588,188374,TQ155883,6/1/2024 12:00:00 AM,,72,,,Harrow-on-the-Hill,0.4,Harrow,Affinity Water,Thames Water,Harrow,Greenhill,
HA1 1AB,No,51.581183,-0.334915,515469,188238,TQ154882,7/1/1990 12:00:00 AM,9/1/2000 12:00:00 AM,70,,,Harrow-on-the-Hill,0.2,Harrow,,,Harrow,Greenhill,
HA1 1AE,No,51.585855,-0.338425,515214,188752,TQ152887,1/1/1992 12:00:00 AM,6/1/1999 12:00:00 AM,64,,,Harrow-on-the-Hill,0.7,Harrow,,,Harrow,Marlborough,
HA1 1AF,Yes,51.582384,-0.333160,515588,188374,TQ155883,8/1/2022 12:00:00 AM,,72,,,Harrow-on-the-Hill,0.4,Harrow,,,Harrow,Greenhill,
HA1 1AG,No,51.580394,-0.337556,515288,188146,TQ152881,7/1/1990 12:00:00 AM,6/1/2004 12:00:00 AM,71,,,Harrow-on-the-Hill,0.1,Harrow,,,Harrow,Greenhill,
HA1 1AH,No,51.580228,-0.339179,515176,188125,TQ151881,1/1/1991 12:00:00 AM,12/1/1999 12:00:00 AM,67,,,Harrow-on-the-Hill,0.2,Harrow,,,Harrow,Greenhill,
HA1 1AL,No,51.579998,-0.338841,515200,188100,TQ151880,2/1/1990 12:00:00 AM,5/1/1994 12:00:00 AM,68,,,Harrow-On-The-Hill,0.1,Harrow,,,Harrow,Greenhill,
HA1 1AN,No,51.580856,-0.335923,515400,188200,TQ154882,12/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,72,,,Harrow-on-the-Hill,0.2,Harrow,,,Harrow,Greenhill,
HA1 1AP,No,51.581149,-0.334368,515507,188235,TQ155882,3/1/1988 12:00:00 AM,10/1/2011 12:00:00 AM,70,,,Harrow-on-the-Hill,0.3,Harrow,Affinity Water,Thames Water,Harrow,Greenhill,
HA1 1AQ,No,51.585237,-0.329686,515821,188697,TQ158886,5/1/1994 12:00:00 AM,9/1/2005 12:00:00 AM,57,,,Harrow-on-the-Hill,0.8,Harrow,,,Harrow,Greenhill,
HA1 1AR,Yes,51.579767,-0.336359,515373,188078,TQ153880,10/1/2016 12:00:00 AM,,72,,,Harrow-on-the-Hill,0.1,Harrow,Affinity Water,Thames Water,Harrow,Greenhill,
