Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CO1 1FU,No,51.946839,1.054201,610000,232000,TM100320,1/1/1991 12:00:00 AM,1/1/1995 12:00:00 AM,7,,,Manningtree,0.7,Lawford,,,Tendring,"Lawford, Manningtree & Mistley",Tendring Rural West
CO1 1FX,No,51.912155,0.986404,605500,227950,TM054279,12/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,35,,,Hythe (Essex),5.0,,,,Tendring,Ardleigh & Little Bromley,Tendring Rural West
CO1 2AU,Yes,51.878667,0.915987,600807,224030,TM008240,1/1/1980 12:00:00 AM,,26,47,37,Hythe (Essex),1.1,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2AX,Yes,51.877989,0.915391,600769,223953,TM007239,1/1/1980 12:00:00 AM,,25,6,6,Hythe (Essex),1.2,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2EH,No,51.879334,0.914475,600700,224100,TM006241,4/1/1985 12:00:00 AM,1/1/1995 12:00:00 AM,28,,,Colchester Town,1.0,Colchester,,,Colchester,Old Heath and The Hythe,Abbey
CO1 2EP,Yes,51.879734,0.916230,600819,224149,TM008241,10/1/1985 12:00:00 AM,,25,5,1,Hythe (Essex),1.0,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2ER,Yes,51.879481,0.916897,600866,224123,TM008241,1/1/1980 12:00:00 AM,,24,48,41,Hythe (Essex),1.0,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2ES,Yes,51.879845,0.914901,600727,224158,TM007241,1/1/1980 12:00:00 AM,,28,82,30,Colchester Town,1.0,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2ET,Yes,51.877902,0.916737,600862,223947,TM008239,1/1/1980 12:00:00 AM,,23,47,37,Hythe (Essex),1.1,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2EX,Yes,51.877536,0.918791,601005,223912,TM010239,1/1/1980 12:00:00 AM,,19,69,28,Hythe (Essex),1.1,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2EY,Yes,51.877173,0.920017,601091,223875,TM010238,1/1/1980 12:00:00 AM,,15,10,5,Hythe (Essex),1.1,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2EZ,Yes,51.878578,0.920268,601102,224032,TM011240,1/1/1980 12:00:00 AM,,20,71,27,Hythe (Essex),0.9,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2FE,Yes,51.884360,0.923593,601305,224684,TM013246,12/1/2000 12:00:00 AM,,13,46,13,Hythe (Essex),0.3,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2FG,Yes,51.883452,0.923549,601306,224583,TM013245,12/1/2000 12:00:00 AM,,13,106,36,Hythe (Essex),0.4,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2FH,Yes,51.883211,0.923955,601335,224557,TM013245,12/1/2000 12:00:00 AM,,12,10,8,Hythe (Essex),0.4,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2FP,Yes,51.883624,0.920988,601129,224595,TM011245,12/1/2010 12:00:00 AM,,21,19,10,Hythe (Essex),0.5,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2FR,Yes,51.882816,0.920586,601105,224504,TM011245,3/1/2011 12:00:00 AM,,23,5,3,Hythe (Essex),0.6,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2FS,Yes,51.882465,0.922380,601230,224470,TM012244,4/1/2012 12:00:00 AM,,19,,,Hythe (Essex),0.5,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2FT,Yes,51.883487,0.918915,600987,224574,TM009245,12/1/2010 12:00:00 AM,,23,37,21,Hythe (Essex),0.6,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2FY,Yes,51.885458,0.921005,601122,224799,TM011247,2/1/2012 12:00:00 AM,,15,8,7,Hythe (Essex),0.4,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2GJ,Yes,51.885100,0.921301,601144,224760,TM011247,9/1/2006 12:00:00 AM,,18,38,16,Hythe (Essex),0.4,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2GL,Yes,51.883450,0.925801,601461,224589,TM014245,6/1/1999 12:00:00 AM,,5,53,16,Hythe (Essex),0.3,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2GS,Yes,51.878684,0.921103,601159,224046,TM011240,3/1/2004 12:00:00 AM,,21,60,21,Hythe (Essex),0.9,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2GU,Yes,51.882930,0.924401,601367,224527,TM013245,6/1/1998 12:00:00 AM,,7,1,1,Hythe (Essex),0.4,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2GW,Yes,51.885500,0.923289,601279,224810,TM012248,6/1/1996 12:00:00 AM,,11,49,19,Hythe (Essex),0.3,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2GX,Yes,51.886159,0.924291,601345,224886,TM013248,6/1/1996 12:00:00 AM,,6,83,48,Hythe (Essex),0.2,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2GY,Yes,51.885583,0.924312,601349,224822,TM013248,6/1/1996 12:00:00 AM,,9,54,26,Hythe (Essex),0.2,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2GZ,Yes,51.886016,0.923178,601269,224867,TM012248,6/1/1996 12:00:00 AM,,7,8,2,Hythe (Essex),0.3,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2HA,Yes,51.877801,0.920436,601117,223946,TM011239,1/1/1980 12:00:00 AM,,17,110,43,Hythe (Essex),1.0,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2HB,Yes,51.877854,0.919001,601018,223948,TM010239,1/1/1980 12:00:00 AM,,20,84,33,Hythe (Essex),1.0,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2HD,Yes,51.878763,0.917534,600913,224045,TM009240,1/1/1980 12:00:00 AM,,24,48,18,Hythe (Essex),1.0,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2HE,Yes,51.879193,0.918695,600991,224096,TM009240,1/1/1980 12:00:00 AM,,22,77,30,Hythe (Essex),0.9,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2HF,Yes,51.879394,0.920757,601132,224124,TM011241,1/1/1980 12:00:00 AM,,22,45,18,Hythe (Essex),0.8,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2HG,Yes,51.880784,0.921632,601186,224281,TM011242,1/1/1980 12:00:00 AM,,25,,,Hythe (Essex),0.7,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2HH,Yes,51.878765,0.921428,601181,224056,TM011240,1/1/1980 12:00:00 AM,,22,5,2,Hythe (Essex),0.9,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2HJ,Yes,51.878026,0.922586,601264,223977,TM012239,1/1/1980 12:00:00 AM,,22,40,0,Hythe (Essex),0.9,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2HL,Yes,51.880343,0.920920,601139,224230,TM011242,1/1/1980 12:00:00 AM,,24,37,14,Hythe (Essex),0.7,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2HP,Yes,51.879396,0.922457,601249,224129,TM012241,7/1/1990 12:00:00 AM,,21,93,59,Hythe (Essex),0.8,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2HQ,No,51.880292,0.921891,601206,224227,TM012242,1/1/1980 12:00:00 AM,9/1/2001 12:00:00 AM,24,,,Hythe (Essex),0.7,Colchester,,,Colchester,Old Heath and The Hythe,Abbey
CO1 2HU,Yes,51.878504,0.918926,601010,224020,TM010240,7/1/1990 12:00:00 AM,,21,25,17,Hythe (Essex),1.0,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2HW,No,51.881611,0.919840,601059,224368,TM010243,12/1/2000 12:00:00 AM,6/1/2024 12:00:00 AM,25,,,Hythe (Essex),0.7,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2JN,No,51.880950,0.921105,601149,224298,TM011242,1/1/2004 12:00:00 AM,1/1/2004 12:00:00 AM,24,,,Hythe (Essex),0.7,Colchester,,,Colchester,Old Heath and The Hythe,Abbey
CO1 2JW,No,51.880860,0.922174,601223,224291,TM012242,1/1/1980 12:00:00 AM,11/1/2015 12:00:00 AM,23,,,Hythe (Essex),0.6,Colchester,,,Colchester,Old Heath and The Hythe,Abbey
CO1 2LB,Yes,51.880051,0.922195,601228,224201,TM012242,1/1/1995 12:00:00 AM,,23,29,15,Hythe (Essex),0.7,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2NB,Yes,51.884583,0.919291,601008,224697,TM010246,1/1/1980 12:00:00 AM,,23,29,11,Hythe (Essex),0.6,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2ND,No,51.885003,0.919435,601016,224744,TM010247,1/1/1980 12:00:00 AM,11/1/2001 12:00:00 AM,23,,,Hythe (Essex),0.6,Colchester,,,Colchester,Old Heath and The Hythe,Abbey
CO1 2NE,Yes,51.884341,0.919988,601057,224672,TM010246,7/1/1995 12:00:00 AM,,21,9,4,Hythe (Essex),0.5,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2NF,Yes,51.884681,0.921623,601168,224714,TM011247,1/1/1980 12:00:00 AM,,18,21,11,Hythe (Essex),0.4,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2NG,Yes,51.884829,0.919918,601050,224726,TM010247,5/1/2004 12:00:00 AM,,22,47,15,Hythe (Essex),0.5,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2NH,Yes,51.884257,0.924459,601365,224675,TM013246,1/1/1980 12:00:00 AM,,10,65,31,Hythe (Essex),0.3,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2NJ,Yes,51.885065,0.920529,601091,224754,TM010247,1/1/2005 12:00:00 AM,,20,8,4,Hythe (Essex),0.5,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2NL,Yes,51.885428,0.920058,601057,224793,TM010247,11/1/2004 12:00:00 AM,,19,45,26,Hythe (Essex),0.5,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2NN,Yes,51.884258,0.922729,601246,224670,TM012246,1/1/1980 12:00:00 AM,,16,,,Hythe (Essex),0.4,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2NP,Yes,51.884507,0.924664,601378,224703,TM013247,1/1/1980 12:00:00 AM,,10,84,44,Hythe (Essex),0.2,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2NQ,Yes,51.884473,0.921203,601140,224690,TM011246,1/1/1980 12:00:00 AM,,19,81,35,Hythe (Essex),0.5,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2NR,Yes,51.884748,0.924970,601398,224731,TM013247,1/1/1980 12:00:00 AM,,9,5,3,Hythe (Essex),0.2,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2NS,Yes,51.885100,0.923859,601320,224767,TM013247,1/1/1980 12:00:00 AM,,12,105,45,Hythe (Essex),0.3,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2NT,Yes,51.885168,0.920027,601056,224764,TM010247,7/1/2004 12:00:00 AM,,21,30,12,Hythe (Essex),0.5,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2NU,Yes,51.883890,0.921121,601137,224625,TM011246,1/1/1980 12:00:00 AM,,20,88,35,Hythe (Essex),0.5,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2NX,No,51.882288,0.919506,601033,224442,TM010244,1/1/1980 12:00:00 AM,7/1/2022 12:00:00 AM,25,,,Hythe (Essex),0.7,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2NY,No,51.883715,0.919119,601000,224600,TM010245,12/1/1997 12:00:00 AM,6/1/1998 12:00:00 AM,23,,,Hythe (Essex),0.6,Colchester,,,Colchester,Old Heath and The Hythe,Abbey
CO1 2NZ,Yes,51.884190,0.919557,601028,224654,TM010246,1/1/1980 12:00:00 AM,,22,7,4,Hythe (Essex),0.6,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
CO1 2PU,Yes,51.883991,0.924659,601380,224646,TM013246,12/1/1997 12:00:00 AM,,9,17,8,Hythe (Essex),0.3,Colchester,Anglian Water,,Colchester,Old Heath and The Hythe,Abbey
