Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
HP14 3YJ,Yes,51.667418,-0.925150,474432,197062,SU744970,1/1/1980 12:00:00 AM,,248,2,2,Saunderton,6.9,,Thames Water,,South Oxfordshire,Chinnor,Thame and Chinnor
HP14 3YL,Yes,51.658625,-0.945547,473036,196064,SU730960,1/1/1980 12:00:00 AM,,249,,,Saunderton,8.5,,Thames Water,,South Oxfordshire,Haseley Brook,Chalgrove and Watlington
HP14 3YQ,Yes,51.655151,-0.932799,473923,195690,SU739956,1/1/1980 12:00:00 AM,,172,4,1,Saunderton,7.7,,Thames Water,,South Oxfordshire,Haseley Brook,Chalgrove and Watlington
HP14 4ED,Yes,51.672221,-0.881428,477448,197642,SU774976,1/1/1980 12:00:00 AM,,160,9,3,Saunderton,3.9,,Thames Water,,South Oxfordshire,Chinnor,Thame and Chinnor
HP18 9JF,Yes,51.766039,-1.083002,463378,207882,SP633078,9/1/2005 12:00:00 AM,,61,4,1,Haddenham and Thame Parkway,9.7,,Thames Water,,South Oxfordshire,Forest Hill & Holton,Wheatley
HP18 9JZ,Yes,51.778983,-1.090597,462836,209315,SP628093,1/1/1980 12:00:00 AM,,74,4,1,Haddenham and Thame Parkway,10.2,,Thames Water,,South Oxfordshire,Forest Hill & Holton,Wheatley
HP18 9XF,Yes,51.780298,-1.107385,461676,209447,SP616094,1/1/1980 12:00:00 AM,,71,,,Islip,10.3,,Thames Water,,South Oxfordshire,Forest Hill & Holton,Wheatley
HP18 9XN,No,51.775222,-1.086846,463100,208900,SP630088,9/1/1991 12:00:00 AM,12/1/1992 12:00:00 AM,70,,,Haddenham and Thame Parkway,10.0,,,,South Oxfordshire,Forest Hill & Holton,Wheatley
HP18 9XQ,No,51.775222,-1.086846,463100,208900,SP630088,7/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,70,,,Haddenham and Thame Parkway,10.0,,,,South Oxfordshire,Forest Hill & Holton,Wheatley
HP18 9XW,No,51.775222,-1.086846,463100,208900,SP630088,9/1/1991 12:00:00 AM,1/1/1995 12:00:00 AM,70,,,Haddenham and Thame Parkway,10.0,,,,South Oxfordshire,Forest Hill & Holton,Wheatley
OX10 0JB,No,51.640796,-1.145907,459200,193900,SU591939,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,48,,,Culham,6.4,,,,South Oxfordshire,Benson & Crowmarsh,Berinsfield and Garsington
OX10 0JD,No,51.680457,-1.159625,458200,198300,SU581983,7/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,61,,,Radley,5.6,,,,South Oxfordshire,Haseley Brook,Berinsfield and Garsington
OX10 1SA,No,51.601186,-1.112951,461534,189522,SU615895,2/1/2005 12:00:00 AM,1/1/2016 12:00:00 AM,49,,,Cholsey,4.6,Crowmarsh Gifford,,,South Oxfordshire,Benson & Crowmarsh,Benson and Cholsey
OX10 1SB,No,51.601186,-1.112951,461534,189522,SU615895,3/1/2015 12:00:00 AM,1/1/2016 12:00:00 AM,49,,,Cholsey,4.6,Crowmarsh Gifford,,,South Oxfordshire,Benson & Crowmarsh,Benson and Cholsey
OX10 1SD,No,51.601186,-1.112951,461534,189522,SU615895,3/1/2015 12:00:00 AM,1/1/2016 12:00:00 AM,49,,,Cholsey,4.6,Crowmarsh Gifford,,,South Oxfordshire,Benson & Crowmarsh,Benson and Cholsey
OX10 1SE,No,51.601186,-1.112951,461534,189522,SU615895,2/1/2005 12:00:00 AM,1/1/2016 12:00:00 AM,49,,,Cholsey,4.6,Crowmarsh Gifford,,,South Oxfordshire,Benson & Crowmarsh,Benson and Cholsey
OX10 1SF,No,51.601186,-1.112951,461534,189522,SU615895,2/1/2005 12:00:00 AM,1/1/2016 12:00:00 AM,49,,,Cholsey,4.6,Crowmarsh Gifford,,,South Oxfordshire,Benson & Crowmarsh,Benson and Cholsey
OX10 1SG,No,51.601186,-1.112951,461534,189522,SU615895,2/1/2005 12:00:00 AM,1/1/2016 12:00:00 AM,49,,,Cholsey,4.6,Crowmarsh Gifford,,,South Oxfordshire,Benson & Crowmarsh,Benson and Cholsey
OX10 1SH,No,51.601186,-1.112951,461534,189522,SU615895,2/1/2005 12:00:00 AM,1/1/2016 12:00:00 AM,49,,,Cholsey,4.6,Crowmarsh Gifford,,,South Oxfordshire,Benson & Crowmarsh,Benson and Cholsey
OX10 1SJ,No,51.601186,-1.112951,461534,189522,SU615895,2/1/2005 12:00:00 AM,1/1/2016 12:00:00 AM,49,,,Cholsey,4.6,Crowmarsh Gifford,,,South Oxfordshire,Benson & Crowmarsh,Benson and Cholsey
OX10 1SL,No,51.601186,-1.112951,461534,189522,SU615895,2/1/2005 12:00:00 AM,1/1/2016 12:00:00 AM,49,,,Cholsey,4.6,Crowmarsh Gifford,,,South Oxfordshire,Benson & Crowmarsh,Benson and Cholsey
