Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
GL17 0LS,Yes,51.898639,-2.465151,368091,222335,SO680223,1/1/1980 12:00:00 AM,,91,40,15,Gloucester,16.0,,Severn Trent,,"Herefordshire, County of",Penyard,
GL17 0LT,Yes,51.893666,-2.465594,368057,221782,SO680217,1/1/1980 12:00:00 AM,,117,11,4,Gloucester,15.9,,Severn Trent,,"Herefordshire, County of",Penyard,
GL17 9BH,Yes,51.861174,-2.544458,362603,218206,SO626182,1/1/1980 12:00:00 AM,,198,,,Lydney,16.4,,Severn Trent,,"Herefordshire, County of",Kerne Bridge,
GL17 9BJ,Yes,51.868230,-2.550991,362159,218994,SO621189,1/1/1980 12:00:00 AM,,215,35,15,Lydney,17.2,,Severn Trent,,"Herefordshire, County of",Kerne Bridge,
GL17 9BL,Yes,51.865755,-2.545414,362541,218716,SO625187,1/1/1980 12:00:00 AM,,204,3,2,Lydney,16.9,,Severn Trent,,"Herefordshire, County of",Penyard,
GL17 9BN,Yes,51.867135,-2.542468,362745,218868,SO627188,1/1/1980 12:00:00 AM,,157,3,2,Lydney,17.0,,Severn Trent,,"Herefordshire, County of",Penyard,
GL18 1JP,Yes,51.908177,-2.447224,369331,223388,SO693233,1/1/1980 12:00:00 AM,,97,4,3,Gloucester,15.1,,Severn Trent,,"Herefordshire, County of",Penyard,
GL18 1NR,Yes,51.917143,-2.451021,369076,224387,SO690243,1/1/1980 12:00:00 AM,,66,32,13,Ledbury,14.3,,Severn Trent,,"Herefordshire, County of",Penyard,
GL18 1NS,Yes,51.915919,-2.449133,369205,224250,SO692242,1/1/1980 12:00:00 AM,,85,26,11,Ledbury,14.5,,Severn Trent,,"Herefordshire, County of",Penyard,
GL18 1NT,Yes,51.918932,-2.456026,368733,224588,SO687245,1/1/1980 12:00:00 AM,,62,9,4,Ledbury,14.2,,Severn Trent,,"Herefordshire, County of",Penyard,
GL18 1NZ,Yes,51.923438,-2.460231,368447,225091,SO684250,1/1/1980 12:00:00 AM,,68,6,4,Ledbury,13.7,,Severn Trent,,"Herefordshire, County of",Penyard,
GL18 1PA,Yes,51.921754,-2.462991,368256,224905,SO682249,1/1/1980 12:00:00 AM,,64,28,10,Ledbury,14.0,,Severn Trent,,"Herefordshire, County of",Penyard,
GL18 1PF,Yes,51.922083,-2.470904,367712,224945,SO677249,1/1/1980 12:00:00 AM,,75,16,7,Ledbury,14.0,,Severn Trent,,"Herefordshire, County of",Penyard,
GL18 1PG,Yes,51.917538,-2.469723,367790,224439,SO677244,1/1/1980 12:00:00 AM,,95,35,16,Ledbury,14.5,,Severn Trent,,"Herefordshire, County of",Penyard,
GL18 1PQ,Yes,51.920600,-2.461641,368348,224776,SO683247,1/1/1980 12:00:00 AM,,61,6,3,Ledbury,14.1,,Severn Trent,,"Herefordshire, County of",Penyard,
HR1 1AA,Yes,52.060745,-2.710027,351418,240501,SO514405,2/1/1990 12:00:00 AM,,54,,,Hereford,0.1,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Widemarsh,
HR1 1AT,Yes,52.053273,-2.678130,353597,239649,SO535396,4/1/1986 12:00:00 AM,,63,82,32,Hereford,2.2,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Tupsley,
HR1 1AU,Yes,52.053733,-2.677875,353615,239700,SO536397,4/1/1986 12:00:00 AM,,64,20,8,Hereford,2.2,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Tupsley,
HR1 1AY,Yes,52.052264,-2.676921,353679,239536,SO536395,4/1/1986 12:00:00 AM,,63,35,15,Hereford,2.4,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Tupsley,
HR1 1AZ,Yes,52.051974,-2.677280,353654,239504,SO536395,4/1/1986 12:00:00 AM,,65,103,42,Hereford,2.3,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Tupsley,
HR1 1BA,No,52.061446,-2.710111,351413,240579,SO514405,2/1/1984 12:00:00 AM,10/1/2002 12:00:00 AM,55,,,Hereford,0.1,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Widemarsh,
HR1 1BB,Yes,52.061798,-2.711285,351333,240619,SO513406,1/1/1980 12:00:00 AM,,55,,,Hereford,0.2,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Widemarsh,
HR1 1BD,No,52.060486,-2.696253,352362,240463,SO523404,1/1/1995 12:00:00 AM,12/1/1998 12:00:00 AM,83,,,Hereford,0.8,Hereford,,,"Herefordshire, County of",Aylestone Hill,
HR1 1BE,Yes,52.061183,-2.705950,351698,240547,SO516405,1/1/1980 12:00:00 AM,,59,39,18,Hereford,0.2,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",College,
HR1 1BG,Yes,52.061988,-2.706590,351655,240637,SO516406,1/1/1980 12:00:00 AM,,59,73,31,Hereford,0.1,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",College,
HR1 1BH,Yes,52.062184,-2.705513,351729,240658,SO517406,1/1/1980 12:00:00 AM,,62,69,27,Hereford,0.2,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",College,
HR1 1BJ,Yes,52.063045,-2.705731,351715,240754,SO517407,1/1/1980 12:00:00 AM,,62,23,11,Hereford,0.3,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",College,
HR1 1BL,Yes,52.061980,-2.703570,351862,240634,SO518406,1/1/1980 12:00:00 AM,,68,76,29,Hereford,0.3,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",College,
HR1 1BN,Yes,52.062962,-2.704694,351786,240744,SO517407,1/1/1980 12:00:00 AM,,65,46,22,Hereford,0.3,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",College,
HR1 1BP,Yes,52.064036,-2.702450,351941,240862,SO519408,1/1/1980 12:00:00 AM,,80,53,22,Hereford,0.5,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",College,
HR1 1BQ,Yes,52.061163,-2.704841,351774,240544,SO517405,1/1/1980 12:00:00 AM,,62,19,9,Hereford,0.2,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",College,
HR1 1BS,No,52.064365,-2.704512,351800,240900,SO517408,1/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,72,,,Hereford,0.4,Hereford,,,"Herefordshire, County of",College,
HR1 1BT,Yes,52.064909,-2.705396,351740,240961,SO517409,1/1/1980 12:00:00 AM,,73,74,27,Hereford,0.5,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",College,
HR1 1BU,Yes,52.066558,-2.706239,351684,241145,SO516411,1/1/1980 12:00:00 AM,,76,40,18,Hereford,0.6,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",College,
HR1 1BW,Yes,52.063454,-2.703491,351869,240798,SO518407,1/1/1980 12:00:00 AM,,72,104,41,Hereford,0.4,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",College,
HR1 1BX,Yes,52.066271,-2.707635,351588,241114,SO515411,1/1/1980 12:00:00 AM,,72,48,15,Hereford,0.6,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",College,
HR1 1BY,Yes,52.064844,-2.708604,351520,240956,SO515409,1/1/1980 12:00:00 AM,,64,112,44,Hereford,0.4,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",College,
HR1 1BZ,Yes,52.064281,-2.708128,351552,240893,SO515408,1/1/1980 12:00:00 AM,,62,62,23,Hereford,0.3,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",College,
HR1 1DA,Yes,52.062164,-2.708795,351504,240658,SO515406,6/1/2001 12:00:00 AM,,56,16,10,Hereford,0.1,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",College,
HR1 1DB,Yes,52.063888,-2.712177,351274,240852,SO512408,11/1/2002 12:00:00 AM,,58,117,48,Hereford,0.4,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",College,
HR1 1DD,Yes,52.063840,-2.711141,351345,240846,SO513408,12/1/2002 12:00:00 AM,,58,25,12,Hereford,0.4,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",College,
