Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CM20 2EX,No,51.798789,0.132836,547169,213278,TL471132,1/1/1980 12:00:00 AM,4/1/2002 12:00:00 AM,52,,,Harlow Mill,0.9,Sawbridgeworth,Affinity Water,,East Hertfordshire,Sawbridgeworth,Sawbridgeworth
CM20 2FG,Yes,51.785345,0.095345,544627,211708,TL446117,3/1/2009 12:00:00 AM,,45,2,1,Harlow Town,0.5,Harlow,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2FN,Yes,51.784887,0.097191,544756,211661,TL447116,3/1/2016 12:00:00 AM,,49,,,Harlow Town,0.4,Harlow,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2FP,Yes,51.785655,0.097502,544775,211747,TL447117,4/1/2015 12:00:00 AM,,49,,,Harlow Town,0.5,Harlow,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2FR,Yes,51.786327,0.098304,544828,211823,TL448118,5/1/2015 12:00:00 AM,,47,,,Harlow Town,0.6,Harlow,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2FT,Yes,51.785390,0.098215,544825,211719,TL448117,5/1/2016 12:00:00 AM,,48,,,Harlow Town,0.5,Harlow,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2FU,Yes,51.785181,0.097335,544765,211694,TL447116,5/1/2016 12:00:00 AM,,47,,,Harlow Town,0.5,Harlow,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2FW,Yes,51.784196,0.097101,544752,211584,TL447115,6/1/2016 12:00:00 AM,,46,,,Harlow Town,0.4,Harlow,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2FX,Yes,51.784482,0.098231,544829,211618,TL448116,4/1/2017 12:00:00 AM,,47,,,Harlow Town,0.4,Harlow,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2FY,Yes,51.785185,0.099134,544889,211698,TL448116,10/1/2016 12:00:00 AM,,47,,,Harlow Town,0.5,Harlow,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2FZ,Yes,51.785557,0.100110,544955,211741,TL449117,9/1/2014 12:00:00 AM,,46,,,Harlow Town,0.6,Harlow,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2GN,Yes,51.797230,0.090471,544253,213020,TL442130,2/1/2003 12:00:00 AM,,56,12,8,Harlow Town,1.8,,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2HE,Yes,51.795661,0.135107,547336,212935,TL473129,1/1/1980 12:00:00 AM,,45,,,Harlow Mill,0.6,Harlow,Affinity Water,Thames Water,East Hertfordshire,Sawbridgeworth,Sawbridgeworth
CM20 2QP,Yes,51.785513,0.078780,543484,211694,TL434116,3/1/1988 12:00:00 AM,,40,12,4,Harlow Town,1.2,,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2QR,No,51.785080,0.097623,544785,211683,TL447116,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,48,,,Harlow Town,0.5,Harlow,Affinity Water,,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2QS,Yes,51.783516,0.095579,544649,211505,TL446115,1/1/1980 12:00:00 AM,,39,35,18,Harlow Town,0.3,Harlow,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2QT,Yes,51.785484,0.088029,544122,211709,TL441117,1/1/1980 12:00:00 AM,,41,11,4,Harlow Town,0.7,,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2QU,Yes,51.786381,0.080589,543606,211794,TL436117,1/1/1980 12:00:00 AM,,43,41,18,Harlow Town,1.2,,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2QX,Yes,51.785703,0.079774,543552,211717,TL435117,1/1/1980 12:00:00 AM,,40,18,7,Harlow Town,1.2,,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2QY,Yes,51.785659,0.078163,543441,211709,TL434117,1/1/1980 12:00:00 AM,,41,10,4,Harlow Town,1.3,,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2QZ,Yes,51.786324,0.078730,543478,211784,TL434117,1/1/1980 12:00:00 AM,,42,23,8,Harlow Town,1.3,,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2RA,Yes,51.798474,0.070845,542896,213120,TL428131,1/1/1980 12:00:00 AM,,61,15,5,Harlow Town,2.6,,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2RB,Yes,51.788944,0.100267,544955,212118,TL449121,1/1/1980 12:00:00 AM,,49,61,23,Harlow Town,0.9,,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2RD,Yes,51.791074,0.100845,544988,212356,TL449123,1/1/1980 12:00:00 AM,,49,45,14,Harlow Town,1.2,,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2RE,Yes,51.791232,0.101070,545003,212374,TL450123,1/1/1980 12:00:00 AM,,49,7,4,Harlow Town,1.2,,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2RF,Yes,51.794773,0.094650,544549,212755,TL445127,1/1/1980 12:00:00 AM,,52,15,5,Harlow Town,1.5,,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2RG,Yes,51.797539,0.088789,544136,213051,TL441130,1/1/1980 12:00:00 AM,,59,49,16,Harlow Town,1.9,,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2RH,Yes,51.801316,0.088253,544087,213470,TL440134,1/1/1980 12:00:00 AM,,59,15,5,Harlow Town,2.3,,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2RJ,Yes,51.801570,0.085596,543903,213493,TL439134,1/1/1980 12:00:00 AM,,68,10,4,Harlow Town,2.4,,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
CM20 2RL,Yes,51.799886,0.094829,544545,213324,TL445133,1/1/1980 12:00:00 AM,,65,14,4,Harlow Town,2.1,,Affinity Water,Thames Water,East Hertfordshire,Hunsdon,Sawbridgeworth
