Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CA6 7BB,No,55.087480,-2.527787,366409,577132,NY664771,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,282,,,Haltwhistle,13.9,,,,Northumberland,Bellingham,
CA6 7BD,No,54.991138,-2.573658,363393,566434,NY633664,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,124,,,Haltwhistle,7.5,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7BE,No,54.991210,-2.573566,363399,566442,NY633664,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,124,,,Haltwhistle,7.5,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7BG,No,54.991622,-2.573853,363381,566488,NY633664,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,122,,,Haltwhistle,7.5,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7BH,No,54.991033,-2.573047,363432,566422,NY634664,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,127,,,Haltwhistle,7.4,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7BJ,No,54.989984,-2.572579,363461,566305,NY634663,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,132,,,Haltwhistle,7.4,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7BL,No,54.991162,-2.572299,363480,566436,NY634664,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,130,,,Haltwhistle,7.4,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7BN,No,54.991569,-2.571867,363508,566481,NY635664,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,130,,,Haltwhistle,7.4,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7BQ,No,54.991157,-2.573424,363408,566436,NY634664,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,125,,,Haltwhistle,7.5,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7DL,No,54.992421,-2.570129,363620,566575,NY636665,2/1/1990 12:00:00 AM,6/1/2000 12:00:00 AM,132,,,Haltwhistle,7.3,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7DN,No,54.990846,-2.570700,363582,566400,NY635663,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,137,,,Haltwhistle,7.3,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7DP,No,54.991419,-2.569302,363672,566463,NY636664,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,137,,,Haltwhistle,7.2,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7DR,No,54.990476,-2.569210,363677,566358,NY636663,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,141,,,Haltwhistle,7.2,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7DS,No,54.989777,-2.570670,363583,566281,NY635662,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,142,,,Haltwhistle,7.3,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7DT,No,54.989956,-2.568844,363700,566300,NY636662,8/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,145,,,Haltwhistle,7.1,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7DW,No,54.990905,-2.571467,363533,566407,NY635664,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,135,,,Haltwhistle,7.3,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7DX,No,54.988974,-2.571283,363543,566192,NY635661,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,146,,,Haltwhistle,7.3,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7EA,No,54.988580,-2.569090,363683,566147,NY636661,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,158,,,Haltwhistle,7.1,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7EB,No,54.989794,-2.568966,363692,566282,NY636662,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,147,,,Haltwhistle,7.1,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7ED,No,54.989932,-2.568312,363734,566297,NY637662,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,146,,,Haltwhistle,7.1,,,,Northumberland,Haydon and Hadrian,
CA6 7EH,No,54.989754,-2.563965,364012,566275,NY640662,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,153,,,Haltwhistle,6.8,,,,Northumberland,Haydon and Hadrian,
CA6 7EJ,No,54.991231,-2.555561,364551,566435,NY645664,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,150,,,Haltwhistle,6.4,,,,Northumberland,Haydon and Hadrian,
CA6 7EL,No,54.991431,-2.553142,364706,566456,NY647664,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,148,,,Haltwhistle,6.3,,,,Northumberland,Haydon and Hadrian,
CA6 7EN,No,54.997135,-2.551563,364812,567090,NY648670,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,152,,,Haltwhistle,6.5,,,,Northumberland,Haydon and Hadrian,
CA6 7EP,No,54.993542,-2.566800,363834,566698,NY638666,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,144,,,Haltwhistle,7.2,Gilsland,,,Northumberland,Haydon and Hadrian,
CA6 7EW,No,55.006394,-2.562682,364109,568126,NY641681,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,192,,,Haltwhistle,7.6,,,,Northumberland,Haydon and Hadrian,
CA6 7GA,No,54.957102,-2.533181,365954,562626,NY659626,6/1/1996 12:00:00 AM,6/1/1997 12:00:00 AM,230,,,Haltwhistle,4.6,,,,Northumberland,Haltwhistle,
CA6 7GD,No,54.957102,-2.533181,365954,562626,NY659626,6/1/1996 12:00:00 AM,6/1/2000 12:00:00 AM,230,,,Haltwhistle,4.6,,,,Northumberland,Haltwhistle,
