Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BL9 0RF,No,53.590780,-2.267363,382400,410500,SD824104,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,81,,,Castleton (Manchester),5.9,Heywood,,,Rochdale,West Heywood,
BL9 6TG,No,53.615496,-2.268275,382350,413250,SD823132,5/1/1994 12:00:00 AM,1/1/1995 12:00:00 AM,237,,,Castleton (Manchester),6.5,,,,Rochdale,Norden,
BL9 6TR,Yes,53.607263,-2.255740,383176,412331,SD831123,1/1/1980 12:00:00 AM,,177,17,8,Castleton (Manchester),5.4,,United Utilities,,Rochdale,Norden,
BL9 6TS,Yes,53.607958,-2.253459,383327,412408,SD833124,1/1/1980 12:00:00 AM,,170,13,6,Castleton (Manchester),5.3,,United Utilities,,Rochdale,Norden,
BL9 6TT,Yes,53.608235,-2.251030,383488,412438,SD834124,1/1/1980 12:00:00 AM,,164,6,3,Castleton (Manchester),5.1,Bury (Bury),United Utilities,,Rochdale,Norden,
BL9 6TU,Yes,53.608307,-2.250970,383492,412446,SD834124,1/1/1980 12:00:00 AM,,164,6,3,Castleton (Manchester),5.1,Bury (Bury),United Utilities,,Rochdale,Norden,
BL9 6TX,Yes,53.608443,-2.250215,383542,412461,SD835124,1/1/1980 12:00:00 AM,,163,18,6,Castleton (Manchester),5.1,Bury (Bury),United Utilities,,Rochdale,Norden,
BL9 6TY,Yes,53.608517,-2.249369,383598,412469,SD835124,1/1/1980 12:00:00 AM,,161,6,2,Castleton (Manchester),5.0,Bury (Bury),United Utilities,,Rochdale,Norden,
BL9 6TZ,Yes,53.611278,-2.252847,383369,412777,SD833127,1/1/1980 12:00:00 AM,,193,10,6,Castleton (Manchester),5.4,,United Utilities,,Rochdale,Norden,
BL9 6UA,Yes,53.615800,-2.255819,383174,413281,SD831132,1/1/1980 12:00:00 AM,,237,12,5,Castleton (Manchester),5.8,,United Utilities,,Rochdale,Norden,
BL9 6UB,Yes,53.616704,-2.254285,383276,413381,SD832133,1/1/1995 12:00:00 AM,,239,2,2,Castleton (Manchester),5.7,,United Utilities,,Rochdale,Norden,
BL9 6UD,Yes,53.603776,-2.238324,384327,411939,SD843119,1/1/1980 12:00:00 AM,,132,6,4,Castleton (Manchester),4.2,,United Utilities,,Rochdale,Norden,
BL9 6UE,Yes,53.604817,-2.238935,384287,412055,SD842120,10/1/1985 12:00:00 AM,,139,10,5,Castleton (Manchester),4.3,,United Utilities,,Rochdale,Norden,
BL9 6UF,Yes,53.602272,-2.244149,383941,411773,SD839117,10/1/1985 12:00:00 AM,,133,2,1,Castleton (Manchester),4.5,,United Utilities,,Rochdale,Norden,
BL9 6UL,Yes,53.612681,-2.264219,382617,412936,SD826129,1/1/1980 12:00:00 AM,,206,24,8,Castleton (Manchester),6.1,,,,Rochdale,Norden,
BL9 6UR,Yes,53.610564,-2.250590,383518,412697,SD835126,1/1/1980 12:00:00 AM,,185,14,7,Castleton (Manchester),5.2,,United Utilities,,Rochdale,Norden,
BL9 6US,Yes,53.612997,-2.251829,383437,412968,SD834129,1/1/1980 12:00:00 AM,,202,14,5,Castleton (Manchester),5.4,,United Utilities,,Rochdale,Norden,
BL9 6UT,Yes,53.616077,-2.256365,383138,413312,SD831133,1/1/1980 12:00:00 AM,,243,46,25,Castleton (Manchester),5.8,,United Utilities,,Rochdale,Norden,
BL9 6UU,Yes,53.615861,-2.243923,383961,413285,SD839132,1/1/1980 12:00:00 AM,,204,12,4,Castleton (Manchester),5.1,,United Utilities,,Rochdale,Norden,
BL9 6UX,No,53.607780,-2.249108,383615,412387,SD836123,1/1/1980 12:00:00 AM,6/1/2015 12:00:00 AM,155,,,Castleton (Manchester),5.0,Bury (Bury),,,Rochdale,Norden,
BL9 6UY,Yes,53.606242,-2.244517,383918,412215,SD839122,10/1/1985 12:00:00 AM,,151,9,6,Castleton (Manchester),4.7,,United Utilities,,Rochdale,Norden,
BL9 6UZ,No,53.606979,-2.258398,383000,412300,SD829123,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,185,,,Castleton (Manchester),5.5,,,,Rochdale,Norden,
BL9 6WJ,No,53.606468,-2.240350,384194,412239,SD841122,1/1/2005 12:00:00 AM,1/1/2005 12:00:00 AM,151,,,Castleton (Manchester),4.4,,,,Rochdale,Norden,
BL9 6WT,No,53.606468,-2.240350,384194,412239,SD841122,9/1/2004 12:00:00 AM,10/1/2005 12:00:00 AM,151,,,Castleton (Manchester),4.4,,,,Rochdale,Norden,
BL9 6WY,No,53.606468,-2.240350,384194,412239,SD841122,3/1/2003 12:00:00 AM,10/1/2005 12:00:00 AM,151,,,Castleton (Manchester),4.4,,,,Rochdale,Norden,
BL9 6XA,Yes,53.610191,-2.256861,383103,412657,SD831126,1/1/1980 12:00:00 AM,,199,10,6,Castleton (Manchester),5.6,,United Utilities,,Rochdale,Norden,
BL9 7BJ,No,53.588199,-2.275731,381845,410215,SD818102,6/1/2001 12:00:00 AM,1/1/2014 12:00:00 AM,76,,,Castleton (Manchester),6.4,Bury (Bury),United Utilities,,Rochdale,West Heywood,
BL9 7BQ,Yes,53.590715,-2.276171,381817,410495,SD818104,5/1/2002 12:00:00 AM,,77,,,Castleton (Manchester),6.5,Bury (Bury),United Utilities,,Rochdale,West Heywood,
BL9 7BR,Yes,53.589270,-2.275376,381869,410334,SD818103,2/1/2004 12:00:00 AM,,76,,,Castleton (Manchester),6.4,Bury (Bury),United Utilities,,Rochdale,West Heywood,
BL9 7FU,Yes,53.606265,-2.250532,383520,412219,SD835122,10/1/2022 12:00:00 AM,,84,,,Castleton (Manchester),5.0,Bury (Bury),,,Rochdale,Norden,
BL9 7GD,Yes,53.603720,-2.248087,383681,411935,SD836119,8/1/2008 12:00:00 AM,,147,11,5,Castleton (Manchester),4.8,Bury (Bury),United Utilities,,Rochdale,Norden,
BL9 7HN,Yes,53.587770,-2.258507,382985,410163,SD829101,12/1/1995 12:00:00 AM,,114,74,32,Castleton (Manchester),5.3,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7HR,Yes,53.591314,-2.268784,382306,410560,SD823105,1/1/1980 12:00:00 AM,,79,29,11,Castleton (Manchester),6.0,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7HS,Yes,53.591002,-2.268694,382312,410525,SD823105,1/1/1980 12:00:00 AM,,79,7,2,Castleton (Manchester),6.0,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7HT,Yes,53.591431,-2.264827,382568,410572,SD825105,7/1/1986 12:00:00 AM,,83,,,Castleton (Manchester),5.7,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7HU,Yes,53.586882,-2.257928,383023,410064,SD830100,12/1/1995 12:00:00 AM,,114,23,13,Castleton (Manchester),5.3,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7HW,Yes,53.587015,-2.258774,382967,410079,SD829100,12/1/1995 12:00:00 AM,,113,24,9,Castleton (Manchester),5.3,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7HX,Yes,53.591656,-2.261280,382803,410596,SD828105,1/1/1980 12:00:00 AM,,89,25,11,Castleton (Manchester),5.5,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7HY,Yes,53.591134,-2.264719,382575,410539,SD825105,1/1/1980 12:00:00 AM,,82,,,Castleton (Manchester),5.7,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7HZ,Yes,53.592188,-2.256389,383127,410654,SD831106,1/1/1980 12:00:00 AM,,105,39,19,Castleton (Manchester),5.2,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JA,Yes,53.590035,-2.254714,383237,410414,SD832104,1/1/1980 12:00:00 AM,,124,5,2,Castleton (Manchester),5.0,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JB,Yes,53.589242,-2.255631,383176,410326,SD831103,1/1/1980 12:00:00 AM,,121,57,27,Castleton (Manchester),5.1,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JD,Yes,53.588992,-2.254557,383247,410298,SD832102,1/1/1980 12:00:00 AM,,124,60,26,Castleton (Manchester),5.0,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JE,Yes,53.588838,-2.255371,383193,410281,SD831102,1/1/1980 12:00:00 AM,,121,56,18,Castleton (Manchester),5.1,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JF,Yes,53.588548,-2.256246,383135,410249,SD831102,1/1/1980 12:00:00 AM,,117,65,33,Castleton (Manchester),5.2,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JG,Yes,53.588597,-2.258618,382978,410255,SD829102,1/1/1980 12:00:00 AM,,114,40,17,Castleton (Manchester),5.3,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JH,Yes,53.588273,-2.258782,382967,410219,SD829102,1/1/1980 12:00:00 AM,,113,36,14,Castleton (Manchester),5.3,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JJ,Yes,53.587804,-2.259459,382922,410167,SD829101,1/1/1980 12:00:00 AM,,111,26,12,Castleton (Manchester),5.4,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JL,Yes,53.585433,-2.258870,382960,409903,SD829099,1/1/1980 12:00:00 AM,,115,,,Castleton (Manchester),5.4,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JN,Yes,53.589358,-2.259922,382892,410340,SD828103,1/1/1980 12:00:00 AM,,111,2,1,Castleton (Manchester),5.4,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JP,Yes,53.590215,-2.262586,382716,410436,SD827104,1/1/1980 12:00:00 AM,,101,14,4,Castleton (Manchester),5.6,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JQ,Yes,53.588272,-2.259341,382930,410219,SD829102,1/1/1980 12:00:00 AM,,112,8,4,Castleton (Manchester),5.4,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JR,Yes,53.589810,-2.262991,382689,410391,SD826103,1/1/1980 12:00:00 AM,,105,2,2,Castleton (Manchester),5.6,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JS,Yes,53.589206,-2.263577,382650,410324,SD826103,1/1/1980 12:00:00 AM,,108,8,3,Castleton (Manchester),5.6,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JT,Yes,53.587489,-2.268083,382351,410134,SD823101,1/1/1980 12:00:00 AM,,103,7,2,Castleton (Manchester),5.9,,United Utilities,,Rochdale,West Heywood,
BL9 7JU,Yes,53.589585,-2.267310,382403,410367,SD824103,1/1/1980 12:00:00 AM,,90,7,3,Castleton (Manchester),5.9,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JW,Yes,53.589518,-2.261041,382818,410358,SD828103,1/1/1980 12:00:00 AM,,109,2,1,Castleton (Manchester),5.5,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JX,Yes,53.590879,-2.267334,382402,410511,SD824105,1/1/1980 12:00:00 AM,,81,58,28,Castleton (Manchester),5.9,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JY,Yes,53.589779,-2.268943,382295,410389,SD822103,1/1/1980 12:00:00 AM,,81,78,42,Castleton (Manchester),6.0,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7JZ,Yes,53.585986,-2.256321,383129,409964,SD831099,8/1/2008 12:00:00 AM,,116,,,Castleton (Manchester),5.2,Heywood,,,Rochdale,West Heywood,
BL9 7LA,Yes,53.584409,-2.278607,381653,409794,SD816097,2/1/2011 12:00:00 AM,,78,6,3,Castleton (Manchester),6.7,,,,Rochdale,West Heywood,
BL9 7LB,Yes,53.590429,-2.267557,382387,410461,SD823104,1/1/1980 12:00:00 AM,,83,20,7,Castleton (Manchester),5.9,Heywood,United Utilities,,Rochdale,West Heywood,
BL9 7TT,Yes,53.603557,-2.248766,383636,411917,SD836119,10/1/1985 12:00:00 AM,,147,6,4,Castleton (Manchester),4.8,Bury (Bury),United Utilities,,Rochdale,Norden,
BL9 7TU,Yes,53.604642,-2.248830,383632,412038,SD836120,1/1/1980 12:00:00 AM,,150,50,15,Castleton (Manchester),4.9,Bury (Bury),United Utilities,,Rochdale,Norden,
BL9 7TX,Yes,53.604239,-2.249027,383619,411993,SD836119,1/1/1980 12:00:00 AM,,149,60,28,Castleton (Manchester),4.9,Bury (Bury),United Utilities,,Rochdale,Norden,
BL9 7TY,Yes,53.604106,-2.247179,383741,411978,SD837119,10/1/1985 12:00:00 AM,,147,6,2,Castleton (Manchester),4.7,Bury (Bury),United Utilities,,Rochdale,Norden,
BL9 7TZ,Yes,53.603914,-2.245594,383846,411956,SD838119,10/1/1985 12:00:00 AM,,143,6,4,Castleton (Manchester),4.6,Bury (Bury),United Utilities,,Rochdale,Norden,
BL9 7UA,Yes,53.604620,-2.243044,384015,412034,SD840120,10/1/1985 12:00:00 AM,,138,11,4,Castleton (Manchester),4.5,Bury (Bury),United Utilities,,Rochdale,Norden,
BL9 7UB,Yes,53.604298,-2.242302,384064,411998,SD840119,10/1/1985 12:00:00 AM,,136,2,1,Castleton (Manchester),4.4,Bury (Bury),United Utilities,,Rochdale,Norden,
BL9 7UH,No,53.607509,-2.249892,383563,412357,SD835123,1/1/1980 12:00:00 AM,4/1/2007 12:00:00 AM,157,,,Castleton (Manchester),5.0,Bury (Bury),,,Rochdale,Norden,
BL9 7UJ,Yes,53.607590,-2.249953,383559,412366,SD835123,9/1/2010 12:00:00 AM,,157,,,Castleton (Manchester),5.0,Bury (Bury),United Utilities,,Rochdale,Norden,
BL9 7UN,Yes,53.607716,-2.248848,383632,412380,SD836123,1/1/2011 12:00:00 AM,,156,,,Castleton (Manchester),5.0,Bury (Bury),,,Rochdale,Norden,
BL9 7WA,No,53.607509,-2.249892,383563,412357,SD835123,1/1/2003 12:00:00 AM,8/1/2004 12:00:00 AM,157,,,Castleton (Manchester),5.0,Bury (Bury),,,Rochdale,Norden,
BL9 7WB,No,53.607509,-2.249892,383563,412357,SD835123,8/1/2003 12:00:00 AM,10/1/2003 12:00:00 AM,157,,,Castleton (Manchester),5.0,Bury (Bury),,,Rochdale,Norden,
BL9 7WJ,No,53.607509,-2.249892,383563,412357,SD835123,1/1/2005 12:00:00 AM,10/1/2005 12:00:00 AM,157,,,Castleton (Manchester),5.0,Bury (Bury),,,Rochdale,Norden,
BL9 7WR,No,53.607509,-2.249892,383563,412357,SD835123,2/1/2004 12:00:00 AM,7/1/2005 12:00:00 AM,157,,,Castleton (Manchester),5.0,Bury (Bury),,,Rochdale,Norden,
BL9 7WW,No,53.607509,-2.249892,383563,412357,SD835123,3/1/2004 12:00:00 AM,7/1/2005 12:00:00 AM,157,,,Castleton (Manchester),5.0,Bury (Bury),,,Rochdale,Norden,
