Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DT7 3EG,Yes,50.734844,-2.955550,332663,93239,SY326932,10/1/2007 12:00:00 AM,,65,8,5,Axminster,6.0,Uplyme,South West Water,,East Devon,Trinity,Axminster
DT7 3NF,Yes,50.731786,-2.950145,333040,92894,SY330928,1/1/1980 12:00:00 AM,,98,19,7,Axminster,6.5,Uplyme,South West Water,,East Devon,Trinity,Axminster
DT7 3RA,Yes,50.710211,-3.000753,329436,90542,SY294905,11/1/2003 12:00:00 AM,,154,6,2,Axminster,7.7,,South West Water,,East Devon,Trinity,Axminster
DT7 3RB,Yes,50.717212,-3.001972,329360,91322,SY293913,1/1/1980 12:00:00 AM,,153,1,0,Axminster,6.9,,South West Water,,East Devon,Trinity,Axminster
DT7 3RD,Yes,50.721875,-3.013270,328570,91851,SY285918,1/1/1980 12:00:00 AM,,138,23,11,Axminster,6.4,,South West Water,,East Devon,Trinity,Axminster
DT7 3RE,Yes,50.710815,-3.003726,329227,90612,SY292906,1/1/1980 12:00:00 AM,,154,,,Axminster,7.6,,South West Water,,East Devon,Trinity,Axminster
DT7 3RF,Yes,50.725009,-2.990726,330166,92178,SY301921,1/1/1980 12:00:00 AM,,153,7,4,Axminster,6.1,,South West Water,,East Devon,Trinity,Axminster
DT7 3RG,Yes,50.718063,-2.981570,330802,91397,SY308913,1/1/1980 12:00:00 AM,,155,8,4,Axminster,7.0,,South West Water,,East Devon,Trinity,Axminster
DT7 3RH,Yes,50.720872,-2.956384,332584,91686,SY325916,1/1/1980 12:00:00 AM,,139,26,11,Axminster,7.3,,South West Water,,East Devon,Trinity,Axminster
DT7 3RJ,Yes,50.725029,-2.964828,331994,92156,SY319921,1/1/1980 12:00:00 AM,,143,10,3,Axminster,6.6,,South West Water,,East Devon,Trinity,Axminster
DT7 3RL,Yes,50.745316,-2.946017,333351,94395,SY333943,1/1/1980 12:00:00 AM,,121,4,1,Axminster,5.6,,South West Water,,East Devon,Trinity,Axminster
DT7 3RN,Yes,50.754679,-2.948134,333215,95438,SY332954,1/1/1980 12:00:00 AM,,152,70,29,Axminster,4.8,,South West Water,,East Devon,Trinity,Axminster
