Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
N10 1AA,Yes,51.600529,-0.150711,528177,190696,TQ281906,1/1/1980 12:00:00 AM,,61,126,43,New Southgate,1.6,Barnet,Affinity Water,Thames Water,Barnet,Friern Barnet,
N10 1AB,Yes,51.600194,-0.150580,528187,190659,TQ281906,1/1/1980 12:00:00 AM,,63,152,52,New Southgate,1.6,Barnet,Affinity Water,Thames Water,Barnet,Friern Barnet,
N10 1AD,Yes,51.601212,-0.149571,528254,190774,TQ282907,1/1/1980 12:00:00 AM,,61,40,11,New Southgate,1.5,Barnet,Affinity Water,Thames Water,Barnet,Friern Barnet,
N10 1AE,Yes,51.601596,-0.149198,528279,190817,TQ282908,1/1/1980 12:00:00 AM,,62,43,18,New Southgate,1.5,Barnet,Affinity Water,Thames Water,Barnet,Friern Barnet,
N10 1AF,Yes,51.604002,-0.156378,527775,191072,TQ277910,1/1/2009 12:00:00 AM,,59,167,61,New Southgate,1.5,Haringey,Thames Water,,Haringey,Fortis Green,
N10 1AG,Yes,51.601289,-0.150279,528205,190781,TQ282907,1/1/1980 12:00:00 AM,,59,19,8,New Southgate,1.5,Barnet,Affinity Water,Thames Water,Barnet,Friern Barnet,
N10 1AH,Yes,51.602225,-0.150497,528187,190885,TQ281908,1/1/1980 12:00:00 AM,,58,51,20,New Southgate,1.4,Barnet,Affinity Water,Thames Water,Barnet,Friern Barnet,
N10 1AJ,Yes,51.602520,-0.149244,528273,190920,TQ282909,1/1/1980 12:00:00 AM,,60,21,8,New Southgate,1.4,Barnet,Affinity Water,Thames Water,Barnet,Friern Barnet,
N10 1AL,Yes,51.603722,-0.150234,528201,191052,TQ282910,1/1/1980 12:00:00 AM,,55,133,44,New Southgate,1.3,Barnet,Affinity Water,Thames Water,Barnet,Friern Barnet,
N10 1AN,Yes,51.604221,-0.151052,528143,191106,TQ281911,1/1/1980 12:00:00 AM,,55,140,46,New Southgate,1.2,Barnet,Affinity Water,Thames Water,Barnet,Friern Barnet,
N10 1AP,Yes,51.604979,-0.149519,528247,191193,TQ282911,1/1/1980 12:00:00 AM,,49,30,9,New Southgate,1.1,Barnet,Affinity Water,Thames Water,Barnet,Friern Barnet,
N10 1AQ,Yes,51.601972,-0.149067,528287,190859,TQ282908,9/1/1991 12:00:00 AM,,62,19,12,New Southgate,1.4,Barnet,Affinity Water,Thames Water,Barnet,Friern Barnet,
N10 1AR,Yes,51.604380,-0.149731,528234,191126,TQ282911,1/1/1980 12:00:00 AM,,51,67,24,New Southgate,1.2,Barnet,Affinity Water,Thames Water,Barnet,Friern Barnet,
N10 1AS,Yes,51.604390,-0.149211,528270,191128,TQ282911,1/1/1980 12:00:00 AM,,51,14,6,New Southgate,1.2,Barnet,Affinity Water,Thames Water,Barnet,Friern Barnet,
N10 1AT,Yes,51.604017,-0.149544,528248,191086,TQ282910,1/1/1980 12:00:00 AM,,53,67,24,New Southgate,1.2,Barnet,Affinity Water,Thames Water,Barnet,Friern Barnet,
N10 1AU,Yes,51.604027,-0.149038,528283,191088,TQ282910,1/1/1980 12:00:00 AM,,54,10,5,New Southgate,1.2,Barnet,Affinity Water,Thames Water,Barnet,Friern Barnet,
N10 1AW,No,51.597910,-0.149460,528271,190407,TQ282904,7/1/1995 12:00:00 AM,12/1/1997 12:00:00 AM,74,,,East Finchley,1.6,Haringey,,,Haringey,Fortis Green,
N10 1AX,Yes,51.603655,-0.149356,528262,191046,TQ282910,1/1/1980 12:00:00 AM,,55,80,24,New Southgate,1.2,Barnet,Affinity Water,Thames Water,Barnet,Friern Barnet,
