Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DH4 4AA,No,54.843221,-1.471234,434055,549951,NZ340499,1/1/1980 12:00:00 AM,5/1/2022 12:00:00 AM,65,,,Chester-Le-Street,6.9,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4AB,Yes,54.843419,-1.471402,434044,549973,NZ340499,1/1/1980 12:00:00 AM,,64,,,Chester-Le-Street,6.9,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4AD,Yes,54.843218,-1.470546,434099,549951,NZ340499,4/1/2004 12:00:00 AM,,64,,,Chester-Le-Street,7.0,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4AE,No,54.843914,-1.471676,434026,550028,NZ340500,1/1/1980 12:00:00 AM,10/1/2021 12:00:00 AM,63,,,Chester-Le-Street,6.9,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4AF,Yes,54.844338,-1.471995,434005,550075,NZ340500,1/1/1980 12:00:00 AM,,63,1,1,Chester-Le-Street,6.9,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4AG,No,54.848178,-1.476698,433700,550500,NZ336505,1/1/1980 12:00:00 AM,6/1/1997 12:00:00 AM,68,,,Chester-Le-Street,6.5,,,,Sunderland,Houghton,
DH4 4AH,Yes,54.843022,-1.468978,434200,549930,NZ342499,1/1/1980 12:00:00 AM,,69,,,Chester-Le-Street,7.1,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4AJ,Yes,54.845867,-1.472178,433992,550245,NZ339502,1/1/1980 12:00:00 AM,,67,,,Chester-Le-Street,6.8,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4AL,Yes,54.842976,-1.470705,434089,549924,NZ340499,1/1/1980 12:00:00 AM,,66,,,Chester-Le-Street,7.0,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4AN,Yes,54.843100,-1.470423,434107,549938,NZ341499,1/1/1980 12:00:00 AM,,67,1,1,Chester-Le-Street,7.0,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4AP,Yes,54.843642,-1.471088,434064,549998,NZ340499,1/1/1980 12:00:00 AM,,65,,,Chester-Le-Street,6.9,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4AQ,No,54.843230,-1.471247,434054,549952,NZ340499,7/1/2023 12:00:00 AM,4/1/2024 12:00:00 AM,65,,,Chester-Le-Street,6.9,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4AR,Yes,54.844867,-1.471711,434023,550134,NZ340501,1/1/1980 12:00:00 AM,,65,2,2,Chester-Le-Street,6.9,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4AS,Yes,54.847233,-1.472331,433981,550397,NZ339503,1/1/1980 12:00:00 AM,,80,,,Chester-Le-Street,6.8,Houghton-le-Spring,Northumbrian Water,,Sunderland,Copt Hill,
DH4 4AT,Yes,54.847557,-1.472421,433975,550433,NZ339504,1/1/1980 12:00:00 AM,,81,2,1,Chester-Le-Street,6.8,Houghton-le-Spring,Northumbrian Water,,Sunderland,Copt Hill,
DH4 4AU,Yes,54.848224,-1.474828,433820,550506,NZ338505,1/1/1980 12:00:00 AM,,80,,,Chester-Le-Street,6.6,Houghton-le-Spring,Northumbrian Water,,Sunderland,Copt Hill,
DH4 4AW,No,54.843540,-1.470404,434108,549987,NZ341499,1/1/1980 12:00:00 AM,1/1/2009 12:00:00 AM,67,,,Chester-Le-Street,7.0,Houghton-le-Spring,,,Sunderland,Houghton,
DH4 4AX,Yes,54.862301,-1.497155,432375,552062,NZ323520,10/1/2018 12:00:00 AM,,72,,,Chester-Le-Street,5.2,Shiney Row and Penshaw,,,Sunderland,Shiney Row,
DH4 4AY,No,54.847273,-1.475152,433800,550400,NZ337504,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,72,,,Chester-Le-Street,6.6,,,,Sunderland,Houghton,
DH4 4AZ,Yes,54.845552,-1.470082,434127,550211,NZ341502,1/1/1980 12:00:00 AM,,74,86,38,Chester-Le-Street,7.0,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4BA,Yes,54.843342,-1.470295,434115,549965,NZ341499,1/1/1980 12:00:00 AM,,67,,,Chester-Le-Street,7.0,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4BB,Yes,54.842159,-1.470856,434080,549833,NZ340498,1/1/1980 12:00:00 AM,,66,5,2,Chester-Le-Street,7.0,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4BD,Yes,54.843250,-1.469785,434148,549955,NZ341499,1/1/1980 12:00:00 AM,,68,3,3,Chester-Le-Street,7.0,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4BE,No,54.842759,-1.470539,434100,549900,NZ341498,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,67,,,Chester-Le-Street,7.0,Houghton-le-Spring,,,Sunderland,Houghton,
DH4 4BF,Yes,54.854467,-1.482657,433312,551197,NZ333511,12/1/2019 12:00:00 AM,,68,,,Chester-Le-Street,6.1,Houghton-le-Spring,,,Sunderland,Houghton,
DH4 4BG,No,54.842810,-1.469713,434153,549906,NZ341499,1/1/1980 12:00:00 AM,3/1/2002 12:00:00 AM,68,,,Chester-Le-Street,7.1,Houghton-le-Spring,,,Sunderland,Houghton,
DH4 4BH,Yes,54.844209,-1.471190,434057,550061,NZ340500,1/1/1980 12:00:00 AM,,66,,,Chester-Le-Street,6.9,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4BJ,Yes,54.844133,-1.470378,434109,550053,NZ341500,10/1/2016 12:00:00 AM,,68,,,Chester-Le-Street,7.0,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4BL,No,54.844440,-1.470564,434097,550087,NZ340500,12/1/1996 12:00:00 AM,4/1/2001 12:00:00 AM,68,,,Chester-Le-Street,7.0,Houghton-le-Spring,,,Sunderland,Houghton,
DH4 4BN,Yes,54.843436,-1.469207,434185,549976,NZ341499,1/1/1980 12:00:00 AM,,69,,,Chester-Le-Street,7.1,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4BP,No,54.843266,-1.471311,434050,549956,NZ340499,1/1/1980 12:00:00 AM,10/1/2005 12:00:00 AM,64,,,Chester-Le-Street,6.9,Houghton-le-Spring,,,Sunderland,Houghton,
DH4 4BQ,No,54.842917,-1.469665,434156,549918,NZ341499,1/1/1980 12:00:00 AM,9/1/2006 12:00:00 AM,68,,,Chester-Le-Street,7.1,Houghton-le-Spring,,,Sunderland,Houghton,
DH4 4BW,Yes,54.845043,-1.468734,434214,550155,NZ342501,1/1/1980 12:00:00 AM,,75,114,51,Chester-Le-Street,7.1,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
DH4 4DA,No,54.841867,-1.472108,434000,549800,NZ339497,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,62,,,Chester-Le-Street,6.9,Houghton-le-Spring,,,Sunderland,Houghton,
DH4 4DB,No,54.843266,-1.471311,434050,549956,NZ340499,2/1/1984 12:00:00 AM,4/1/2003 12:00:00 AM,64,,,Chester-Le-Street,6.9,Houghton-le-Spring,,,Sunderland,Houghton,
DH4 4DD,No,54.860765,-1.478093,433600,551900,NZ335519,2/1/1984 12:00:00 AM,12/1/1996 12:00:00 AM,79,,,Chester-Le-Street,6.4,Shiney Row and Penshaw,,,Sunderland,Copt Hill,
DH4 4DE,Yes,54.853731,-1.482900,433297,551115,NZ332511,11/1/2019 12:00:00 AM,,83,,,Chester-Le-Street,6.1,Houghton-le-Spring,,,Sunderland,Houghton,
DH4 4DF,No,54.840962,-1.470563,434100,549700,NZ340496,7/1/1986 12:00:00 AM,5/1/1994 12:00:00 AM,64,,,Chester-Le-Street,7.0,Houghton-le-Spring,,,Sunderland,Houghton,
DH4 4DG,Yes,54.853736,-1.481935,433359,551116,NZ333511,8/1/2020 12:00:00 AM,,64,,,Chester-Le-Street,6.1,Houghton-le-Spring,,,Sunderland,Houghton,
DH4 4DH,Yes,54.840652,-1.469492,434169,549666,NZ341496,12/1/1999 12:00:00 AM,,65,34,22,Chester-Le-Street,7.1,Houghton-le-Spring,Northumbrian Water,,Sunderland,Houghton,
