Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BN1 2AB,Yes,50.825339,-0.155185,530031,104488,TQ300044,1/1/1980 12:00:00 AM,,27,20,11,Brighton,1.1,Brighton and Hove,Southern Water,,Brighton and Hove,Brunswick & Adelaide,
BN1 2AF,No,50.825058,-0.155096,530038,104457,TQ300044,1/1/1980 12:00:00 AM,3/1/2002 12:00:00 AM,24,,,Brighton,1.1,Brighton and Hove,,,Brighton and Hove,Brunswick & Adelaide,
BN1 2AH,No,50.824555,-0.155656,530000,104400,TQ299044,12/1/1994 12:00:00 AM,12/1/1996 12:00:00 AM,21,,,Brighton,1.1,Brighton and Hove,,,Brighton and Hove,Brunswick & Adelaide,
BN1 2BN,Yes,50.824027,-0.156415,529948,104340,TQ299043,12/1/1999 12:00:00 AM,,13,48,21,Brighton,1.2,Brighton and Hove,Southern Water,,Brighton and Hove,Brunswick & Adelaide,
BN1 2PB,Yes,50.824434,-0.155448,530015,104387,TQ300043,1/1/1980 12:00:00 AM,,20,92,60,Brighton,1.1,Brighton and Hove,Southern Water,,Brighton and Hove,Brunswick & Adelaide,
BN1 2PF,Yes,50.824751,-0.155549,530007,104422,TQ300044,1/1/1980 12:00:00 AM,,23,4,3,Brighton,1.1,Brighton and Hove,Southern Water,,Brighton and Hove,Brunswick & Adelaide,
BN1 2PG,Yes,50.823597,-0.155949,529982,104293,TQ299042,1/1/1980 12:00:00 AM,,12,128,55,Brighton,1.2,Brighton and Hove,Southern Water,,Brighton and Hove,Brunswick & Adelaide,
BN1 2PU,Yes,50.824447,-0.155646,530001,104388,TQ300043,1/1/1980 12:00:00 AM,,20,,,Brighton,1.1,Brighton and Hove,Southern Water,,Brighton and Hove,Brunswick & Adelaide,
BN1 2PX,Yes,50.822975,-0.156414,529951,104223,TQ299042,1/1/1980 12:00:00 AM,,12,101,44,Brighton,1.3,Brighton and Hove,Southern Water,,Brighton and Hove,Brunswick & Adelaide,
BN1 2PY,Yes,50.822975,-0.156414,529951,104223,TQ299042,1/1/1980 12:00:00 AM,,12,24,16,Brighton,1.3,Brighton and Hove,Southern Water,,Brighton and Hove,Brunswick & Adelaide,
BN1 2QA,Yes,50.824658,-0.155354,530021,104412,TQ300044,1/1/1980 12:00:00 AM,,22,12,7,Brighton,1.1,Brighton and Hove,Southern Water,,Brighton and Hove,Brunswick & Adelaide,
BN1 2QB,Yes,50.824534,-0.155500,530011,104398,TQ300043,1/1/1980 12:00:00 AM,,20,14,10,Brighton,1.1,Brighton and Hove,Southern Water,,Brighton and Hove,Brunswick & Adelaide,
BN1 2QE,No,50.824555,-0.155656,530000,104400,TQ299044,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,21,,,Brighton,1.1,Brighton and Hove,,,Brighton and Hove,Brunswick & Adelaide,
BN1 2QG,No,50.824555,-0.155656,530000,104400,TQ299044,1/1/1991 12:00:00 AM,12/1/1991 12:00:00 AM,21,,,Brighton,1.1,Brighton and Hove,,,Brighton and Hove,Brunswick & Adelaide,
BN1 2QH,No,50.824928,-0.155385,530018,104442,TQ300044,1/1/1980 12:00:00 AM,6/1/2024 12:00:00 AM,24,,,Brighton,1.1,Brighton and Hove,Southern Water,,Brighton and Hove,Brunswick & Adelaide,
BN1 2QQ,No,50.824555,-0.155656,530000,104400,TQ299044,3/1/1988 12:00:00 AM,12/1/1990 12:00:00 AM,21,,,Brighton,1.1,Brighton and Hove,,,Brighton and Hove,Brunswick & Adelaide,
BN1 2ST,No,50.827497,-0.171159,528900,104700,TQ289047,3/1/1982 12:00:00 AM,12/1/1990 12:00:00 AM,14,,,Hove,0.9,Brighton and Hove,,,Brighton and Hove,Central Hove,
BN1 3AA,Yes,50.825966,-0.154493,530078,104559,TQ300045,1/1/1980 12:00:00 AM,,34,80,41,Brighton,1.0,Brighton and Hove,Southern Water,,Brighton and Hove,Brunswick & Adelaide,
BN1 3AR,Yes,50.825584,-0.154792,530058,104516,TQ300045,1/1/1980 12:00:00 AM,,30,26,12,Brighton,1.0,Brighton and Hove,Southern Water,,Brighton and Hove,Brunswick & Adelaide,
BN1 3AS,Yes,50.828488,-0.153030,530174,104842,TQ301048,3/1/2003 12:00:00 AM,,47,19,10,Brighton,0.8,Brighton and Hove,Southern Water,,Brighton and Hove,Goldsmid,
BN1 3AX,Yes,50.828482,-0.152618,530203,104842,TQ302048,4/1/2003 12:00:00 AM,,47,16,9,Brighton,0.8,Brighton and Hove,Southern Water,,Brighton and Hove,Regency,
BN1 3AY,Yes,50.828349,-0.152766,530193,104827,TQ301048,1/1/2003 12:00:00 AM,,46,14,7,Brighton,0.8,Brighton and Hove,Southern Water,,Brighton and Hove,Regency,
