Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
IG1 3AA,Yes,51.559439,0.069288,543542,186535,TQ435865,1/1/1980 12:00:00 AM,,16,14,4,Ilford,0.0,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3AB,Yes,51.559890,0.069152,543531,186585,TQ435865,1/1/1980 12:00:00 AM,,16,15,13,Ilford,0.1,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3AD,Yes,51.559358,0.068204,543467,186524,TQ434865,1/1/1980 12:00:00 AM,,13,105,33,Ilford,0.0,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3AE,Yes,51.559207,0.067577,543424,186506,TQ434865,6/1/2003 12:00:00 AM,,13,46,15,Ilford,0.1,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3AF,Yes,51.559165,0.065859,543305,186498,TQ433864,1/1/1980 12:00:00 AM,,12,137,48,Ilford,0.2,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3AG,No,51.566927,0.059645,542850,187349,TQ428873,6/1/1997 12:00:00 AM,6/1/2001 12:00:00 AM,14,,,Ilford,1.1,Redbridge,Thames Water,,Redbridge,Cranbrook,
IG1 3AH,Yes,51.560226,0.064363,543198,186613,TQ431866,1/1/1980 12:00:00 AM,,11,130,54,Ilford,0.3,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3AJ,Yes,51.560390,0.064844,543231,186632,TQ432866,1/1/1980 12:00:00 AM,,12,158,58,Ilford,0.3,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3AL,Yes,51.562502,0.063283,543116,186864,TQ431868,1/1/1980 12:00:00 AM,,10,61,23,Ilford,0.5,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3AP,Yes,51.561899,0.064828,543225,186800,TQ432867,1/1/1980 12:00:00 AM,,11,196,79,Ilford,0.4,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3AQ,Yes,51.558411,0.064252,543196,186411,TQ431864,1/1/1980 12:00:00 AM,,8,74,21,Ilford,0.3,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3AR,No,51.561032,0.062986,543100,186700,TQ431866,7/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,8,,,Ilford,0.4,Redbridge,,,Redbridge,Valentines,
IG1 3AT,No,51.559463,0.069349,543546,186538,TQ435865,6/1/1996 12:00:00 AM,7/1/1997 12:00:00 AM,16,,,Ilford,0.0,Redbridge,,,Redbridge,Valentines,
IG1 3AU,No,51.560956,0.067310,543400,186700,TQ433866,1/1/1992 12:00:00 AM,12/1/1996 12:00:00 AM,16,,,Ilford,0.2,Redbridge,,,Redbridge,Valentines,
IG1 3AW,Yes,51.560403,0.066143,543321,186636,TQ433866,1/1/1980 12:00:00 AM,,14,242,77,Ilford,0.2,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3AX,No,51.560956,0.067310,543400,186700,TQ433866,1/1/1992 12:00:00 AM,7/1/1995 12:00:00 AM,16,,,Ilford,0.2,Redbridge,,,Redbridge,Valentines,
IG1 3AZ,Yes,51.561014,0.068121,543456,186708,TQ434867,1/1/1980 12:00:00 AM,,16,130,57,Ilford,0.2,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3BA,Yes,51.560596,0.067828,543437,186661,TQ434866,1/1/1980 12:00:00 AM,,16,80,36,Ilford,0.2,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3BB,Yes,51.562987,0.065929,543298,186923,TQ432869,1/1/1980 12:00:00 AM,,13,119,58,Ilford,0.5,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3BD,Yes,51.563120,0.066471,543335,186939,TQ433869,1/1/1980 12:00:00 AM,,14,120,55,Ilford,0.5,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3BE,Yes,51.564209,0.064890,543222,187057,TQ432870,1/1/1980 12:00:00 AM,,12,89,21,Ilford,0.6,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3BF,Yes,51.573315,0.064104,543139,188068,TQ431880,6/1/2003 12:00:00 AM,,23,12,10,Gants Hill,0.4,Redbridge,Thames Water,,Redbridge,Cranbrook,
IG1 3BG,Yes,51.562696,0.065542,543272,186890,TQ432868,1/1/1980 12:00:00 AM,,12,152,62,Ilford,0.5,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3BH,Yes,51.560701,0.066575,543350,186670,TQ433866,1/1/1980 12:00:00 AM,,15,76,33,Ilford,0.2,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3BJ,Yes,51.562496,0.065144,543245,186867,TQ432868,1/1/1980 12:00:00 AM,,12,123,53,Ilford,0.4,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3BL,Yes,51.563057,0.063914,543158,186927,TQ431869,1/1/1980 12:00:00 AM,,10,63,18,Ilford,0.5,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3BN,Yes,51.562059,0.063422,543127,186815,TQ431868,1/1/1980 12:00:00 AM,,10,18,6,Ilford,0.5,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3BP,Yes,51.560175,0.062629,543078,186604,TQ430866,1/1/1980 12:00:00 AM,,8,219,86,Ilford,0.4,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3BQ,Yes,51.560599,0.067263,543398,186660,TQ433866,1/1/1980 12:00:00 AM,,16,75,31,Ilford,0.2,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3BS,Yes,51.560078,0.063534,543141,186595,TQ431865,1/1/1980 12:00:00 AM,,9,119,56,Ilford,0.4,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3BT,No,51.566927,0.059645,542850,187349,TQ428873,12/1/1997 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Ilford,1.1,Redbridge,,,Redbridge,Cranbrook,
IG1 3BU,No,51.566927,0.059645,542850,187349,TQ428873,6/1/1997 12:00:00 AM,9/1/2000 12:00:00 AM,14,,,Ilford,1.1,Redbridge,,,Redbridge,Cranbrook,
IG1 3BW,Yes,51.561190,0.062185,543044,186716,TQ430867,1/1/1980 12:00:00 AM,,8,177,57,Ilford,0.5,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3BX,No,51.559670,0.067339,543406,186557,TQ434865,6/1/1996 12:00:00 AM,6/1/1997 12:00:00 AM,13,,,Ilford,0.1,Redbridge,,,Redbridge,Valentines,
IG1 3DA,No,51.566927,0.059645,542850,187349,TQ428873,12/1/1997 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Ilford,1.1,Redbridge,,,Redbridge,Cranbrook,
IG1 3DB,Yes,51.566379,0.064757,543206,187298,TQ432872,1/1/1980 12:00:00 AM,,15,102,34,Ilford,0.8,Redbridge,Thames Water,,Redbridge,Valentines,
IG1 3DD,Yes,51.563868,0.063302,543113,187016,TQ431870,1/1/1980 12:00:00 AM,,11,163,49,Ilford,0.6,Redbridge,Thames Water,,Redbridge,Valentines,
