Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
IG1 1AA,No,51.558255,0.072064,543738,186409,TQ437864,2/1/1990 12:00:00 AM,8/1/2003 12:00:00 AM,17,,,Ilford,0.2,Redbridge,Essex & Suffolk Water,,Redbridge,Ilford Town,
IG1 1AB,No,51.558255,0.072064,543738,186409,TQ437864,10/1/1987 12:00:00 AM,2/1/2015 12:00:00 AM,17,,,Ilford,0.2,Redbridge,,,Redbridge,Ilford Town,
IG1 1AD,No,51.558070,0.072373,543760,186389,TQ437863,6/1/1997 12:00:00 AM,8/1/2001 12:00:00 AM,16,,,Ilford,0.2,Redbridge,,,Redbridge,Ilford Town,
IG1 1AE,No,51.556748,0.081502,544397,186260,TQ443862,12/1/1996 12:00:00 AM,12/1/1997 12:00:00 AM,12,,,Ilford,0.9,Redbridge,,,Redbridge,Clementswood,
IG1 1AF,No,51.556748,0.081502,544397,186260,TQ443862,12/1/1996 12:00:00 AM,6/1/1999 12:00:00 AM,12,,,Ilford,0.9,Redbridge,,,Redbridge,Clementswood,
IG1 1AG,Yes,51.557648,0.072368,543761,186342,TQ437863,12/1/1995 12:00:00 AM,,15,,,Ilford,0.2,Redbridge,Thames Water,,Redbridge,Ilford Town,
IG1 1AH,No,51.556675,0.081571,544402,186252,TQ444862,9/1/1991 12:00:00 AM,12/1/1999 12:00:00 AM,12,,,Ilford,0.9,Redbridge,,,Redbridge,Clementswood,
IG1 1AJ,No,51.558184,0.071513,543700,186400,TQ437863,7/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,16,,,Ilford,0.2,Redbridge,,,Redbridge,Ilford Town,
IG1 1AL,No,51.558255,0.072064,543738,186409,TQ437864,7/1/1995 12:00:00 AM,8/1/1997 12:00:00 AM,17,,,Ilford,0.2,Redbridge,,,Redbridge,Ilford Town,
IG1 1AN,No,51.556748,0.081502,544397,186260,TQ443862,6/1/1996 12:00:00 AM,12/1/1999 12:00:00 AM,12,,,Ilford,0.9,Redbridge,,,Redbridge,Clementswood,
IG1 1AP,No,51.558184,0.071513,543700,186400,TQ437863,1/1/1993 12:00:00 AM,12/1/1996 12:00:00 AM,16,,,Ilford,0.2,Redbridge,,,Redbridge,Ilford Town,
IG1 1AQ,No,51.558184,0.071513,543700,186400,TQ437863,5/1/1994 12:00:00 AM,12/1/1996 12:00:00 AM,16,,,Ilford,0.2,Redbridge,,,Redbridge,Ilford Town,
IG1 1AR,Yes,51.559704,0.071510,543695,186569,TQ436865,9/1/1991 12:00:00 AM,,22,,,Ilford,0.1,Redbridge,Essex & Suffolk Water,Thames Water,Redbridge,Ilford Town,
IG1 1AS,Yes,51.559672,0.072302,543750,186567,TQ437865,9/1/1991 12:00:00 AM,,23,,,Ilford,0.2,Redbridge,Essex & Suffolk Water,Thames Water,Redbridge,Ilford Town,
IG1 1AT,Yes,51.559672,0.072302,543750,186567,TQ437865,9/1/1991 12:00:00 AM,,23,,,Ilford,0.2,Redbridge,Essex & Suffolk Water,Thames Water,Redbridge,Ilford Town,
IG1 1AU,No,51.556748,0.081502,544397,186260,TQ443862,12/1/1995 12:00:00 AM,6/1/1998 12:00:00 AM,12,,,Ilford,0.9,Redbridge,,,Redbridge,Clementswood,
IG1 1AW,No,51.558184,0.071513,543700,186400,TQ437863,1/1/1993 12:00:00 AM,12/1/1995 12:00:00 AM,16,,,Ilford,0.2,Redbridge,,,Redbridge,Ilford Town,
IG1 1AX,No,51.556748,0.081502,544397,186260,TQ443862,1/1/1993 12:00:00 AM,12/1/1998 12:00:00 AM,12,,,Ilford,0.9,Redbridge,,,Redbridge,Clementswood,
