Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
IV1 1AA,No,57.481332,-4.223950,266758,845637,NH667456,1/1/1980 12:00:00 AM,9/1/2022 12:00:00 AM,10,,,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1AB,No,57.479242,-4.226792,266580,845410,NH665454,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,13,,,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1AD,Yes,57.487251,-4.225728,266673,846299,NH666462,7/1/1992 12:00:00 AM,,4,,,Inverness,0.8,Inbhir Nis,Scottish Water,,Highland,Inverness Millburn,
IV1 1AE,No,57.491824,-4.231197,266362,846819,NH663468,7/1/2006 12:00:00 AM,8/1/2010 12:00:00 AM,3,,,Inverness,1.4,Inbhir Nis,Scottish Water,,Highland,Inverness Millburn,
IV1 1AF,Yes,57.488933,-4.230702,266381,846496,NH663464,11/1/2018 12:00:00 AM,,4,,,Inverness,1.1,Inbhir Nis,Scottish Water,,Highland,Inverness Millburn,
IV1 1AG,Yes,57.480211,-4.227451,266544,845519,NH665455,3/1/2021 12:00:00 AM,,10,,,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1AH,Yes,57.484225,-4.222507,266855,845956,NH668459,4/1/2020 12:00:00 AM,,8,,,Inverness,0.5,Inbhir Nis,Scottish Water,,Highland,Inverness Millburn,
IV1 1AJ,Yes,57.484615,-4.223832,266777,846002,NH667460,4/1/2020 12:00:00 AM,,7,,,Inverness,0.5,Inbhir Nis,Scottish Water,,Highland,Inverness Millburn,
IV1 1AN,Yes,57.478893,-4.225786,266639,845369,NH666453,10/1/2022 12:00:00 AM,,13,,,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1AU,No,57.489631,-4.225123,266718,846563,NH667465,6/1/1997 12:00:00 AM,5/1/2015 12:00:00 AM,4,,,Inverness,1.1,Inbhir Nis,Scottish Water,,Highland,Inverness Millburn,
IV1 1AW,No,57.479403,-4.226319,266609,845427,NH666454,5/1/1993 12:00:00 AM,7/1/2002 12:00:00 AM,14,,,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1AX,Yes,57.479403,-4.226319,266609,845427,NH666454,12/1/1995 12:00:00 AM,,14,,,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1AZ,No,57.479616,-4.225981,266630,845450,NH666454,12/1/1990 12:00:00 AM,12/1/1994 12:00:00 AM,14,,,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1BA,Yes,57.480426,-4.229467,266424,845547,NH664455,6/1/1999 12:00:00 AM,,8,,,Inverness,0.4,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1BB,No,57.480096,-4.226778,266584,845505,NH665455,1/1/1980 12:00:00 AM,8/1/2005 12:00:00 AM,12,,,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1BD,No,57.489218,-4.231738,266320,846530,NH663465,2/1/1992 12:00:00 AM,12/1/1998 12:00:00 AM,3,,,Inverness,1.2,Inbhir Nis,Scottish Water,,Highland,Inverness Millburn,
IV1 1BG,No,57.489218,-4.231755,266319,846530,NH663465,2/1/1994 12:00:00 AM,6/1/1998 12:00:00 AM,3,,,Inverness,1.2,Inbhir Nis,Scottish Water,,Highland,Inverness Millburn,
IV1 1DA,Yes,57.479641,-4.226049,266626,845453,NH666454,1/1/1980 12:00:00 AM,,13,25,11,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1DB,No,57.479616,-4.225981,266630,845450,NH666454,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,14,,,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1DD,No,57.481332,-4.223950,266758,845637,NH667456,1/1/1980 12:00:00 AM,8/1/2001 12:00:00 AM,10,,,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1DE,Yes,57.479410,-4.225418,266663,845426,NH666454,1/1/1980 12:00:00 AM,,14,0,0,Inverness,0.1,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1DF,Yes,57.479149,-4.225919,266632,845398,NH666453,1/1/1980 12:00:00 AM,,15,3,3,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1DG,Yes,57.479060,-4.226414,266602,845389,NH666453,1/1/1980 12:00:00 AM,,15,24,18,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1DH,No,57.479403,-4.226319,266609,845427,NH666454,1/1/1980 12:00:00 AM,12/1/2018 12:00:00 AM,14,,,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1DJ,Yes,57.479305,-4.226796,266580,845417,NH665454,1/1/1980 12:00:00 AM,,13,0,0,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1DL,No,57.479242,-4.226792,266580,845410,NH665454,1/1/1980 12:00:00 AM,2/1/1995 12:00:00 AM,13,,,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1DN,Yes,57.479584,-4.226780,266582,845448,NH665454,1/1/1980 12:00:00 AM,,13,20,8,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1DP,Yes,57.471851,-4.226175,266590,844586,NH665445,1/1/1980 12:00:00 AM,,11,,,Inverness,0.9,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1DQ,No,57.479071,-4.226282,266610,845390,NH666453,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,15,,,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1DR,Yes,57.478585,-4.226869,266573,845337,NH665453,1/1/1980 12:00:00 AM,,12,3,2,Inverness,0.3,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
IV1 1DS,No,57.481332,-4.223950,266758,845637,NH667456,10/1/1992 12:00:00 AM,8/1/2004 12:00:00 AM,10,,,Inverness,0.2,Inbhir Nis,Scottish Water,,Highland,Inverness Central,
