Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
PO30 2JQ,Yes,50.685871,-1.221075,455123,87647,SZ551876,8/1/2017 12:00:00 AM,,43,,,Sandown,5.2,,Southern Water,,Isle of Wight,"Newchurch, Havenstreet & Ashey",
PO30 2NU,Yes,50.686002,-1.246482,453328,87643,SZ533876,1/1/1980 12:00:00 AM,,100,1,1,Sandown,6.7,,Southern Water,,Isle of Wight,"Newchurch, Havenstreet & Ashey",
PO30 2NY,Yes,50.690429,-1.233089,454269,88145,SZ542881,1/1/1980 12:00:00 AM,,60,9,3,Smallbrook Junction,6.0,,Southern Water,,Isle of Wight,"Newchurch, Havenstreet & Ashey",
PO30 2NZ,Yes,50.688807,-1.217185,455394,87976,SZ553879,1/1/1980 12:00:00 AM,,47,2,1,Smallbrook Junction,5.1,,Southern Water,,Isle of Wight,"Newchurch, Havenstreet & Ashey",
PO33 1AA,Yes,50.722463,-1.144970,460452,91775,SZ604917,1/1/1980 12:00:00 AM,,48,38,21,Ryde St Johns Road,0.8,Ryde,Southern Water,,Isle of Wight,Ryde Appley & Elmfield,
PO33 1AB,Yes,50.721476,-1.145500,460416,91665,SZ604916,1/1/1980 12:00:00 AM,,49,78,27,Ryde St Johns Road,0.8,Ryde,Southern Water,,Isle of Wight,Ryde Appley & Elmfield,
PO33 1AD,Yes,50.721205,-1.141666,460687,91638,SZ606916,1/1/1980 12:00:00 AM,,48,,,Ryde St Johns Road,1.1,Ryde,Southern Water,,Isle of Wight,Ryde Appley & Elmfield,
PO33 1AE,Yes,50.720511,-1.146096,460375,91557,SZ603915,1/1/1980 12:00:00 AM,,49,44,18,Ryde St Johns Road,0.9,Ryde,Southern Water,,Isle of Wight,Ryde Appley & Elmfield,
PO33 1AF,Yes,50.719761,-1.145829,460395,91474,SZ603914,1/1/1980 12:00:00 AM,,48,43,16,Ryde St Johns Road,0.9,Ryde,Southern Water,,Isle of Wight,Ryde Appley & Elmfield,
PO33 1AG,Yes,50.720323,-1.143949,460527,91538,SZ605915,1/1/1980 12:00:00 AM,,48,47,27,Ryde St Johns Road,1.0,Ryde,Southern Water,,Isle of Wight,Ryde Appley & Elmfield,
PO33 1AH,Yes,50.720040,-1.144676,460476,91506,SZ604915,1/1/1980 12:00:00 AM,,47,3,2,Ryde St Johns Road,1.0,Ryde,Southern Water,,Isle of Wight,Ryde Appley & Elmfield,
PO33 1AJ,Yes,50.720077,-1.144461,460491,91510,SZ604915,1/1/1980 12:00:00 AM,,47,5,3,Ryde St Johns Road,1.0,Ryde,Southern Water,,Isle of Wight,Ryde Appley & Elmfield,
PO33 1AL,Yes,50.719663,-1.144768,460470,91464,SZ604914,1/1/1980 12:00:00 AM,,46,80,30,Ryde St Johns Road,1.0,Ryde,Southern Water,,Isle of Wight,Ryde Appley & Elmfield,
PO33 1AN,Yes,50.719007,-1.146041,460381,91390,SZ603913,1/1/1980 12:00:00 AM,,47,40,19,Ryde St Johns Road,1.0,Ryde,Southern Water,,Isle of Wight,Ryde Appley & Elmfield,
