Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
E8 2BB,Yes,51.546320,-0.076715,533460,184800,TQ334848,8/1/1992 12:00:00 AM,,21,,,Dalston Junction,0.1,Hackney,Thames Water,,Islington,Mildmay,
E8 2LA,Yes,51.546706,-0.076670,533462,184843,TQ334848,1/1/1980 12:00:00 AM,,21,,,Dalston Junction,0.1,Islington,Thames Water,,Islington,Mildmay,
N1 2FS,Yes,51.548732,-0.088397,532643,185047,TQ326850,12/1/1998 12:00:00 AM,,26,,,Canonbury,0.3,Islington,Thames Water,,Islington,Mildmay,
N1 2LE,Yes,51.546489,-0.100938,531780,184775,TQ317847,12/1/1994 12:00:00 AM,,35,25,13,Highbury and Islington,0.2,Islington,Thames Water,,Islington,Highbury,
N1 2LF,Yes,51.546262,-0.102306,531686,184747,TQ316847,1/1/1980 12:00:00 AM,,38,16,6,Highbury and Islington,0.1,Islington,Thames Water,,Islington,Highbury,
N1 2LH,Yes,51.546321,-0.101061,531772,184756,TQ317847,1/1/1980 12:00:00 AM,,36,29,16,Highbury and Islington,0.2,Islington,Thames Water,,Islington,Highbury,
N1 2LJ,Yes,51.546674,-0.099375,531888,184798,TQ318847,1/1/1980 12:00:00 AM,,34,127,57,Highbury and Islington,0.3,Islington,Thames Water,,Islington,Highbury,
N1 2LL,Yes,51.547334,-0.097038,532048,184876,TQ320848,1/1/1980 12:00:00 AM,,34,158,77,Canonbury,0.3,Islington,Thames Water,,Islington,Mildmay,
N1 2LP,Yes,51.547343,-0.094816,532202,184881,TQ322848,1/1/1980 12:00:00 AM,,35,40,18,Canonbury,0.2,Islington,Thames Water,,Islington,Mildmay,
N1 2LQ,No,51.546260,-0.102332,531684,184747,TQ316847,12/1/2000 12:00:00 AM,1/1/2010 12:00:00 AM,38,,,Highbury and Islington,0.1,Islington,Thames Water,,Islington,Highbury,
N1 2LR,Yes,51.547418,-0.092751,532345,184893,TQ323848,1/1/1980 12:00:00 AM,,31,5,2,Canonbury,0.1,Islington,Thames Water,,Islington,Mildmay,
N1 2LW,Yes,51.547725,-0.094875,532197,184923,TQ321849,1/1/1980 12:00:00 AM,,33,154,75,Canonbury,0.2,Islington,Thames Water,,Islington,Mildmay,
N1 2NE,Yes,51.547781,-0.094625,532214,184930,TQ322849,1/1/1980 12:00:00 AM,,33,7,4,Canonbury,0.1,Islington,Thames Water,,Islington,Mildmay,
N1 2PG,Yes,51.548188,-0.092574,532355,184979,TQ323849,1/1/1980 12:00:00 AM,,29,112,51,Canonbury,0.0,Islington,Thames Water,,Islington,Mildmay,
N1 2PH,Yes,51.547440,-0.093964,532261,184893,TQ322848,5/1/1994 12:00:00 AM,,33,16,5,Canonbury,0.1,Islington,Thames Water,,Islington,Mildmay,
N1 2PJ,Yes,51.548119,-0.090373,532508,184975,TQ325849,1/1/1980 12:00:00 AM,,27,86,28,Canonbury,0.1,Islington,Thames Water,,Islington,Mildmay,
N1 2PL,Yes,51.548416,-0.088353,532647,185012,TQ326850,1/1/1980 12:00:00 AM,,26,44,19,Canonbury,0.3,Islington,Thames Water,,Islington,Mildmay,
N1 2PP,Yes,51.547710,-0.090272,532516,184930,TQ325849,1/1/1980 12:00:00 AM,,27,77,36,Canonbury,0.2,Islington,Thames Water,,Islington,Mildmay,
