Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
G77 6SH,Yes,55.717206,-4.382360,250444,649659,NS504496,1/1/1980 12:00:00 AM,,250,5,2,Neilston,7.8,,Scottish Water,,East Ayrshire,Annick,
G78 4BT,Yes,55.759060,-4.494960,243540,654564,NS435545,1/1/1980 12:00:00 AM,,159,1,1,Neilston,5.0,,Scottish Water,,East Ayrshire,Annick,
G78 4BU,Yes,55.757538,-4.507040,242776,654422,NS427544,1/1/1980 12:00:00 AM,,134,1,1,Dunlop,5.3,,Scottish Water,,East Ayrshire,Annick,
G78 4BX,Yes,55.753519,-4.493155,243631,653943,NS436539,1/1/1980 12:00:00 AM,,180,4,1,Dunlop,5.2,,Scottish Water,,East Ayrshire,Annick,
G78 4BY,Yes,55.750405,-4.503777,242952,653621,NS429536,1/1/1980 12:00:00 AM,,161,5,1,Dunlop,4.6,,Scottish Water,,East Ayrshire,Annick,
G78 4DN,Yes,55.756199,-4.515370,242248,654292,NS422542,1/1/1985 12:00:00 AM,,116,3,2,Dunlop,5.0,,Scottish Water,,East Ayrshire,Annick,
KA1 1AA,No,55.608726,-4.500104,242614,637850,NS426378,1/1/1980 12:00:00 AM,11/1/2005 12:00:00 AM,34,,,Kilmarnock,0.4,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1AD,Yes,55.603178,-4.510242,241953,637256,NS419372,7/1/2008 12:00:00 AM,,29,34,21,Kilmarnock,1.2,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1AE,Yes,55.598445,-4.508749,242028,636726,NS420367,8/1/2017 12:00:00 AM,,29,,,Kilmarnock,1.6,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1AF,Yes,55.598648,-4.508476,242046,636748,NS420367,11/1/2017 12:00:00 AM,,24,,,Kilmarnock,1.6,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1AH,Yes,55.599569,-4.506106,242199,636845,NS421368,4/1/2018 12:00:00 AM,,24,,,Kilmarnock,1.5,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1AR,No,55.608726,-4.500104,242614,637850,NS426378,1/1/1980 12:00:00 AM,2/1/1980 12:00:00 AM,34,,,Kilmarnock,0.4,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1AX,No,55.608365,-4.500145,242610,637810,NS426378,2/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,33,,,Kilmarnock,0.4,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1AY,No,55.603283,-4.506045,242218,637258,NS422372,6/1/1996 12:00:00 AM,9/1/2000 12:00:00 AM,29,,,Kilmarnock,1.1,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BA,Yes,55.608471,-4.498500,242714,637818,NS427378,4/1/1989 12:00:00 AM,,32,0,0,Kilmarnock,0.4,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BB,Yes,55.608549,-4.499454,242654,637829,NS426378,1/1/1980 12:00:00 AM,,33,0,0,Kilmarnock,0.4,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BD,Yes,55.608625,-4.499252,242667,637837,NS426378,1/1/1980 12:00:00 AM,,33,0,0,Kilmarnock,0.4,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BE,Yes,55.608386,-4.499967,242621,637812,NS426378,1/1/1980 12:00:00 AM,,34,,,Kilmarnock,0.4,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BF,No,55.603283,-4.506045,242218,637258,NS422372,12/1/1995 12:00:00 AM,5/1/2001 12:00:00 AM,29,,,Kilmarnock,1.1,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BG,Yes,55.608255,-4.500181,242607,637798,NS426377,1/1/1980 12:00:00 AM,,33,0,0,Kilmarnock,0.4,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BH,Yes,55.608999,-4.499864,242630,637880,NS426378,1/1/1980 12:00:00 AM,,34,0,0,Kilmarnock,0.4,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BJ,No,55.608997,-4.500026,242620,637880,NS426378,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,35,,,Kilmarnock,0.4,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BL,Yes,55.609698,-4.499527,242654,637957,NS426379,1/1/1980 12:00:00 AM,,35,0,0,Kilmarnock,0.3,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BN,No,55.609317,-4.499729,242640,637915,NS426379,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,35,,,Kilmarnock,0.3,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BP,No,55.609994,-4.499614,242650,637990,NS426379,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,36,,,Kilmarnock,0.2,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BQ,No,55.608726,-4.500104,242614,637850,NS426378,12/1/1996 12:00:00 AM,10/1/2005 12:00:00 AM,34,,,Kilmarnock,0.4,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BS,Yes,55.609590,-4.499091,242681,637944,NS426379,1/1/1980 12:00:00 AM,,35,1,1,Kilmarnock,0.3,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BT,No,55.609552,-4.499268,242670,637940,NS426379,1/1/1979 12:00:00 AM,12/1/1994 12:00:00 AM,35,,,Kilmarnock,0.3,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BU,No,55.609329,-4.499142,242677,637915,NS426379,1/1/2004 12:00:00 AM,1/1/2004 12:00:00 AM,34,,,Kilmarnock,0.3,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BW,Yes,55.599196,-4.493148,243014,636774,NS430367,10/1/1994 12:00:00 AM,,23,,,Kilmarnock,1.5,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BX,No,55.599196,-4.493148,243014,636774,NS430367,12/1/1990 12:00:00 AM,12/1/2018 12:00:00 AM,23,,,Kilmarnock,1.5,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BY,No,55.599196,-4.493148,243014,636774,NS430367,1/1/1980 12:00:00 AM,7/1/2007 12:00:00 AM,23,,,Kilmarnock,1.5,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1BZ,No,55.599196,-4.493148,243014,636774,NS430367,12/1/2007 12:00:00 AM,1/1/2008 12:00:00 AM,23,,,Kilmarnock,1.5,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1DA,No,55.610688,-4.498657,242713,638065,NS427380,1/1/1980 12:00:00 AM,5/1/2016 12:00:00 AM,39,0,0,Kilmarnock,0.2,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1DB,Yes,55.608399,-4.498924,242687,637811,NS426378,12/1/1995 12:00:00 AM,,32,0,0,Kilmarnock,0.4,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1DD,Yes,55.610948,-4.498642,242715,638094,NS427380,1/1/1980 12:00:00 AM,,40,18,12,Kilmarnock,0.1,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1DE,No,55.610795,-4.498696,242711,638077,NS427380,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,39,,,Kilmarnock,0.1,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1DF,No,55.603283,-4.506045,242218,637258,NS422372,12/1/1995 12:00:00 AM,5/1/2001 12:00:00 AM,29,,,Kilmarnock,1.1,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1DG,Yes,55.611532,-4.498250,242742,638158,NS427381,1/1/1980 12:00:00 AM,,42,2,1,Kilmarnock,0.1,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1DH,Yes,55.611711,-4.497404,242796,638176,NS427381,1/1/1980 12:00:00 AM,,41,0,0,Kilmarnock,0.1,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1DJ,No,55.607319,-4.496792,242817,637686,NS428376,1/1/2005 12:00:00 AM,5/1/2008 12:00:00 AM,30,,,Kilmarnock,0.5,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock East and Hurlford,
KA1 1DL,No,55.611649,-4.497813,242770,638170,NS427381,7/1/1981 12:00:00 AM,7/1/1992 12:00:00 AM,41,,,Kilmarnock,0.1,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1DN,No,55.610795,-4.498696,242711,638077,NS427380,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,39,,,Kilmarnock,0.1,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1DP,No,55.599196,-4.493148,243014,636774,NS430367,12/1/1990 12:00:00 AM,3/1/2019 12:00:00 AM,23,,,Kilmarnock,1.5,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1DQ,No,55.611193,-4.498102,242750,638120,NS427381,8/1/1973 12:00:00 AM,12/1/1995 12:00:00 AM,40,,,Kilmarnock,0.1,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1DS,No,55.610795,-4.498696,242711,638077,NS427380,8/1/1985 12:00:00 AM,7/1/1992 12:00:00 AM,39,,,Kilmarnock,0.1,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1DT,No,55.608231,-4.497913,242750,637790,NS427377,10/1/1983 12:00:00 AM,7/1/1992 12:00:00 AM,31,,,Kilmarnock,0.4,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1DU,Yes,55.607864,-4.498219,242729,637750,NS427377,1/1/1980 12:00:00 AM,,31,8,6,Kilmarnock,0.5,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1DX,No,55.622006,-4.505620,242320,639340,NS423393,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,66,,,Kilmarnock,1.2,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock North,
KA1 1DY,No,55.599196,-4.493148,243014,636774,NS430367,7/1/1992 12:00:00 AM,2/1/2006 12:00:00 AM,23,,,Kilmarnock,1.5,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1DZ,Yes,55.607712,-4.498246,242727,637733,NS427377,1/1/1980 12:00:00 AM,,31,1,1,Kilmarnock,0.5,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
KA1 1EA,Yes,55.608399,-4.498924,242687,637811,NS426378,12/1/1995 12:00:00 AM,,32,0,0,Kilmarnock,0.4,Kilmarnock,Scottish Water,,East Ayrshire,Kilmarnock West and Crosshouse,
