Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
KT1 1AA,No,51.408688,-0.304465,518023,169104,TQ180691,2/1/1990 12:00:00 AM,4/1/2024 12:00:00 AM,12,,,Kingston,0.5,Kingston upon Thames,Thames Water,,Kingston upon Thames,Kingston Town,
KT1 1AB,No,51.412330,-0.302591,518144,169512,TQ181695,1/1/2005 12:00:00 AM,8/1/2014 12:00:00 AM,14,,,Kingston,0.1,Kingston upon Thames,,,Kingston upon Thames,Kingston Town,
KT1 1AD,No,51.411211,-0.301136,518248,169390,TQ182693,3/1/2010 12:00:00 AM,9/1/2019 12:00:00 AM,13,,,Kingston,0.2,Kingston upon Thames,Thames Water,,Kingston upon Thames,Kingston Town,
KT1 1AE,Yes,51.412605,-0.307304,517816,169535,TQ178695,2/1/2011 12:00:00 AM,,9,,,Hampton Wick,0.4,Kingston upon Thames,Thames Water,,Kingston upon Thames,Kingston Town,
KT1 1AF,Yes,51.412549,-0.307205,517823,169529,TQ178695,2/1/2011 12:00:00 AM,,10,,,Kingston,0.4,Kingston upon Thames,Thames Water,,Kingston upon Thames,Kingston Town,
KT1 1AH,No,51.410758,-0.307710,517792,169329,TQ177693,6/1/2000 12:00:00 AM,4/1/2009 12:00:00 AM,12,,,Kingston,0.5,Kingston upon Thames,,,Kingston upon Thames,Kingston Town,
KT1 1AJ,Yes,51.412616,-0.307447,517806,169536,TQ178695,1/1/2013 12:00:00 AM,,9,,,Hampton Wick,0.4,Kingston upon Thames,Thames Water,,Kingston upon Thames,Kingston Town,
KT1 1AL,No,51.409152,-0.307353,517821,169151,TQ178691,6/1/2012 12:00:00 AM,5/1/2022 12:00:00 AM,11,,,Kingston,0.6,Kingston upon Thames,Thames Water,,Kingston upon Thames,Kingston Town,
KT1 1AN,Yes,51.411874,-0.300918,518261,169464,TQ182694,9/1/2012 12:00:00 AM,,12,,,Kingston,0.1,Kingston upon Thames,Thames Water,,Kingston upon Thames,Kingston Town,
KT1 1AP,No,51.412641,-0.301119,518246,169549,TQ182695,1/1/2015 12:00:00 AM,11/1/2018 12:00:00 AM,13,,,Kingston,0.0,Kingston upon Thames,Thames Water,,Kingston upon Thames,Kingston Town,
KT1 1AQ,Yes,51.409943,-0.307287,517824,169239,TQ178692,6/1/2019 12:00:00 AM,,8,,,Kingston,0.5,Kingston upon Thames,,,Kingston upon Thames,Kingston Town,
KT1 1AR,Yes,51.411146,-0.300945,518261,169383,TQ182693,12/1/2019 12:00:00 AM,,9,,,Kingston,0.2,Kingston upon Thames,,,Kingston upon Thames,Kingston Town,
KT1 1AS,Yes,51.410265,-0.307189,517830,169275,TQ178692,9/1/2021 12:00:00 AM,,9,,,Kingston,0.5,Kingston upon Thames,,,Kingston upon Thames,Kingston Town,
KT1 1AZ,Yes,51.408764,-0.307856,517787,169107,TQ177691,12/1/2001 12:00:00 AM,,11,34,20,Kingston,0.6,Kingston upon Thames,Thames Water,,Kingston upon Thames,Kingston Town,
KT1 1BA,No,51.408677,-0.306234,517900,169100,TQ179690,1/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,12,,,Kingston,0.6,Kingston upon Thames,,,Kingston upon Thames,Kingston Town,
KT1 1BB,Yes,51.408876,-0.305680,517938,169123,TQ179691,1/1/1980 12:00:00 AM,,12,17,8,Kingston,0.5,Kingston upon Thames,Thames Water,,Kingston upon Thames,Kingston Town,
KT1 1BD,No,51.408677,-0.306234,517900,169100,TQ179690,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,12,,,Kingston,0.6,Kingston upon Thames,,,Kingston upon Thames,Kingston Town,
KT1 1BE,No,51.408677,-0.306234,517900,169100,TQ179690,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,12,,,Kingston,0.6,Kingston upon Thames,,,Kingston upon Thames,Kingston Town,
KT1 1BG,No,51.408657,-0.304797,518000,169100,TQ180691,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,12,,,Kingston,0.5,Kingston upon Thames,,,Kingston upon Thames,Kingston Town,
KT1 1BJ,Yes,51.409670,-0.304623,518009,169213,TQ180692,10/1/1984 12:00:00 AM,,15,,,Kingston,0.4,Kingston upon Thames,Thames Water,,Kingston upon Thames,Kingston Town,
KT1 1BL,Yes,51.409183,-0.304526,518017,169159,TQ180691,10/1/1984 12:00:00 AM,,13,,,Kingston,0.5,Kingston upon Thames,Thames Water,,Kingston upon Thames,Kingston Town,
KT1 1BN,No,51.408636,-0.303360,518100,169100,TQ180691,6/1/1981 12:00:00 AM,12/1/1985 12:00:00 AM,13,,,Kingston,0.5,Kingston upon Thames,,,Kingston upon Thames,Kingston Town,
