Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
HU1 1EX,No,53.744072,-0.326561,510461,428821,TA104288,4/1/1987 12:00:00 AM,2/1/2020 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 1HH,No,53.744072,-0.326561,510461,428821,TA104288,7/1/1983 12:00:00 AM,8/1/2019 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 1JF,No,53.744072,-0.326561,510461,428821,TA104288,1/1/1980 12:00:00 AM,5/1/2013 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 1JJ,No,53.744072,-0.326561,510461,428821,TA104288,7/1/2012 12:00:00 AM,4/1/2013 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 1JQ,No,53.744072,-0.326561,510461,428821,TA104288,1/1/1980 12:00:00 AM,12/1/2018 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 1JS,No,53.744072,-0.326561,510461,428821,TA104288,1/1/1980 12:00:00 AM,12/1/2018 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 1JT,No,53.744072,-0.326561,510461,428821,TA104288,12/1/2000 12:00:00 AM,5/1/2002 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1QS,No,53.744072,-0.326561,510461,428821,TA104288,1/1/1980 12:00:00 AM,2/1/2006 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1QT,No,53.744072,-0.326561,510461,428821,TA104288,1/1/1980 12:00:00 AM,3/1/2003 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1RJ,No,53.744072,-0.326561,510461,428821,TA104288,7/1/1983 12:00:00 AM,4/1/2021 12:00:00 AM,6,3,3,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 1RN,No,53.744072,-0.326561,510461,428821,TA104288,2/1/1990 12:00:00 AM,10/1/2004 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1RW,No,53.744072,-0.326561,510461,428821,TA104288,7/1/1983 12:00:00 AM,12/1/2018 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 1UN,No,53.744072,-0.326561,510461,428821,TA104288,12/1/1999 12:00:00 AM,6/1/2008 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1UR,No,53.744072,-0.326561,510461,428821,TA104288,6/1/1981 12:00:00 AM,1/1/2008 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 1US,No,53.744072,-0.326561,510461,428821,TA104288,6/1/2001 12:00:00 AM,12/1/2018 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 1UW,No,53.744072,-0.326561,510461,428821,TA104288,12/1/1998 12:00:00 AM,9/1/2001 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1WB,Yes,53.744072,-0.326561,510461,428821,TA104288,7/1/1995 12:00:00 AM,,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 1WJ,No,53.744072,-0.326561,510461,428821,TA104288,12/1/1997 12:00:00 AM,2/1/2003 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1WL,No,53.744072,-0.326561,510461,428821,TA104288,12/1/1998 12:00:00 AM,8/1/2003 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1WN,No,53.744072,-0.326561,510461,428821,TA104288,12/1/1998 12:00:00 AM,9/1/2003 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1WP,No,53.744072,-0.326561,510461,428821,TA104288,6/1/2000 12:00:00 AM,4/1/2002 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1WQ,No,53.744072,-0.326561,510461,428821,TA104288,5/1/2005 12:00:00 AM,5/1/2006 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1WR,No,53.744072,-0.326561,510461,428821,TA104288,12/1/1998 12:00:00 AM,12/1/2018 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 1WT,No,53.744072,-0.326561,510461,428821,TA104288,2/1/2005 12:00:00 AM,3/1/2007 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1WU,No,53.744072,-0.326561,510461,428821,TA104288,3/1/2004 12:00:00 AM,7/1/2005 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1WW,No,53.744072,-0.326561,510461,428821,TA104288,2/1/2004 12:00:00 AM,3/1/2008 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1WX,No,53.744072,-0.326561,510461,428821,TA104288,7/1/2002 12:00:00 AM,11/1/2003 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1WY,No,53.744072,-0.326561,510461,428821,TA104288,6/1/2002 12:00:00 AM,7/1/2005 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1WZ,Yes,53.744072,-0.326561,510461,428821,TA104288,12/1/2001 12:00:00 AM,,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 1XF,Yes,53.744072,-0.326561,510461,428821,TA104288,3/1/1982 12:00:00 AM,,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 1XL,No,53.744072,-0.326561,510461,428821,TA104288,12/1/2001 12:00:00 AM,2/1/2006 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1XN,No,53.744072,-0.326561,510461,428821,TA104288,7/1/1983 12:00:00 AM,12/1/2008 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1XY,No,53.744072,-0.326561,510461,428821,TA104288,1/1/1980 12:00:00 AM,12/1/2018 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 1XZ,No,53.744072,-0.326561,510461,428821,TA104288,8/1/1993 12:00:00 AM,12/1/2018 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 1YL,No,53.744072,-0.326561,510461,428821,TA104288,1/1/1980 12:00:00 AM,9/1/2001 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 1YQ,No,53.744072,-0.326561,510461,428821,TA104288,1/1/1993 12:00:00 AM,3/1/2006 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 2AB,Yes,53.744072,-0.326561,510461,428821,TA104288,1/1/1980 12:00:00 AM,,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 2AD,No,53.744072,-0.326561,510461,428821,TA104288,1/1/1980 12:00:00 AM,11/1/2001 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 2BS,No,53.744072,-0.326561,510461,428821,TA104288,7/1/1983 12:00:00 AM,12/1/2018 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 2RX,No,53.744072,-0.326561,510461,428821,TA104288,7/1/1986 12:00:00 AM,6/1/2008 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 2SJ,Yes,53.744072,-0.326561,510461,428821,TA104288,1/1/1980 12:00:00 AM,,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 2SW,No,53.744072,-0.326561,510461,428821,TA104288,4/1/1985 12:00:00 AM,7/1/2005 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 2WX,No,53.744072,-0.326561,510461,428821,TA104288,3/1/2003 12:00:00 AM,3/1/2014 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 2WY,No,53.744072,-0.326561,510461,428821,TA104288,12/1/2002 12:00:00 AM,2/1/2006 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 2WZ,No,53.744072,-0.326561,510461,428821,TA104288,11/1/2002 12:00:00 AM,9/1/2006 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 2YA,Yes,53.744072,-0.326561,510461,428821,TA104288,12/1/2000 12:00:00 AM,,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 2YB,No,53.744072,-0.326561,510461,428821,TA104288,12/1/1999 12:00:00 AM,10/1/2001 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 2YD,No,53.744072,-0.326561,510461,428821,TA104288,12/1/2000 12:00:00 AM,6/1/2008 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 2YE,Yes,53.744072,-0.326561,510461,428821,TA104288,6/1/2000 12:00:00 AM,,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 2YF,No,53.744072,-0.326561,510461,428821,TA104288,6/1/2000 12:00:00 AM,9/1/2001 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 2YG,No,53.744072,-0.326561,510461,428821,TA104288,6/1/2002 12:00:00 AM,6/1/2008 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 2YH,No,53.744072,-0.326561,510461,428821,TA104288,12/1/1999 12:00:00 AM,5/1/2006 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 2YJ,No,53.744072,-0.326561,510461,428821,TA104288,6/1/2001 12:00:00 AM,2/1/2004 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 2YR,No,53.744072,-0.326561,510461,428821,TA104288,2/1/2007 12:00:00 AM,2/1/2008 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 2YS,No,53.744072,-0.326561,510461,428821,TA104288,12/1/1999 12:00:00 AM,6/1/2004 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 2YT,No,53.744072,-0.326561,510461,428821,TA104288,7/1/1995 12:00:00 AM,8/1/1997 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 3BJ,No,53.744072,-0.326561,510461,428821,TA104288,2/1/2008 12:00:00 AM,6/1/2008 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 3EW,No,53.744072,-0.326561,510461,428821,TA104288,1/1/1980 12:00:00 AM,6/1/2008 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 3EZ,No,53.744072,-0.326561,510461,428821,TA104288,1/1/1980 12:00:00 AM,12/1/2018 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 3QR,No,53.744072,-0.326561,510461,428821,TA104288,1/1/1980 12:00:00 AM,6/1/2008 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 3RN,No,53.744072,-0.326561,510461,428821,TA104288,1/1/1992 12:00:00 AM,1/1/2024 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 3WT,No,53.744072,-0.326561,510461,428821,TA104288,4/1/2005 12:00:00 AM,5/1/2006 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 3WU,No,53.744072,-0.326561,510461,428821,TA104288,10/1/2006 12:00:00 AM,6/1/2008 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
HU1 3WW,No,53.744072,-0.326561,510461,428821,TA104288,1/1/2004 12:00:00 AM,12/1/2018 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",Drypool,
HU1 3WZ,No,53.744072,-0.326561,510461,428821,TA104288,8/1/2002 12:00:00 AM,6/1/2008 12:00:00 AM,6,,,Hull,1.3,Kingston upon Hull,,,"Kingston upon Hull, City of",Drypool,
