Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
HU1 1AA,Yes,53.744042,-0.332795,510050,428808,TA100288,6/1/2002 12:00:00 AM,,11,45,33,Hull,0.8,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1AB,No,53.744038,-0.333159,510026,428807,TA100288,2/1/1990 12:00:00 AM,6/1/1998 12:00:00 AM,12,,,Hull,0.8,Kingston upon Hull,,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1AH,No,53.746339,-0.329883,510236,429068,TA102290,11/1/2008 12:00:00 AM,8/1/2011 12:00:00 AM,6,,,Hull,1.1,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1AJ,No,53.743981,-0.333555,510000,428800,TA100288,5/1/1994 12:00:00 AM,6/1/1996 12:00:00 AM,12,,,Hull,0.8,Kingston upon Hull,,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1AL,Yes,53.740415,-0.334825,509926,428401,TA099284,7/1/2021 12:00:00 AM,,6,,,Hull,0.8,Kingston upon Hull,,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1AN,Yes,53.740250,-0.335287,509896,428382,TA098283,8/1/2021 12:00:00 AM,,6,,,Hull,0.8,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1AP,Yes,53.739860,-0.334362,509958,428340,TA099283,7/1/2019 12:00:00 AM,,6,,,Hull,0.9,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1AR,Yes,53.739834,-0.333817,509994,428338,TA099283,6/1/2019 12:00:00 AM,,6,,,Hull,0.9,Kingston upon Hull,,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1AS,Yes,53.739702,-0.335945,509854,428320,TA098283,10/1/2019 12:00:00 AM,,6,,,Hull,0.8,Kingston upon Hull,,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1AT,Yes,53.739929,-0.334784,509930,428347,TA099283,4/1/2020 12:00:00 AM,,6,,,Hull,0.9,Kingston upon Hull,,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1AU,Yes,53.739727,-0.335156,509906,428324,TA099283,8/1/2019 12:00:00 AM,,6,,,Hull,0.8,Kingston upon Hull,,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1AW,Yes,53.739933,-0.333844,509992,428349,TA099283,7/1/2019 12:00:00 AM,,6,,,Hull,0.9,Kingston upon Hull,,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1AX,Yes,53.740136,-0.334806,509928,428370,TA099283,5/1/2019 12:00:00 AM,,6,,,Hull,0.8,Kingston upon Hull,,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1AY,Yes,53.742276,-0.331658,510130,428613,TA101286,1/1/2019 12:00:00 AM,,8,,,Hull,0.9,Kingston upon Hull,,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1AZ,Yes,53.737810,-0.335179,509909,428111,TA099281,12/1/2008 12:00:00 AM,,2,6,6,Hull,1.0,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1BA,Yes,53.739744,-0.336383,509825,428324,TA098283,6/1/2024 12:00:00 AM,,12,,,Hull,0.8,Kingston upon Hull,,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1BB,No,53.741980,-0.332337,510086,428579,TA100285,6/1/2022 12:00:00 AM,8/1/2022 12:00:00 AM,5,,,Hull,0.9,Kingston upon Hull,,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1BD,No,53.743981,-0.333555,510000,428800,TA100288,10/1/1987 12:00:00 AM,12/1/1994 12:00:00 AM,12,,,Hull,0.8,Kingston upon Hull,,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1BE,Yes,53.741711,-0.333046,510040,428548,TA100285,1/1/2020 12:00:00 AM,,6,,,Hull,0.9,Kingston upon Hull,,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1BH,Yes,53.740091,-0.332215,510099,428369,TA100283,3/1/2021 12:00:00 AM,,6,,,Hull,1.0,Kingston upon Hull,,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1BJ,Yes,53.742886,-0.330876,510180,428682,TA101286,2/1/2022 12:00:00 AM,,3,,,Hull,1.0,Kingston upon Hull,,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1DB,Yes,53.743587,-0.333647,509995,428756,TA099287,5/1/2007 12:00:00 AM,,12,13,10,Hull,0.8,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",St Andrew's & Docklands,
HU1 1EA,Yes,53.742926,-0.332687,510060,428684,TA100286,1/1/1980 12:00:00 AM,,11,5,2,Hull,0.9,Kingston upon Hull,Yorkshire Water,,"Kingston upon Hull, City of",St Andrew's & Docklands,
