Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DY10 3PA,Yes,52.425980,-2.191498,387075,280906,SO870809,1/1/1980 12:00:00 AM,,95,3,2,Blakedown,2.4,,Severn Trent,,South Staffordshire,Kinver & Enville,Kinver
DY10 3PB,Yes,52.429333,-2.182399,387695,281277,SO876812,1/1/1980 12:00:00 AM,,127,29,11,Hagley,2.6,,Severn Trent,,South Staffordshire,Kinver & Enville,Kinver
DY10 3PD,Yes,52.426290,-2.183352,387629,280939,SO876809,1/1/1980 12:00:00 AM,,106,4,2,Blakedown,2.3,,Severn Trent,,South Staffordshire,Kinver & Enville,Kinver
DY11 5SB,Yes,52.438202,-2.261179,382342,282280,SO823822,1/1/1980 12:00:00 AM,,74,30,13,Kidderminster,6.2,,Severn Trent,,South Staffordshire,Kinver & Enville,Kinver
DY11 5SD,Yes,52.441515,-2.267128,381939,282650,SO819826,1/1/1980 12:00:00 AM,,86,7,2,Kidderminster,6.6,,South Staffordshire Water,,South Staffordshire,Kinver & Enville,Kinver
DY11 5XS,Yes,52.438394,-2.247573,383267,282298,SO832822,1/1/1980 12:00:00 AM,,117,2,1,Blakedown,6.0,,South Staffordshire Water,,South Staffordshire,Kinver & Enville,Kinver
DY11 5XT,Yes,52.436703,-2.238973,383851,282108,SO838821,1/1/1980 12:00:00 AM,,105,6,2,Blakedown,5.4,,Severn Trent,,South Staffordshire,Kinver & Enville,Kinver
DY3 4AA,No,52.535931,-2.147237,390110,293129,SO901931,1/1/1980 12:00:00 AM,8/1/2009 12:00:00 AM,165,,,Coseley,4.3,Gospel End,South Staffordshire Water,,South Staffordshire,Himley & Swindon,Kinver
DY3 4AB,No,52.535931,-2.147237,390110,293129,SO901931,1/1/1980 12:00:00 AM,8/1/2009 12:00:00 AM,165,,,Coseley,4.3,Gospel End,,,South Staffordshire,Himley & Swindon,Kinver
DY3 4AD,Yes,52.539531,-2.149263,389973,293530,SO899935,1/1/1980 12:00:00 AM,,178,36,16,Coseley,4.3,Gospel End,South Staffordshire Water,Severn Trent,South Staffordshire,Himley & Swindon,Kinver
DY3 4AE,Yes,52.540672,-2.149857,389933,293657,SO899936,1/1/1980 12:00:00 AM,,161,39,1,Coseley,4.4,Gospel End,South Staffordshire Water,Severn Trent,South Staffordshire,Himley & Swindon,Kinver
DY3 4AF,Yes,52.540979,-2.150748,389873,293691,SO898936,1/1/1980 12:00:00 AM,,162,19,4,Coseley,4.4,Gospel End,South Staffordshire Water,Severn Trent,South Staffordshire,Himley & Swindon,Kinver
DY3 4AG,Yes,52.541708,-2.150279,389905,293772,SO899937,1/1/1980 12:00:00 AM,,157,40,19,Coseley,4.4,Gospel End,South Staffordshire Water,Severn Trent,South Staffordshire,Himley & Swindon,Kinver
DY3 4AH,Yes,52.543723,-2.156332,389495,293997,SO894939,1/1/1980 12:00:00 AM,,125,5,1,Coseley,4.8,,South Staffordshire Water,Severn Trent,South Staffordshire,Himley & Swindon,Kinver
DY3 4AJ,Yes,52.540228,-2.147885,390067,293607,SO900936,1/1/1980 12:00:00 AM,,167,29,14,Coseley,4.2,Gospel End,South Staffordshire Water,Severn Trent,South Staffordshire,Himley & Swindon,Kinver
DY3 4AL,Yes,52.540232,-2.144878,390271,293607,SO902936,1/1/1980 12:00:00 AM,,165,28,17,Coseley,4.0,Gospel End,South Staffordshire Water,Severn Trent,South Staffordshire,Himley & Swindon,Kinver
DY3 4AN,Yes,52.540733,-2.146192,390182,293663,SO901936,1/1/1980 12:00:00 AM,,160,63,26,Coseley,4.1,Gospel End,South Staffordshire Water,Severn Trent,South Staffordshire,Himley & Swindon,Kinver
DY3 4AP,Yes,52.514174,-2.203292,386301,290718,SO863907,11/1/2007 12:00:00 AM,,73,16,4,Stourbridge Town,7.7,Swindon (South Staffordshire),Severn Trent,,South Staffordshire,Himley & Swindon,Kinver
DY3 4AQ,Yes,52.541805,-2.149492,389958,293783,SO899937,1/1/1980 12:00:00 AM,,157,35,20,Coseley,4.3,Gospel End,South Staffordshire Water,Severn Trent,South Staffordshire,Himley & Swindon,Kinver
DY3 4AR,Yes,52.536519,-2.149563,389952,293195,SO899931,5/1/2019 12:00:00 AM,,168,,,Coseley,4.4,Gospel End,,,South Staffordshire,Himley & Swindon,Kinver
DY3 4AS,Yes,52.523514,-2.190669,387160,291755,SO871917,8/1/2020 12:00:00 AM,,91,,,Coseley,7.5,Wombourne,,,South Staffordshire,Wombourne South,Wombourne
DY3 4AT,Yes,52.523315,-2.191096,387131,291733,SO871917,12/1/2020 12:00:00 AM,,92,,,Coseley,7.5,Wombourne,,,South Staffordshire,Wombourne South,Wombourne
DY3 4AU,Yes,52.524296,-2.190481,387173,291842,SO871918,3/1/2021 12:00:00 AM,,98,,,Coseley,7.4,Wombourne,,,South Staffordshire,Wombourne South,Wombourne
DY3 4AW,Yes,52.524011,-2.189183,387261,291810,SO872918,8/1/2021 12:00:00 AM,,93,,,Coseley,7.4,Wombourne,,,South Staffordshire,Wombourne South,Wombourne
DY3 4BA,Yes,52.537108,-2.145805,390207,293260,SO902932,5/1/2015 12:00:00 AM,,173,,,Coseley,4.2,Gospel End,South Staffordshire Water,Severn Trent,South Staffordshire,Himley & Swindon,Kinver
DY3 4BB,Yes,52.535891,-2.148381,390032,293125,SO900931,4/1/2019 12:00:00 AM,,164,,,Coseley,4.4,Gospel End,,,South Staffordshire,Himley & Swindon,Kinver
DY3 4BD,Yes,52.537723,-2.145179,390250,293328,SO902933,6/1/2015 12:00:00 AM,,176,,,Coseley,4.1,Gospel End,South Staffordshire Water,Severn Trent,South Staffordshire,Himley & Swindon,Kinver
DY3 4BE,Yes,52.537504,-2.145394,390235,293304,SO902933,6/1/2015 12:00:00 AM,,177,,,Coseley,4.1,Gospel End,South Staffordshire Water,Severn Trent,South Staffordshire,Himley & Swindon,Kinver
DY3 4BF,Yes,52.536487,-2.146186,390181,293191,SO901931,1/1/2016 12:00:00 AM,,171,,,Coseley,4.2,Gospel End,South Staffordshire Water,Severn Trent,South Staffordshire,Himley & Swindon,Kinver
DY3 4BG,Yes,52.538339,-2.146473,390162,293397,SO901933,11/1/2015 12:00:00 AM,,175,,,Coseley,4.2,Gospel End,South Staffordshire Water,Severn Trent,South Staffordshire,Himley & Swindon,Kinver
DY3 4BH,Yes,52.537637,-2.146824,390138,293319,SO901933,5/1/2016 12:00:00 AM,,171,,,Coseley,4.2,Gospel End,South Staffordshire Water,Severn Trent,South Staffordshire,Himley & Swindon,Kinver
