Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
L1 8JP,No,53.400239,-2.843704,344000,389600,SJ440895,6/1/1981 12:00:00 AM,7/1/1995 12:00:00 AM,22,,,Huyton,1.1,,,,Knowsley,Roby,
L1 8JW,No,53.400239,-2.843704,344000,389600,SJ440895,12/1/1994 12:00:00 AM,12/1/1996 12:00:00 AM,22,,,Huyton,1.1,,,,Knowsley,Roby,
L10 0AD,Yes,53.469537,-2.915266,339341,397368,SJ393973,1/1/1980 12:00:00 AM,,23,12,6,Fazakerley,1.4,Kirkby,United Utilities,,Knowsley,Cherryfield,
L10 0AE,Yes,53.468984,-2.914727,339376,397306,SJ393973,1/1/1980 12:00:00 AM,,23,26,14,Fazakerley,1.5,Kirkby,United Utilities,,Knowsley,Cherryfield,
L10 0AF,Yes,53.467287,-2.914449,339392,397117,SJ393971,1/1/1980 12:00:00 AM,,22,23,9,Fazakerley,1.5,Kirkby,United Utilities,,Knowsley,Cherryfield,
L10 0AG,Yes,53.467953,-2.911766,339571,397189,SJ395971,1/1/1980 12:00:00 AM,,22,88,39,Fazakerley,1.7,Kirkby,United Utilities,,Knowsley,Cherryfield,
L10 0AH,Yes,53.467506,-2.912857,339498,397140,SJ394971,1/1/1980 12:00:00 AM,,21,34,14,Fazakerley,1.6,Kirkby,United Utilities,,Knowsley,Cherryfield,
L10 0AJ,Yes,53.469278,-2.913844,339435,397338,SJ394973,1/1/1980 12:00:00 AM,,23,82,32,Fazakerley,1.5,Kirkby,United Utilities,,Knowsley,Cherryfield,
L10 0AL,Yes,53.469077,-2.911911,339563,397314,SJ395973,1/1/1980 12:00:00 AM,,24,86,40,Fazakerley,1.6,Kirkby,United Utilities,,Knowsley,Cherryfield,
L10 0AN,Yes,53.468161,-2.913082,339484,397213,SJ394972,1/1/1980 12:00:00 AM,,22,80,31,Fazakerley,1.6,Kirkby,United Utilities,,Knowsley,Cherryfield,
L10 0AP,Yes,53.470339,-2.912631,339517,397455,SJ395974,1/1/1980 12:00:00 AM,,22,39,14,Fazakerley,1.6,Kirkby,United Utilities,,Knowsley,Cherryfield,
L10 0AQ,Yes,53.465856,-2.912339,339530,396956,SJ395969,1/1/1980 12:00:00 AM,,19,31,0,Fazakerley,1.7,Kirkby,United Utilities,,Knowsley,Cherryfield,
L10 0AR,Yes,53.466735,-2.915010,339354,397056,SJ393970,1/1/1980 12:00:00 AM,,20,123,53,Fazakerley,1.5,Liverpool,United Utilities,,Knowsley,Cherryfield,
L10 0AS,Yes,53.469872,-2.914941,339363,397405,SJ393974,1/1/1980 12:00:00 AM,,23,37,32,Fazakerley,1.4,Kirkby,United Utilities,,Knowsley,Cherryfield,
L10 0AT,Yes,53.469210,-2.913391,339465,397330,SJ394973,1/1/1980 12:00:00 AM,,24,50,19,Fazakerley,1.5,Kirkby,United Utilities,,Knowsley,Cherryfield,
L10 0AW,Yes,53.467228,-2.913966,339424,397110,SJ394971,1/1/1980 12:00:00 AM,,21,52,21,Fazakerley,1.5,Kirkby,United Utilities,,Knowsley,Cherryfield,
L10 0AX,No,53.467147,-2.912819,339500,397100,SJ395971,8/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,20,,,Fazakerley,1.6,Kirkby,,,Knowsley,Cherryfield,
