Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
FY6 0AA,Yes,53.924510,-2.997055,334622,448058,SD346480,1/1/1980 12:00:00 AM,,7,13,6,Poulton-Le-Fylde,8.5,,United Utilities,,Wyre,Preesall,Wyre Rural Central
FY6 0AB,Yes,53.928281,-2.995844,334707,448476,SD347484,1/1/1980 12:00:00 AM,,7,14,6,Poulton-Le-Fylde,8.9,Preesall and Knott End-on-Sea,United Utilities,,Wyre,Preesall,Wyre Rural Central
FY6 0AD,Yes,53.928376,-2.991558,334989,448483,SD349484,1/1/1980 12:00:00 AM,,8,113,61,Poulton-Le-Fylde,8.9,Preesall and Knott End-on-Sea,United Utilities,,Wyre,Preesall,Wyre Rural Central
FY6 0AE,Yes,53.928431,-2.988537,335187,448486,SD351484,1/1/1980 12:00:00 AM,,7,16,10,Poulton-Le-Fylde,8.9,Preesall and Knott End-on-Sea,United Utilities,,Wyre,Preesall,Wyre Rural Central
FY6 0AF,Yes,53.928298,-2.984581,335447,448468,SD354484,3/1/1988 12:00:00 AM,,7,13,8,Poulton-Le-Fylde,8.9,Preesall and Knott End-on-Sea,United Utilities,,Wyre,Preesall,Wyre Rural Central
FY6 0AG,Yes,53.928578,-2.987725,335241,448502,SD352485,1/1/1980 12:00:00 AM,,7,71,16,Poulton-Le-Fylde,8.9,Preesall and Knott End-on-Sea,United Utilities,,Wyre,Preesall,Wyre Rural Central
FY6 0AH,Yes,53.928653,-2.987330,335267,448510,SD352485,1/1/1980 12:00:00 AM,,7,41,21,Poulton-Le-Fylde,8.9,Preesall and Knott End-on-Sea,United Utilities,,Wyre,Preesall,Wyre Rural Central
FY6 0AJ,Yes,53.928555,-2.986171,335343,448498,SD353484,1/1/1980 12:00:00 AM,,7,30,12,Poulton-Le-Fylde,8.9,Preesall and Knott End-on-Sea,United Utilities,,Wyre,Preesall,Wyre Rural Central
FY6 0AL,Yes,53.928831,-2.986497,335322,448529,SD353485,1/1/1980 12:00:00 AM,,7,24,9,Poulton-Le-Fylde,8.9,Preesall and Knott End-on-Sea,United Utilities,,Wyre,Preesall,Wyre Rural Central
FY6 0AN,Yes,53.929203,-2.986469,335324,448570,SD353485,1/1/1980 12:00:00 AM,,7,20,10,Poulton-Le-Fylde,9.0,Preesall and Knott End-on-Sea,United Utilities,,Wyre,Preesall,Wyre Rural Central
FY6 0AP,No,53.928102,-2.995359,334739,448456,SD347484,12/1/1996 12:00:00 AM,12/1/1999 12:00:00 AM,7,,,Poulton-Le-Fylde,8.9,Preesall and Knott End-on-Sea,United Utilities,,Wyre,Preesall,Wyre Rural Central
FY6 0AQ,Yes,53.928201,-2.987640,335246,448460,SD352484,1/1/1980 12:00:00 AM,,7,5,4,Poulton-Le-Fylde,8.9,Preesall and Knott End-on-Sea,United Utilities,,Wyre,Preesall,Wyre Rural Central
FY6 0AR,Yes,53.927894,-2.985067,335414,448423,SD354484,1/1/1980 12:00:00 AM,,7,37,18,Poulton-Le-Fylde,8.8,Preesall and Knott End-on-Sea,United Utilities,,Wyre,Preesall,Wyre Rural Central
FY6 0AS,Yes,53.927581,-2.984847,335428,448388,SD354483,1/1/1980 12:00:00 AM,,7,7,2,Poulton-Le-Fylde,8.8,Preesall and Knott End-on-Sea,United Utilities,,Wyre,Preesall,Wyre Rural Central
FY6 0AT,Yes,53.927304,-2.986370,335328,448359,SD353483,1/1/1980 12:00:00 AM,,6,11,4,Poulton-Le-Fylde,8.8,Preesall and Knott End-on-Sea,United Utilities,,Wyre,Preesall,Wyre Rural Central
FY6 0AU,Yes,53.928001,-2.986166,335342,448436,SD353484,1/1/1980 12:00:00 AM,,7,18,8,Poulton-Le-Fylde,8.8,Preesall and Knott End-on-Sea,United Utilities,,Wyre,Preesall,Wyre Rural Central
FY6 0AW,Yes,53.928678,-2.985366,335396,448511,SD353485,1/1/1980 12:00:00 AM,,7,64,27,Poulton-Le-Fylde,8.9,Preesall and Knott End-on-Sea,United Utilities,,Wyre,Preesall,Wyre Rural Central
FY6 0AX,Yes,53.927074,-2.987454,335256,448334,SD352483,1/1/1980 12:00:00 AM,,6,33,14,Poulton-Le-Fylde,8.7,Preesall and Knott End-on-Sea,United Utilities,,Wyre,Preesall,Wyre Rural Central
FY6 0AY,Yes,53.924558,-2.989137,335142,448056,SD351480,1/1/1980 12:00:00 AM,,6,43,22,Poulton-Le-Fylde,8.5,Preesall and Knott End-on-Sea,United Utilities,,Wyre,Preesall,Wyre Rural Central
