Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
LS1 1AJ,No,53.796543,-1.548350,429848,433454,SE298334,7/1/1986 12:00:00 AM,11/1/2007 12:00:00 AM,46,,,Leeds,0.1,Leeds,,,Leeds,Little London & Woodhouse,
LS1 1AS,No,53.796305,-1.564126,428809,433421,SE288334,6/1/2001 12:00:00 AM,6/1/2008 12:00:00 AM,35,,,Leeds,1.1,Leeds,,,Leeds,Little London & Woodhouse,
LS1 1AW,No,53.798928,-1.554033,429472,433717,SE294337,10/1/1984 12:00:00 AM,6/1/2000 12:00:00 AM,39,,,Leeds,0.5,Leeds,,,Leeds,Little London & Woodhouse,
LS1 1AZ,Yes,53.796296,-1.564095,428811,433420,SE288334,8/1/1993 12:00:00 AM,,34,,,Leeds,1.1,Leeds,Yorkshire Water,,Leeds,Little London & Woodhouse,
LS1 1BA,Yes,53.797049,-1.556406,429317,433507,SE293335,7/1/2005 12:00:00 AM,,37,,,Leeds,0.6,Leeds,Yorkshire Water,,Leeds,Little London & Woodhouse,
LS1 1BL,Yes,53.796296,-1.564095,428811,433420,SE288334,7/1/1995 12:00:00 AM,,34,,,Leeds,1.1,Leeds,Yorkshire Water,,Leeds,Little London & Woodhouse,
LS1 1BN,No,53.796305,-1.564126,428809,433421,SE288334,7/1/1995 12:00:00 AM,6/1/2008 12:00:00 AM,35,,,Leeds,1.1,Leeds,,,Leeds,Little London & Woodhouse,
LS1 1BX,No,53.796305,-1.564126,428809,433421,SE288334,6/1/1996 12:00:00 AM,8/1/2008 12:00:00 AM,35,,,Leeds,1.1,Leeds,,,Leeds,Little London & Woodhouse,
LS1 1DJ,No,53.796305,-1.564126,428809,433421,SE288334,6/1/1999 12:00:00 AM,6/1/2008 12:00:00 AM,35,,,Leeds,1.1,Leeds,,,Leeds,Little London & Woodhouse,
LS1 1DN,Yes,53.796296,-1.564095,428811,433420,SE288334,6/1/2000 12:00:00 AM,,34,,,Leeds,1.1,Leeds,Yorkshire Water,,Leeds,Little London & Woodhouse,
LS1 1DP,No,53.796305,-1.564126,428809,433421,SE288334,6/1/1998 12:00:00 AM,5/1/2012 12:00:00 AM,35,,,Leeds,1.1,Leeds,,,Leeds,Little London & Woodhouse,
LS1 1EA,No,53.798928,-1.554033,429472,433717,SE294337,1/1/1993 12:00:00 AM,11/1/2003 12:00:00 AM,39,,,Leeds,0.5,Leeds,,,Leeds,Little London & Woodhouse,
LS1 1EB,No,53.796496,-1.559842,429091,433444,SE290334,6/1/1996 12:00:00 AM,6/1/2015 12:00:00 AM,36,,,Leeds,0.8,Leeds,,,Leeds,Little London & Woodhouse,
LS1 1ED,No,53.796496,-1.559842,429091,433444,SE290334,6/1/1996 12:00:00 AM,6/1/2015 12:00:00 AM,36,,,Leeds,0.8,Leeds,,,Leeds,Little London & Woodhouse,
LS1 1EE,No,53.796496,-1.559842,429091,433444,SE290334,6/1/1996 12:00:00 AM,6/1/2015 12:00:00 AM,36,,,Leeds,0.8,Leeds,,,Leeds,Little London & Woodhouse,
LS1 1EF,No,53.796496,-1.559842,429091,433444,SE290334,6/1/1996 12:00:00 AM,6/1/2015 12:00:00 AM,36,,,Leeds,0.8,Leeds,,,Leeds,Little London & Woodhouse,
LS1 1EG,No,53.796496,-1.559842,429091,433444,SE290334,6/1/1996 12:00:00 AM,6/1/2015 12:00:00 AM,36,,,Leeds,0.8,Leeds,,,Leeds,Little London & Woodhouse,
LS1 1EH,No,53.796496,-1.559842,429091,433444,SE290334,6/1/1996 12:00:00 AM,9/1/2013 12:00:00 AM,36,,,Leeds,0.8,Leeds,,,Leeds,Little London & Woodhouse,
