Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
LS16 8AJ,Yes,53.865315,-1.576973,427917,441094,SE279410,1/1/1980 12:00:00 AM,,138,8,4,Horsforth,4.0,,Yorkshire Water,,Leeds,Alwoodley,
LS16 8AL,Yes,53.871296,-1.573694,428129,441761,SE281417,1/1/1980 12:00:00 AM,,150,2,1,Horsforth,4.5,,Yorkshire Water,,Leeds,Alwoodley,
LS16 8AN,No,53.875208,-1.563443,428800,442200,SE287422,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,134,,,Horsforth,5.3,,,,Leeds,Alwoodley,
LS16 8AP,Yes,53.877327,-1.558711,429110,442438,SE291424,1/1/1980 12:00:00 AM,,135,4,2,Weeton,5.3,,Yorkshire Water,,Leeds,Alwoodley,
LS16 8AR,Yes,53.876524,-1.562228,428879,442347,SE288423,1/1/1980 12:00:00 AM,,136,3,2,Weeton,5.3,,Yorkshire Water,,Leeds,Alwoodley,
LS16 8AS,Yes,53.877821,-1.563543,428792,442491,SE287424,1/1/1980 12:00:00 AM,,141,5,2,Weeton,5.2,,Yorkshire Water,,Leeds,Alwoodley,
LS16 8AT,Yes,53.878998,-1.565168,428684,442621,SE286426,1/1/1980 12:00:00 AM,,142,3,1,Weeton,5.0,,Yorkshire Water,,Leeds,Alwoodley,
LS16 8AU,Yes,53.881945,-1.562521,428856,442950,SE288429,1/1/1980 12:00:00 AM,,150,1,1,Weeton,4.7,,Yorkshire Water,,Leeds,Alwoodley,
LS16 8AW,Yes,53.875531,-1.560884,428968,442237,SE289422,1/1/1980 12:00:00 AM,,129,5,3,Weeton,5.5,,Yorkshire Water,,Leeds,Alwoodley,
LS16 8AX,Yes,53.883393,-1.561051,428952,443112,SE289431,1/1/1980 12:00:00 AM,,148,1,1,Weeton,4.6,,Yorkshire Water,,Leeds,Alwoodley,
LS16 8AY,Yes,53.886791,-1.561091,428947,443490,SE289434,1/1/1980 12:00:00 AM,,146,,,Weeton,4.3,,Yorkshire Water,,Leeds,Alwoodley,
LS16 8AZ,Yes,53.881869,-1.573809,428114,442937,SE281429,1/1/1980 12:00:00 AM,,155,,,Weeton,4.6,,Yorkshire Water,,Leeds,Alwoodley,
LS16 8BA,Yes,53.876960,-1.578498,427809,442389,SE278423,1/1/1980 12:00:00 AM,,155,4,1,Horsforth,4.7,,Yorkshire Water,,Leeds,Alwoodley,
LS16 8BB,Yes,53.876995,-1.580855,427654,442392,SE276423,1/1/1980 12:00:00 AM,,161,2,1,Horsforth,4.6,,Yorkshire Water,,Leeds,Alwoodley,
LS16 8DR,Yes,53.857783,-1.576806,427933,440256,SE279402,1/1/1980 12:00:00 AM,,124,4,1,Horsforth,3.7,Leeds,Yorkshire Water,,Leeds,Alwoodley,
LS16 8EZ,Yes,53.841493,-1.575693,428017,438444,SE280384,10/1/1984 12:00:00 AM,,77,16,5,Headingley,2.9,,Yorkshire Water,,Leeds,Moortown,
LS16 8HG,Yes,53.843279,-1.567544,428552,438646,SE285386,6/1/2009 12:00:00 AM,,96,,,Headingley,3.3,,Yorkshire Water,,Leeds,Alwoodley,
LS16 8LZ,Yes,53.872460,-1.581737,427599,441887,SE275418,4/1/1985 12:00:00 AM,,147,2,1,Horsforth,4.2,,Yorkshire Water,,Leeds,Alwoodley,
LS16 8PB,Yes,53.841938,-1.577624,427890,438493,SE278384,6/1/2001 12:00:00 AM,,82,3,1,Headingley,2.9,,Yorkshire Water,,Leeds,Weetwood,
LS17 0WY,No,53.851404,-1.533714,430772,439564,SE307395,1/1/2004 12:00:00 AM,2/1/2006 12:00:00 AM,162,,,Burley Park,5.2,Leeds,,,Leeds,Alwoodley,
