Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
LE1 1AA,No,52.632123,-1.124988,459319,304178,SK593041,9/1/2019 12:00:00 AM,10/1/2023 12:00:00 AM,72,,,Leicester,0.1,Leicester,Severn Trent,,Leicester,Castle,
LE1 1AB,No,52.632799,-1.125337,459294,304253,SK592042,8/1/1993 12:00:00 AM,3/1/2006 12:00:00 AM,71,,,Leicester,0.2,Leicester,,,Leicester,Castle,
LE1 1AD,Yes,52.635524,-1.129036,459040,304553,SK590045,8/1/2006 12:00:00 AM,,69,34,20,Leicester,0.5,Leicester,Severn Trent,,Leicester,Castle,
LE1 1AE,No,52.635949,-1.124491,459347,304604,SK593046,2/1/2010 12:00:00 AM,5/1/2011 12:00:00 AM,63,,,Leicester,0.5,Leicester,,,Leicester,Castle,
LE1 1AF,Yes,52.633934,-1.126792,459194,304378,SK591043,1/1/2011 12:00:00 AM,,69,,,Leicester,0.3,Leicester,Severn Trent,,Leicester,Castle,
LE1 1AH,No,52.633232,-1.126717,459200,304300,SK591042,6/1/1997 12:00:00 AM,7/1/2000 12:00:00 AM,69,,,Leicester,0.2,Leicester,,,Leicester,Castle,
LE1 1AJ,Yes,52.636411,-1.127400,459149,304653,SK591046,4/1/2017 12:00:00 AM,,58,,,Leicester,0.6,Leicester,,,Leicester,Castle,
LE1 1AL,No,52.632799,-1.125337,459294,304253,SK592042,3/1/1988 12:00:00 AM,6/1/1999 12:00:00 AM,71,,,Leicester,0.2,Leicester,,,Leicester,Castle,
LE1 1AN,No,52.632799,-1.125337,459294,304253,SK592042,10/1/2005 12:00:00 AM,5/1/2009 12:00:00 AM,71,,,Leicester,0.2,Leicester,,,Leicester,Castle,
LE1 1AP,Yes,52.633872,-1.129356,459021,304369,SK590043,7/1/2019 12:00:00 AM,,63,,,Leicester,0.4,Leicester,,,Leicester,Castle,
LE1 1AQ,Yes,52.634117,-1.128480,459079,304397,SK590043,9/1/2018 12:00:00 AM,,62,,,Leicester,0.4,Leicester,,,Leicester,Castle,
LE1 1AR,Yes,52.633314,-1.127979,459114,304308,SK591043,9/1/2020 12:00:00 AM,,63,,,Leicester,0.3,Leicester,,,Leicester,Castle,
LE1 1AS,Yes,52.636151,-1.128765,459057,304623,SK590046,5/1/2024 12:00:00 AM,,59,,,Leicester,0.6,Leicester,,,Leicester,Castle,
LE1 1AT,Yes,52.635748,-1.128965,459044,304578,SK590045,1/1/2023 12:00:00 AM,,60,,,Leicester,0.5,Leicester,,,Leicester,Castle,
LE1 1AW,No,52.631583,-1.124992,459319,304118,SK593041,6/1/1996 12:00:00 AM,10/1/2001 12:00:00 AM,73,,,Leicester,0.0,Leicester,,,Leicester,Castle,
LE1 1AZ,No,52.633232,-1.126717,459200,304300,SK591042,8/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,69,,,Leicester,0.2,Leicester,,,Leicester,Castle,
LE1 1BA,No,52.632799,-1.125337,459294,304253,SK592042,1/1/1980 12:00:00 AM,7/1/2001 12:00:00 AM,71,,,Leicester,0.2,Leicester,,,Leicester,Castle,
LE1 1BB,No,52.633232,-1.126717,459200,304300,SK591042,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,69,,,Leicester,0.2,Leicester,,,Leicester,Castle,
LE1 1BD,No,52.633232,-1.126717,459200,304300,SK591042,1/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,69,,,Leicester,0.2,Leicester,,,Leicester,Castle,
LE1 1BE,No,52.632799,-1.125337,459294,304253,SK592042,1/1/1980 12:00:00 AM,7/1/2001 12:00:00 AM,71,,,Leicester,0.2,Leicester,,,Leicester,Castle,
LE1 1BF,No,52.638183,-1.127564,459136,304850,SK591048,1/1/1980 12:00:00 AM,3/1/2007 12:00:00 AM,62,,,Leicester,0.8,Leicester,Severn Trent,,Leicester,Castle,
LE1 1BG,No,52.633020,-1.124771,459332,304278,SK593042,6/1/1996 12:00:00 AM,12/1/1998 12:00:00 AM,70,,,Leicester,0.2,Leicester,Severn Trent,,Leicester,Castle,
LE1 1BH,No,52.634142,-1.128176,459100,304400,SK591044,8/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,69,,,Leicester,0.4,Leicester,,,Leicester,Castle,
LE1 1BJ,No,52.633232,-1.126717,459200,304300,SK591042,8/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,69,,,Leicester,0.2,Leicester,,,Leicester,Castle,
LE1 1BL,No,52.633232,-1.126717,459200,304300,SK591042,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,69,,,Leicester,0.2,Leicester,,,Leicester,Castle,
LE1 1BN,No,52.633232,-1.126717,459200,304300,SK591042,8/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,69,,,Leicester,0.2,Leicester,,,Leicester,Castle,
LE1 1BP,No,52.633232,-1.126717,459200,304300,SK591042,8/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,69,,,Leicester,0.2,Leicester,,,Leicester,Castle,
LE1 1DA,Yes,52.635249,-1.131989,458840,304520,SK588045,1/1/1980 12:00:00 AM,,70,,,Leicester,0.6,Leicester,Severn Trent,,Leicester,Castle,
LE1 1DB,No,52.635073,-1.132591,458800,304500,SK587044,3/1/1983 12:00:00 AM,5/1/1994 12:00:00 AM,70,,,Leicester,0.6,Leicester,,,Leicester,Castle,
LE1 1DD,Yes,52.635138,-1.131614,458866,304508,SK588045,1/1/1980 12:00:00 AM,,71,,,Leicester,0.6,Leicester,Severn Trent,,Leicester,Castle,
LE1 1DE,Yes,52.633989,-1.130640,458933,304381,SK589043,1/1/1980 12:00:00 AM,,71,8,1,Leicester,0.5,Leicester,Severn Trent,,Leicester,Castle,
LE1 1DF,Yes,52.634187,-1.130702,458929,304403,SK589044,9/1/2014 12:00:00 AM,,71,,,Leicester,0.5,Leicester,,,Leicester,Castle,
LE1 1DG,No,52.634187,-1.130688,458930,304403,SK589044,1/1/1980 12:00:00 AM,1/1/2003 12:00:00 AM,71,,,Leicester,0.5,Leicester,,,Leicester,Castle,
LE1 1DH,Yes,52.633324,-1.129449,459015,304308,SK590043,1/1/1980 12:00:00 AM,,70,4,1,Leicester,0.4,Leicester,Severn Trent,,Leicester,Castle,
LE1 1DJ,Yes,52.633028,-1.128235,459098,304276,SK590042,1/1/1980 12:00:00 AM,,70,1,1,Leicester,0.3,Leicester,Severn Trent,,Leicester,Castle,
LE1 1DL,Yes,52.632490,-1.127308,459161,304217,SK591042,1/1/1980 12:00:00 AM,,71,49,28,Leicester,0.2,Leicester,Severn Trent,,Leicester,Castle,
LE1 1DN,Yes,52.632573,-1.127476,459150,304226,SK591042,9/1/2012 12:00:00 AM,,71,,,Leicester,0.2,Leicester,,,Leicester,Castle,
LE1 1DP,No,52.633265,-1.131149,458900,304300,SK589043,10/1/1984 12:00:00 AM,12/1/1995 12:00:00 AM,73,,,Leicester,0.4,Leicester,,,Leicester,Castle,
LE1 1DR,Yes,52.634205,-1.124555,459345,304410,SK593044,9/1/2015 12:00:00 AM,,69,,,Leicester,0.3,Leicester,,,Leicester,Castle,
LE1 1DS,No,52.632355,-1.129690,459000,304200,SK589042,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,71,,,Leicester,0.3,Leicester,,,Leicester,Castle,
LE1 1DU,Yes,52.632872,-1.127906,459120,304259,SK591042,1/1/1980 12:00:00 AM,,70,2,2,Leicester,0.2,Leicester,Severn Trent,,Leicester,Castle,
LE1 1DW,No,52.632344,-1.128212,459100,304200,SK591041,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,71,,,Leicester,0.2,Leicester,,,Leicester,Castle,
LE1 1EA,No,52.631445,-1.128230,459100,304100,SK591040,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,73,,,Leicester,0.2,Leicester,,,Leicester,Castle,
LE1 1EB,Yes,52.633169,-1.129119,459038,304291,SK590042,6/1/1996 12:00:00 AM,,70,,,Leicester,0.3,Leicester,,,Leicester,Castle,
LE1 1ES,No,52.632283,-1.124859,459327,304196,SK593041,6/1/1998 12:00:00 AM,5/1/2002 12:00:00 AM,72,,,Leicester,0.1,Leicester,,,Leicester,Castle,
LE1 1FA,Yes,52.635587,-1.130239,458958,304559,SK589045,1/1/1980 12:00:00 AM,,70,3,2,Leicester,0.6,Leicester,Severn Trent,,Leicester,Castle,
LE1 1FB,Yes,52.635212,-1.129359,459019,304518,SK590045,1/1/1980 12:00:00 AM,,69,6,6,Leicester,0.5,Leicester,Severn Trent,,Leicester,Castle,
LE1 1FD,No,52.632283,-1.124859,459327,304196,SK593041,12/1/2001 12:00:00 AM,3/1/2009 12:00:00 AM,72,,,Leicester,0.1,Leicester,,,Leicester,Castle,
LE1 1FE,Yes,52.635212,-1.129359,459019,304518,SK590045,8/1/2016 12:00:00 AM,,72,,,Leicester,0.5,Leicester,,,Leicester,Castle,
LE1 1FF,No,52.632283,-1.124859,459327,304196,SK593041,1/1/1993 12:00:00 AM,11/1/2009 12:00:00 AM,72,,,Leicester,0.1,Leicester,,,Leicester,Castle,
LE1 1FH,No,52.635172,-1.130121,458967,304513,SK589045,1/1/1980 12:00:00 AM,10/1/2001 12:00:00 AM,70,,,Leicester,0.5,Leicester,,,Leicester,Castle,
LE1 1FJ,No,52.635062,-1.131114,458900,304500,SK588044,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,72,,,Leicester,0.6,Leicester,,,Leicester,Castle,
LE1 1FL,No,52.635185,-1.129397,459016,304515,SK590045,6/1/1981 12:00:00 AM,1/1/2011 12:00:00 AM,70,,,Leicester,0.5,Leicester,Severn Trent,,Leicester,Castle,
LE1 1FN,Yes,52.635896,-1.129486,459009,304594,SK590045,1/1/1980 12:00:00 AM,,68,64,53,Leicester,0.6,Leicester,Severn Trent,,Leicester,Castle,
LE1 1FQ,No,52.634226,-1.129859,458986,304408,SK589044,1/1/1993 12:00:00 AM,12/1/2013 12:00:00 AM,70,,,Leicester,0.4,Leicester,,,Leicester,Castle,
LE1 1FR,No,52.636204,-1.129820,458986,304628,SK589046,12/1/2001 12:00:00 AM,2/1/2006 12:00:00 AM,68,,,Leicester,0.6,Leicester,,,Leicester,Castle,
LE1 1FS,No,52.636005,-1.129691,458995,304606,SK589046,1/1/1980 12:00:00 AM,6/1/1998 12:00:00 AM,68,,,Leicester,0.6,Leicester,,,Leicester,Castle,
LE1 1FT,No,52.635355,-1.129335,459020,304534,SK590045,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,69,,,Leicester,0.5,Leicester,,,Leicester,Castle,
LE1 1FU,No,52.635052,-1.129636,459000,304500,SK590045,9/1/1981 12:00:00 AM,12/1/1994 12:00:00 AM,70,,,Leicester,0.5,Leicester,,,Leicester,Castle,
LE1 1FW,No,52.632283,-1.124859,459327,304196,SK593041,12/1/2001 12:00:00 AM,3/1/2009 12:00:00 AM,72,,,Leicester,0.1,Leicester,,,Leicester,Castle,
