Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
M29 0AA,No,53.522638,-2.491418,367517,402998,SD675029,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,62,,,Atherton,1.1,Atherton,,,Wigan,Atherton South & Lilford,
M29 0AB,No,53.523267,-2.493763,367362,403069,SD673030,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,61,,,Atherton,1.2,Atherton,,,Wigan,Atherton South & Lilford,
M29 0AD,No,53.522766,-2.495175,367268,403014,SD672030,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,59,,,Hag Fold,1.2,Atherton,,,Wigan,Atherton South & Lilford,
M29 0AF,No,53.523606,-2.500660,366905,403110,SD669031,7/1/1990 12:00:00 AM,5/1/1994 12:00:00 AM,57,,,Hag Fold,1.2,Atherton,,,Wigan,Atherton North,
M29 0AG,No,53.520934,-2.490387,367584,402808,SD675028,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,56,,,Atherton,1.2,Atherton,,,Wigan,Atherton South & Lilford,
M29 0AH,No,53.522352,-2.497583,367108,402969,SD671029,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,56,,,Hag Fold,1.3,Atherton,,,Wigan,Atherton South & Lilford,
M29 0AJ,No,53.522520,-2.498143,367071,402988,SD670029,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,56,,,Hag Fold,1.3,Atherton,,,Wigan,Atherton South & Lilford,
M29 0AL,No,53.522394,-2.496045,367210,402973,SD672029,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,57,,,Hag Fold,1.3,Atherton,,,Wigan,Atherton South & Lilford,
M29 0AN,No,53.522322,-2.493857,367355,402964,SD673029,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,59,,,Atherton,1.2,Atherton,,,Wigan,Atherton South & Lilford,
M29 0AP,No,53.520864,-2.490145,367600,402800,SD676028,6/1/1981 12:00:00 AM,5/1/1994 12:00:00 AM,55,,,Atherton,1.2,Atherton,,,Wigan,Atherton South & Lilford,
M29 0AQ,No,53.522516,-2.492623,367437,402985,SD674029,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,60,,,Atherton,1.2,Atherton,,,Wigan,Atherton South & Lilford,
M29 0AR,No,53.521551,-2.489188,367664,402876,SD676028,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,60,,,Atherton,1.1,Atherton,,,Wigan,Atherton South & Lilford,
M29 0AS,No,53.522005,-2.487956,367746,402926,SD677029,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,62,,,Atherton,1.0,Atherton,,,Wigan,Atherton South & Lilford,
M29 0AT,No,53.521826,-2.489900,367617,402907,SD676029,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,61,,,Atherton,1.1,Atherton,,,Wigan,Atherton South & Lilford,
M29 0AU,No,53.522252,-2.491338,367522,402955,SD675029,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,61,,,Atherton,1.1,Atherton,,,Wigan,Atherton South & Lilford,
M29 0AW,No,53.522335,-2.492968,367414,402965,SD674029,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,59,,,Atherton,1.2,Atherton,,,Wigan,Atherton South & Lilford,
M29 0AX,No,53.522108,-2.491336,367522,402939,SD675029,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,61,,,Atherton,1.1,Atherton,,,Wigan,Atherton South & Lilford,
M29 0AY,No,53.521866,-2.493279,367393,402913,SD673029,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,59,,,Atherton,1.2,Atherton,,,Wigan,Atherton South & Lilford,
M29 0AZ,No,53.521154,-2.496106,367205,402835,SD672028,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,54,,,Hag Fold,1.4,Atherton,,,Wigan,Atherton South & Lilford,
M29 0BA,No,53.520881,-2.496722,367164,402805,SD671028,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,52,,,Hag Fold,1.4,Atherton,,,Wigan,Atherton South & Lilford,
M29 0BB,No,53.520875,-2.498200,367066,402805,SD670028,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,52,,,Hag Fold,1.5,Atherton,,,Wigan,Atherton South & Lilford,
M29 0BD,No,53.521372,-2.499759,366963,402861,SD669028,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,53,,,Hag Fold,1.4,Atherton,,,Wigan,Atherton South & Lilford,
M29 0BE,No,53.520495,-2.501016,366879,402764,SD668027,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,53,,,Hag Fold,1.5,Atherton,,,Wigan,Atherton South & Lilford,
M29 0BH,No,53.519544,-2.502814,366759,402659,SD667026,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,48,,,Hag Fold,1.7,Atherton,,,Wigan,Atherton South & Lilford,
M29 0BJ,No,53.519632,-2.501036,366877,402668,SD668026,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,48,,,Hag Fold,1.6,Atherton,,,Wigan,Atherton South & Lilford,
M29 0BL,No,53.520430,-2.499310,366992,402756,SD669027,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,52,,,Hag Fold,1.5,Atherton,,,Wigan,Atherton South & Lilford,
M29 0BN,No,53.519117,-2.501527,366844,402611,SD668026,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,46,,,Hag Fold,1.7,Atherton,,,Wigan,Atherton South & Lilford,
M29 0BP,No,53.520532,-2.498678,367034,402767,SD670027,4/1/1987 12:00:00 AM,5/1/1994 12:00:00 AM,52,,,Hag Fold,1.5,Atherton,,,Wigan,Atherton South & Lilford,
M29 0BQ,No,53.522436,-2.488022,367742,402974,SD677029,1/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,63,,,Atherton,1.0,Atherton,,,Wigan,Atherton South & Lilford,
M29 0BR,No,53.521756,-2.491664,367500,402900,SD674028,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,60,,,Atherton,1.2,Atherton,,,Wigan,Atherton South & Lilford,
M29 0BW,No,53.518823,-2.501056,366875,402578,SD668025,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,44,,,Hag Fold,1.7,Atherton,,,Wigan,Atherton South & Lilford,
M29 0BX,No,53.521756,-2.491664,367500,402900,SD674028,2/1/1990 12:00:00 AM,12/1/1990 12:00:00 AM,60,,,Atherton,1.2,Atherton,,,Wigan,Atherton South & Lilford,
M29 0DA,No,53.523849,-2.494222,367332,403134,SD673031,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,61,,,Hag Fold,1.1,Atherton,,,Wigan,Atherton North,
M29 0DB,No,53.524107,-2.494919,367286,403163,SD672031,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,61,,,Hag Fold,1.1,Atherton,,,Wigan,Atherton North,
M29 0DD,No,53.514553,-2.494597,367300,402100,SD672020,1/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,35,,,Atherton,1.9,,,,Wigan,Atherton South & Lilford,
M29 0DE,No,53.524004,-2.495808,367227,403152,SD672031,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,62,,,Hag Fold,1.1,Atherton,,,Wigan,Atherton North,
M29 0DF,No,53.523568,-2.496949,367151,403104,SD671031,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,61,,,Hag Fold,1.2,Atherton,,,Wigan,Atherton North,
M29 0DG,No,53.523498,-2.492242,367463,403094,SD674030,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,61,,,Atherton,1.1,Atherton,,,Wigan,Atherton South & Lilford,
M29 0DH,No,53.523901,-2.496742,367165,403141,SD671031,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,62,,,Hag Fold,1.1,Atherton,,,Wigan,Atherton North,
M29 0DJ,No,53.523854,-2.497375,367123,403136,SD671031,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,61,,,Hag Fold,1.1,Atherton,,,Wigan,Atherton North,
M29 0DL,No,53.523191,-2.496703,367167,403062,SD671030,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,60,,,Hag Fold,1.2,Atherton,United Utilities,,Wigan,Atherton South & Lilford,
M29 0DN,No,53.523485,-2.490869,367554,403092,SD675030,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,62,,,Atherton,1.0,Atherton,,,Wigan,Atherton South & Lilford,
M29 0DP,No,53.523578,-2.494506,367313,403104,SD673031,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,61,,,Hag Fold,1.1,Atherton,,,Wigan,Atherton South & Lilford,
M29 0DQ,No,53.523856,-2.492442,367450,403134,SD674031,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,61,,,Atherton,1.1,Atherton,,,Wigan,Atherton North,
M29 0DR,No,53.524058,-2.491449,367516,403156,SD675031,9/1/1991 12:00:00 AM,5/1/1994 12:00:00 AM,62,,,Atherton,1.0,Atherton,,,Wigan,Atherton North,
M29 0DS,No,53.523606,-2.500660,366905,403110,SD669031,8/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,57,,,Hag Fold,1.2,Atherton,,,Wigan,Atherton North,
M29 0DT,No,53.524654,-2.490732,367564,403222,SD675032,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,63,,,Atherton,0.9,Atherton,,,Wigan,Atherton North,
M29 0DU,No,53.524914,-2.490841,367557,403251,SD675032,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,62,,,Atherton,0.9,Atherton,,,Wigan,Atherton North,
