Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BN1 9BT,Yes,50.864401,-0.081793,535087,108963,TQ350089,11/1/2013 12:00:00 AM,,90,,,Falmer,0.5,Brighton and Hove,,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9NJ,Yes,50.863822,-0.072082,535772,108916,TQ357089,5/1/2006 12:00:00 AM,,47,,,Falmer,1.1,,Southern Water,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9PA,No,50.865790,-0.076563,535451,109127,TQ354091,1/1/1980 12:00:00 AM,4/1/2008 12:00:00 AM,100,,,Falmer,0.9,Brighton and Hove,Southern Water,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9PB,Yes,50.862831,-0.077111,535421,108797,TQ354087,1/1/1980 12:00:00 AM,,95,35,14,Falmer,0.7,Brighton and Hove,Southern Water,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9PD,Yes,50.863964,-0.078230,535339,108921,TQ353089,1/1/1980 12:00:00 AM,,91,17,6,Falmer,0.7,Brighton and Hove,Southern Water,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9PE,Yes,50.864833,-0.079374,535256,109015,TQ352090,1/1/1980 12:00:00 AM,,97,16,9,Falmer,0.6,Brighton and Hove,Southern Water,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9PF,No,50.864707,-0.080174,535200,109000,TQ352090,1/1/1980 12:00:00 AM,9/1/2001 12:00:00 AM,94,,,Falmer,0.6,Brighton and Hove,,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9PG,Yes,50.863055,-0.078679,535310,108819,TQ353088,1/1/1980 12:00:00 AM,,91,34,14,Falmer,0.6,Brighton and Hove,Southern Water,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9PJ,Yes,50.866846,-0.078424,535317,109241,TQ353092,1/1/1980 12:00:00 AM,,107,13,6,Falmer,0.8,Brighton and Hove,Southern Water,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9PL,Yes,50.880190,-0.086518,534709,110710,TQ347107,1/1/1980 12:00:00 AM,,87,8,1,Falmer,2.0,,Southern Water,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9PN,Yes,50.880857,-0.086093,534737,110785,TQ347107,1/1/1980 12:00:00 AM,,89,7,3,Falmer,2.1,,Southern Water,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9PP,Yes,50.865453,-0.076648,535446,109089,TQ354090,1/1/1980 12:00:00 AM,,98,2,1,Falmer,0.8,Brighton and Hove,Southern Water,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9PQ,Yes,50.862949,-0.078300,535337,108808,TQ353088,1/1/1980 12:00:00 AM,,94,19,10,Falmer,0.6,Brighton and Hove,Southern Water,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9PT,Yes,50.862732,-0.077655,535383,108785,TQ353087,1/1/1980 12:00:00 AM,,95,4,1,Falmer,0.7,Brighton and Hove,Southern Water,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9QD,Yes,50.887043,-0.108574,533138,111432,TQ331114,1/1/1980 12:00:00 AM,,187,14,5,Falmer,3.1,,,,Lewes,Ditchling & Westmeston,Ouse Valley West & Downs
BN1 9QE,Yes,50.864900,-0.082042,535068,109018,TQ350090,11/1/2002 12:00:00 AM,,94,,,Falmer,0.5,Brighton and Hove,,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9RR,Yes,50.865943,-0.083179,534985,109132,TQ349091,10/1/1984 12:00:00 AM,,93,,,Falmer,0.5,Brighton and Hove,,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9RS,Yes,50.865590,-0.083037,534996,109093,TQ349090,4/1/1986 12:00:00 AM,,94,,,Falmer,0.5,Brighton and Hove,,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9RT,No,50.865096,-0.083057,534996,109038,TQ349090,6/1/1998 12:00:00 AM,2/1/2004 12:00:00 AM,90,,,Falmer,0.4,Brighton and Hove,,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9RX,Yes,50.866294,-0.083705,534947,109170,TQ349091,12/1/2000 12:00:00 AM,,90,,,Falmer,0.5,Brighton and Hove,,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9RY,Yes,50.866284,-0.083677,534949,109169,TQ349091,9/1/1991 12:00:00 AM,,91,,,Falmer,0.5,Brighton and Hove,,,Lewes,Kingston,Ouse Valley West & Downs
BN1 9SB,Yes,50.864354,-0.082761,535019,108956,TQ350089,6/1/1996 12:00:00 AM,,88,,,Falmer,0.4,Brighton and Hove,,,Lewes,Kingston,Ouse Valley West & Downs
BN10 8AJ,Yes,50.808840,0.015205,542081,102967,TQ420029,7/1/1990 12:00:00 AM,,24,5,3,Southease,2.7,,South East Water,,Lewes,Kingston,Ouse Valley West & Downs
BN10 8AR,Yes,50.802784,0.017470,542259,102298,TQ422022,7/1/1990 12:00:00 AM,,58,37,12,Newhaven Town,2.8,,South East Water,,Lewes,Kingston,Ouse Valley West & Downs
BN20 0AA,Yes,50.752014,0.206694,555760,97034,TV557970,1/1/1980 12:00:00 AM,,37,7,3,Eastbourne,5.6,,South East Water,Southern Water,Wealden,South Downs,Willingdon & South Downs
BN20 0AB,Yes,50.743704,0.200491,555350,96097,TV553960,1/1/1980 12:00:00 AM,,19,14,8,Eastbourne,6.4,,South East Water,Southern Water,Wealden,South Downs,Willingdon & South Downs
BN20 0AG,Yes,50.765104,0.199113,555182,98474,TV551984,1/1/1980 12:00:00 AM,,102,6,3,Eastbourne,5.8,East Dean and Friston,South East Water,Southern Water,Wealden,South Downs,Willingdon & South Downs
BN20 0AH,Yes,50.768478,0.194520,554847,98839,TV548988,1/1/1980 12:00:00 AM,,41,2,1,Eastbourne,6.1,,Southern Water,,Wealden,South Downs,Willingdon & South Downs
BN20 0AJ,Yes,50.768852,0.194453,554841,98880,TV548988,1/1/1980 12:00:00 AM,,39,4,2,Eastbourne,6.1,,Southern Water,,Wealden,South Downs,Willingdon & South Downs
BN20 0AL,Yes,50.769141,0.194395,554836,98913,TV548989,1/1/1980 12:00:00 AM,,37,4,1,Eastbourne,6.1,,Southern Water,,Wealden,South Downs,Willingdon & South Downs
BN20 0AN,Yes,50.767956,0.192865,554732,98778,TV547987,1/1/1980 12:00:00 AM,,37,4,1,Eastbourne,6.2,,South East Water,Southern Water,Wealden,South Downs,Willingdon & South Downs
BN20 0AR,Yes,50.764009,0.200168,555260,98354,TV552983,1/1/1980 12:00:00 AM,,115,23,11,Eastbourne,5.7,East Dean and Friston,South East Water,Southern Water,Wealden,South Downs,Willingdon & South Downs
BN20 0AS,Yes,50.765264,0.201801,555371,98497,TV553984,1/1/1980 12:00:00 AM,,120,35,15,Eastbourne,5.6,East Dean and Friston,South East Water,Southern Water,Wealden,South Downs,Willingdon & South Downs
BN20 0AT,Yes,50.769415,0.206804,555710,98969,TV557989,1/1/1980 12:00:00 AM,,126,41,15,Eastbourne,5.2,East Dean and Friston,South East Water,Southern Water,Wealden,South Downs,Willingdon & South Downs
