Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
LN1 1AA,No,53.229460,-0.541680,497446,371261,SK974712,2/1/1990 12:00:00 AM,12/1/1997 12:00:00 AM,15,,,Lincoln,0.4,Lincoln,,,Lincoln,Carholme,Carholme
LN1 1AB,Yes,53.245633,-0.558755,496270,373037,SK962730,12/1/2001 12:00:00 AM,,21,128,44,Lincoln,2.5,Lincoln,Anglian Water,,Lincoln,Carholme,Carholme
LN1 1AD,Yes,53.245820,-0.556350,496430,373061,SK964730,12/1/2001 12:00:00 AM,,26,101,48,Lincoln,2.4,Lincoln,Anglian Water,,Lincoln,Carholme,Carholme
LN1 1AE,Yes,53.245114,-0.555984,496456,372983,SK964729,6/1/2005 12:00:00 AM,,26,27,13,Lincoln,2.4,Lincoln,Anglian Water,,Lincoln,Carholme,Carholme
LN1 1AF,Yes,53.245393,-0.554521,496553,373016,SK965730,6/1/2005 12:00:00 AM,,33,25,12,Lincoln,2.4,Lincoln,Anglian Water,,Lincoln,Carholme,Carholme
LN1 1AG,Yes,53.244981,-0.554610,496548,372970,SK965729,7/1/2003 12:00:00 AM,,31,159,57,Lincoln,2.3,Lincoln,Anglian Water,,Lincoln,Carholme,Carholme
LN1 1AH,Yes,53.245169,-0.553810,496601,372992,SK966729,12/1/2005 12:00:00 AM,,35,29,8,Lincoln,2.3,Lincoln,Anglian Water,,Lincoln,Carholme,Carholme
LN1 1AJ,Yes,53.246031,-0.557437,496357,373083,SK963730,6/1/2002 12:00:00 AM,,25,22,8,Lincoln,2.5,Lincoln,Anglian Water,,Lincoln,Carholme,Carholme
LN1 1AL,Yes,53.246012,-0.556614,496412,373082,SK964730,12/1/2002 12:00:00 AM,,26,20,8,Lincoln,2.5,Lincoln,Anglian Water,,Lincoln,Carholme,Carholme
LN1 1AN,Yes,53.246566,-0.556310,496431,373144,SK964731,12/1/2001 12:00:00 AM,,29,60,22,Lincoln,2.5,Lincoln,Anglian Water,,Lincoln,Carholme,Carholme
LN1 1AP,Yes,53.246877,-0.556000,496451,373179,SK964731,10/1/2003 12:00:00 AM,,32,25,9,Lincoln,2.5,Lincoln,Anglian Water,,Lincoln,Carholme,Carholme
