Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
L15 9EL,No,53.388934,-2.914152,339300,388400,SJ392884,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,44,,,Mossley Hill,1.1,Liverpool,,,Liverpool,Church,
L15 9EN,Yes,53.388970,-2.913957,339313,388404,SJ393884,1/1/1980 12:00:00 AM,,45,,,Mossley Hill,1.1,Liverpool,United Utilities,,Liverpool,Church,
L15 9EW,Yes,53.389006,-2.914078,339305,388408,SJ393884,1/1/1980 12:00:00 AM,,45,,,Mossley Hill,1.1,Liverpool,United Utilities,,Liverpool,Church,
L15 9EZ,Yes,53.390377,-2.912378,339420,388559,SJ394885,1/1/1980 12:00:00 AM,,53,77,31,Mossley Hill,1.3,Liverpool,United Utilities,,Liverpool,Church,
L15 9HA,Yes,53.391919,-2.908201,339700,388727,SJ396887,1/1/1980 12:00:00 AM,,56,60,24,Mossley Hill,1.5,Liverpool,United Utilities,,Liverpool,Church,
L15 9HZ,No,53.391919,-2.908201,339700,388727,SJ396887,1/1/1992 12:00:00 AM,7/1/1997 12:00:00 AM,56,,,Mossley Hill,1.5,Liverpool,,,Liverpool,Church,
L16 0GA,No,53.387598,-2.886322,341149,388228,SJ411882,1/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,64,,,Mossley Hill,2.2,Liverpool,,,Liverpool,Calderstones,
L16 0JA,Yes,53.387598,-2.886322,341149,388228,SJ411882,1/1/1980 12:00:00 AM,,64,18,8,Mossley Hill,2.2,Liverpool,United Utilities,,Liverpool,Calderstones,
L16 2LL,Yes,53.403239,-2.879833,341602,389963,SJ416899,1/1/1980 12:00:00 AM,,29,82,30,Broad Green,1.0,Liverpool,United Utilities,,Liverpool,Childwall,
L16 2LN,Yes,53.401462,-2.876081,341849,389762,SJ418897,1/1/1980 12:00:00 AM,,29,56,21,Broad Green,1.3,Liverpool,United Utilities,,Liverpool,Childwall,
L16 2LP,Yes,53.404872,-2.879295,341640,390144,SJ416901,1/1/1980 12:00:00 AM,,32,118,49,Broad Green,1.0,Liverpool,United Utilities,,Liverpool,Childwall,
L16 2LR,Yes,53.402739,-2.877281,341771,389905,SJ417899,1/1/1980 12:00:00 AM,,28,43,16,Broad Green,1.2,Liverpool,United Utilities,,Liverpool,Childwall,
L16 2LS,Yes,53.404073,-2.879188,341646,390055,SJ416900,1/1/1980 12:00:00 AM,,31,122,46,Broad Green,1.0,Liverpool,United Utilities,,Liverpool,Childwall,
L16 2LT,Yes,53.404150,-2.879671,341614,390064,SJ416900,1/1/1980 12:00:00 AM,,30,102,41,Broad Green,1.0,Liverpool,United Utilities,,Liverpool,Childwall,
L16 2LU,Yes,53.403104,-2.879003,341657,389947,SJ416899,1/1/1980 12:00:00 AM,,30,34,12,Broad Green,1.0,Liverpool,United Utilities,,Liverpool,Childwall,
L16 2LW,Yes,53.400038,-2.872652,342075,389601,SJ420896,2/1/2024 12:00:00 AM,,29,,,Broad Green,1.6,Liverpool,,,Liverpool,Belle Vale,
L16 2LX,Yes,53.402159,-2.876637,341813,389840,SJ418898,1/1/1980 12:00:00 AM,,29,19,6,Broad Green,1.2,Liverpool,United Utilities,,Liverpool,Childwall,
