Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
L1 0AA,Yes,53.396727,-2.981033,334864,389326,SJ348893,9/1/2014 12:00:00 AM,,17,,,Liverpool Central,0.9,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0AB,Yes,53.396807,-2.979846,334943,389334,SJ349893,1/1/1980 12:00:00 AM,,19,,,Liverpool Central,0.9,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0AD,Yes,53.394914,-2.978284,335044,389122,SJ350891,6/1/2024 12:00:00 AM,,21,,,Liverpool Central,1.1,Liverpool,,,Liverpool,City Centre South,
L1 0AE,Yes,53.395992,-2.983978,334667,389247,SJ346892,11/1/2012 12:00:00 AM,,9,,,Liverpool Central,1.0,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0AF,Yes,53.397070,-2.981732,334818,389365,SJ348893,1/1/1980 12:00:00 AM,,13,79,45,Liverpool Central,0.9,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0AG,Yes,53.396936,-2.980556,334896,389349,SJ348893,3/1/2017 12:00:00 AM,,17,,,Liverpool Central,0.9,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0AH,Yes,53.395385,-2.980129,334922,389176,SJ349891,1/1/1980 12:00:00 AM,,18,,,Liverpool Central,1.0,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0AJ,Yes,53.396722,-2.983649,334690,389328,SJ346893,1/1/1980 12:00:00 AM,,12,,,Liverpool Central,0.9,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0AL,Yes,53.394914,-2.978284,335044,389122,SJ350891,6/1/2024 12:00:00 AM,,15,,,Liverpool Central,1.1,Liverpool,,,Liverpool,City Centre South,
L1 0AN,Yes,53.397166,-2.982186,334788,389376,SJ347893,1/1/1980 12:00:00 AM,,15,,,Liverpool Central,0.9,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0AP,Yes,53.394797,-2.978341,335040,389109,SJ350891,6/1/2024 12:00:00 AM,,15,,,Liverpool Central,1.1,Liverpool,,,Liverpool,City Centre South,
L1 0AQ,Yes,53.396460,-2.981628,334824,389297,SJ348892,1/1/2018 12:00:00 AM,,15,,,Liverpool Central,0.9,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0AR,Yes,53.396593,-2.981886,334807,389312,SJ348893,1/1/1980 12:00:00 AM,,16,,,Liverpool Central,0.9,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0AS,Yes,53.397004,-2.981039,334864,389357,SJ348893,8/1/2017 12:00:00 AM,,17,,,Liverpool Central,0.9,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0AT,Yes,53.397004,-2.981039,334864,389357,SJ348893,10/1/2016 12:00:00 AM,,15,,,Liverpool Central,0.9,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0AU,Yes,53.396027,-2.982972,334734,389250,SJ347892,1/1/1980 12:00:00 AM,,13,,,Liverpool Central,1.0,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0AW,No,53.396916,-2.983158,334723,389349,SJ347893,1/1/1980 12:00:00 AM,11/1/2001 12:00:00 AM,13,,,Liverpool Central,0.9,Liverpool,,,Liverpool,City Centre South,
L1 0AX,Yes,53.395989,-2.982128,334790,389245,SJ347892,7/1/2017 12:00:00 AM,,14,,,Liverpool Central,1.0,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0AY,Yes,53.396629,-2.983046,334730,389317,SJ347893,1/1/1980 12:00:00 AM,,13,,,Liverpool Central,0.9,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0AZ,Yes,53.395989,-2.982128,334790,389245,SJ347892,5/1/2017 12:00:00 AM,,14,,,Liverpool Central,1.0,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0BA,No,53.396473,-2.983493,334700,389300,SJ347893,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,11,,,Liverpool Central,0.9,Liverpool,,,Liverpool,City Centre South,
L1 0BB,No,53.395561,-2.984976,334600,389200,SJ346891,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,6,,,Liverpool Central,1.1,Liverpool,United Utilities,,Liverpool,Waterfront South,
L1 0BD,No,53.397384,-2.982010,334800,389400,SJ348894,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,15,,,Liverpool Central,0.8,Liverpool,,,Liverpool,City Centre South,
L1 0BE,Yes,53.396351,-2.980738,334883,389284,SJ348892,1/1/1980 12:00:00 AM,,19,,,Liverpool Central,0.9,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0BF,Yes,53.397243,-2.982668,334756,389385,SJ347893,12/1/2020 12:00:00 AM,,10,,,Liverpool Central,0.9,Liverpool,,,Liverpool,City Centre South,
L1 0BG,Yes,53.395308,-2.982955,334734,389170,SJ347891,1/1/1980 12:00:00 AM,,12,,,Liverpool Central,1.1,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0BH,No,53.395574,-2.983472,334700,389200,SJ347892,8/1/1993 12:00:00 AM,5/1/1994 12:00:00 AM,11,,,Liverpool Central,1.0,Liverpool,,,Liverpool,City Centre South,
L1 0BJ,No,53.395574,-2.983472,334700,389200,SJ347892,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,11,,,Liverpool Central,1.0,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0BL,Yes,53.396029,-2.979347,334975,389247,SJ349892,1/1/1980 12:00:00 AM,,21,,,Liverpool Central,1.0,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0BN,Yes,53.396041,-2.980174,334920,389249,SJ349892,1/1/1980 12:00:00 AM,,17,,,Liverpool Central,1.0,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0BP,Yes,53.395972,-2.979752,334948,389241,SJ349892,1/1/1980 12:00:00 AM,,20,,,Liverpool Central,1.0,Liverpool,United Utilities,,Liverpool,City Centre South,
L1 0BQ,No,53.395574,-2.983472,334700,389200,SJ347892,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,11,,,Liverpool Central,1.0,Liverpool,,,Liverpool,City Centre South,
