Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
L13 0DH,No,53.396008,-2.929237,338307,389200,SJ383891,4/1/1987 12:00:00 AM,8/1/2008 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,,,Liverpool,Smithdown,
L13 0EF,No,53.396008,-2.929237,338307,389200,SJ383891,7/1/1995 12:00:00 AM,4/1/2015 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,,,Liverpool,Smithdown,
L13 0EL,No,53.396008,-2.929237,338307,389200,SJ383891,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,,,Liverpool,Smithdown,
L13 0WA,No,53.396008,-2.929237,338307,389200,SJ383891,9/1/2009 12:00:00 AM,10/1/2011 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,,,Liverpool,Smithdown,
L13 0WB,No,53.395999,-2.929312,338302,389199,SJ383891,8/1/2013 12:00:00 AM,9/1/2023 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
L13 0WY,No,53.396549,-2.929053,338320,389260,SJ383892,2/1/2004 12:00:00 AM,7/1/2005 12:00:00 AM,43,,,Wavertree Technology Park,1.0,Liverpool,,,Liverpool,Smithdown,
L13 0WZ,No,53.395999,-2.929312,338302,389199,SJ383891,12/1/2002 12:00:00 AM,12/1/2018 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
L13 1AF,No,53.405823,-2.938582,337700,390300,SJ376902,1/1/1980 12:00:00 AM,12/1/1988 12:00:00 AM,53,,,Edge Hill,0.6,Liverpool,,,Liverpool,Edge Hill,
L13 1AH,No,53.405823,-2.938582,337700,390300,SJ376902,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,53,,,Edge Hill,0.6,Liverpool,,,Liverpool,Edge Hill,
L13 1AL,No,53.405823,-2.938582,337700,390300,SJ376902,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,53,,,Edge Hill,0.6,Liverpool,,,Liverpool,Edge Hill,
L13 1AU,No,53.407715,-2.926589,338500,390500,SJ384905,1/1/1980 12:00:00 AM,6/1/1998 12:00:00 AM,51,,,Wavertree Technology Park,0.4,Liverpool,,,Liverpool,Old Swan West,
L13 1AW,No,53.406827,-2.925065,338600,390400,SJ386903,1/1/1980 12:00:00 AM,12/1/1982 12:00:00 AM,51,,,Wavertree Technology Park,0.2,Liverpool,,,Liverpool,Old Swan West,
L13 1AX,No,53.408613,-2.926608,338500,390600,SJ385905,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,47,,,Wavertree Technology Park,0.5,Liverpool,,,Liverpool,Old Swan West,
L13 1DA,Yes,53.406255,-2.924737,338621,390336,SJ386903,10/1/2003 12:00:00 AM,,57,,,Wavertree Technology Park,0.2,Liverpool,United Utilities,,Liverpool,Old Swan West,
L13 1DX,No,53.405823,-2.938582,337700,390300,SJ376902,1/1/1980 12:00:00 AM,12/1/1988 12:00:00 AM,53,,,Edge Hill,0.6,Liverpool,,,Liverpool,Edge Hill,
L13 1DZ,No,53.409500,-2.928132,338400,390700,SJ384906,6/1/1981 12:00:00 AM,5/1/1994 12:00:00 AM,49,,,Wavertree Technology Park,0.6,Liverpool,,,Liverpool,Old Swan West,
L13 1EH,Yes,53.405677,-2.927116,338462,390274,SJ384902,1/1/1993 12:00:00 AM,,56,3,1,Wavertree Technology Park,0.3,Liverpool,United Utilities,,Liverpool,Old Swan West,
L13 1EJ,Yes,53.406522,-2.929526,338303,390370,SJ383903,1/1/1993 12:00:00 AM,,53,2,1,Wavertree Technology Park,0.5,Liverpool,United Utilities,,Liverpool,Old Swan West,
L13 1EN,Yes,53.405326,-2.929681,338291,390237,SJ382902,5/1/2008 12:00:00 AM,,52,,,Wavertree Technology Park,0.4,Liverpool,United Utilities,,Liverpool,Old Swan West,
L13 1ER,No,53.405410,-2.929276,338318,390246,SJ383902,12/1/2000 12:00:00 AM,11/1/2002 12:00:00 AM,53,,,Wavertree Technology Park,0.4,Liverpool,United Utilities,,Liverpool,Old Swan West,
L13 1EY,No,53.406470,-2.936340,337850,390370,SJ378903,5/1/1994 12:00:00 AM,12/1/1994 12:00:00 AM,55,,,Edge Hill,0.8,Liverpool,,,Liverpool,Old Swan West,
L13 1FB,Yes,53.404120,-2.929955,338271,390103,SJ382901,5/1/2002 12:00:00 AM,,48,,,Wavertree Technology Park,0.5,Liverpool,United Utilities,,Liverpool,Wavertree Village,
L13 1HB,No,53.396549,-2.929053,338320,389260,SJ383892,7/1/1995 12:00:00 AM,8/1/2001 12:00:00 AM,43,,,Wavertree Technology Park,1.0,Liverpool,,,Liverpool,Smithdown,
L13 1HD,Yes,53.404169,-2.923639,338691,390103,SJ386901,7/1/1995 12:00:00 AM,,52,,,Wavertree Technology Park,0.1,Liverpool,United Utilities,,Liverpool,Wavertree Village,
L13 1HE,Yes,53.404306,-2.925687,338555,390120,SJ385901,12/1/1995 12:00:00 AM,,51,,,Wavertree Technology Park,0.2,Liverpool,United Utilities,,Liverpool,Wavertree Village,
L13 1HG,No,53.395999,-2.929312,338302,389199,SJ383891,6/1/1999 12:00:00 AM,12/1/2018 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
L13 1HH,No,53.396549,-2.929053,338320,389260,SJ383892,12/1/1999 12:00:00 AM,10/1/2002 12:00:00 AM,43,,,Wavertree Technology Park,1.0,Liverpool,,,Liverpool,Smithdown,
L13 1HJ,No,53.396549,-2.929053,338320,389260,SJ383892,12/1/1999 12:00:00 AM,11/1/2003 12:00:00 AM,43,,,Wavertree Technology Park,1.0,Liverpool,,,Liverpool,Smithdown,
L13 1HN,Yes,53.404676,-2.922957,338737,390159,SJ387901,12/1/2000 12:00:00 AM,,52,,,Wavertree Technology Park,0.1,Liverpool,United Utilities,,Liverpool,Wavertree Village,
L13 1HP,No,53.395999,-2.929312,338302,389199,SJ383891,12/1/2000 12:00:00 AM,12/1/2018 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
L13 1NW,No,53.395999,-2.929312,338302,389199,SJ383891,2/1/2006 12:00:00 AM,12/1/2018 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
L13 1UX,Yes,53.395999,-2.929312,338302,389199,SJ383891,2/1/2016 12:00:00 AM,,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
L13 1UY,Yes,53.395999,-2.929312,338302,389199,SJ383891,7/1/2016 12:00:00 AM,,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
L13 1UZ,Yes,53.395999,-2.929312,338302,389199,SJ383891,2/1/2016 12:00:00 AM,,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
L13 1WA,No,53.395999,-2.929312,338302,389199,SJ383891,9/1/2003 12:00:00 AM,8/1/2018 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
L13 1WB,No,53.395999,-2.929312,338302,389199,SJ383891,1/1/2008 12:00:00 AM,7/1/2019 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
L13 1WD,No,53.395999,-2.929312,338302,389199,SJ383891,1/1/2008 12:00:00 AM,7/1/2019 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
L13 1WE,No,53.396008,-2.929237,338307,389200,SJ383891,4/1/2006 12:00:00 AM,5/1/2013 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,,,Liverpool,Smithdown,
L13 1WF,No,53.395999,-2.929312,338302,389199,SJ383891,1/1/2005 12:00:00 AM,12/1/2018 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
L13 1WG,No,53.396008,-2.929237,338307,389200,SJ383891,10/1/2004 12:00:00 AM,2/1/2006 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,,,Liverpool,Smithdown,
L13 1WH,No,53.396008,-2.929237,338307,389200,SJ383891,1/1/2009 12:00:00 AM,11/1/2009 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,,,Liverpool,Smithdown,
L13 1WJ,No,53.396008,-2.929237,338307,389200,SJ383891,1/1/2005 12:00:00 AM,5/1/2009 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,,,Liverpool,Smithdown,
L13 1WL,No,53.396008,-2.929237,338307,389200,SJ383891,3/1/2006 12:00:00 AM,11/1/2009 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,,,Liverpool,Smithdown,
L13 1WN,No,53.396008,-2.929237,338307,389200,SJ383891,9/1/2004 12:00:00 AM,2/1/2006 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,,,Liverpool,Smithdown,
L13 1WP,No,53.396008,-2.929237,338307,389200,SJ383891,9/1/2004 12:00:00 AM,2/1/2006 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,,,Liverpool,Smithdown,
L13 1WQ,No,53.395999,-2.929312,338302,389199,SJ383891,2/1/2004 12:00:00 AM,10/1/2019 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
L13 1WR,No,53.395999,-2.929312,338302,389199,SJ383891,2/1/2004 12:00:00 AM,12/1/2018 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
L13 1WS,No,53.395999,-2.929312,338302,389199,SJ383891,7/1/2003 12:00:00 AM,6/1/2018 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
L13 1WT,No,53.395999,-2.929312,338302,389199,SJ383891,7/1/2003 12:00:00 AM,6/1/2018 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
L13 1WU,No,53.395999,-2.929312,338302,389199,SJ383891,7/1/2003 12:00:00 AM,6/1/2018 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
L13 1WW,No,53.395999,-2.929312,338302,389199,SJ383891,7/1/2003 12:00:00 AM,12/1/2018 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
L13 1WX,No,53.395999,-2.929312,338302,389199,SJ383891,7/1/2003 12:00:00 AM,12/1/2018 12:00:00 AM,43,,,Wavertree Technology Park,1.1,Liverpool,United Utilities,,Liverpool,Smithdown,
