Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
L11 0EJ,No,53.429596,-2.905166,339955,392916,SJ399929,6/1/2000 12:00:00 AM,5/1/2003 12:00:00 AM,35,,,Broad Green,2.7,Liverpool,,,Liverpool,West Derby Leyfield,
L11 0WZ,No,53.429596,-2.905166,339955,392916,SJ399929,9/1/2007 12:00:00 AM,8/1/2009 12:00:00 AM,35,,,Broad Green,2.7,Liverpool,,,Liverpool,West Derby Leyfield,
L11 1EJ,Yes,53.436740,-2.916021,339244,393720,SJ392937,1/1/1980 12:00:00 AM,,35,35,16,Wavertree Technology Park,3.5,Liverpool,United Utilities,,Liverpool,West Derby Muirhead,
L11 1EL,Yes,53.437970,-2.913668,339402,393855,SJ394938,1/1/1980 12:00:00 AM,,34,20,11,Wavertree Technology Park,3.7,Liverpool,United Utilities,,Liverpool,West Derby Muirhead,
L11 1EN,No,53.437681,-2.914054,339376,393823,SJ393938,1/1/1980 12:00:00 AM,6/1/2011 12:00:00 AM,34,,,Wavertree Technology Park,3.7,Liverpool,United Utilities,,Liverpool,West Derby Muirhead,
L11 1EP,Yes,53.439659,-2.910453,339618,394040,SJ396940,1/1/1980 12:00:00 AM,,29,32,12,Fazakerley,3.7,Liverpool,United Utilities,,Liverpool,West Derby Muirhead,
L11 1ER,Yes,53.440459,-2.908062,339778,394127,SJ397941,1/1/1980 12:00:00 AM,,30,,,Fazakerley,3.7,Liverpool,United Utilities,,Liverpool,West Derby Muirhead,
L11 1ES,No,53.429296,-2.925553,338600,392900,SJ386929,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,41,,,Wavertree Technology Park,2.7,Liverpool,,,Liverpool,Tuebrook Larkhill,
L11 1EW,Yes,53.438410,-2.912820,339459,393903,SJ394939,1/1/1980 12:00:00 AM,,33,36,16,Wavertree Technology Park,3.8,Liverpool,United Utilities,,Liverpool,West Derby Muirhead,
L11 1HU,No,53.436567,-2.915174,339300,393700,SJ392937,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,35,,,Wavertree Technology Park,3.5,Liverpool,United Utilities,,Liverpool,West Derby Muirhead,
L11 1WA,Yes,53.429668,-2.904926,339971,392924,SJ399929,8/1/2016 12:00:00 AM,,35,,,Broad Green,2.7,Liverpool,United Utilities,,Liverpool,West Derby Leyfield,
