Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
LE11 0AA,No,52.772121,-1.209336,453439,319685,SK534196,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,47,,,Loughborough,1.2,Loughborough,,,Charnwood,Loughborough Southfields,Loughborough South
LE11 0AB,No,52.773023,-1.212447,453228,319783,SK532197,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,48,,,Loughborough,1.3,Loughborough,,,Charnwood,Loughborough Southfields,Loughborough South
LE11 0AD,No,52.774553,-1.211411,453296,319954,SK532199,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,44,,,Loughborough,1.1,Loughborough,,,Charnwood,Loughborough Storer,Loughborough East
LE11 0AE,No,52.776666,-1.215583,453012,320186,SK530201,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,43,,,Loughborough,1.3,Loughborough,,,Charnwood,Loughborough Storer,Loughborough East
LE11 0AF,No,52.775894,-1.215775,453000,320100,SK529200,12/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,44,,,Loughborough,1.4,Loughborough,,,Charnwood,Loughborough Storer,Loughborough North
LE11 0AG,No,52.776050,-1.214853,453062,320118,SK530201,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,44,,,Loughborough,1.3,Loughborough,,,Charnwood,Loughborough Storer,Loughborough North
LE11 0AH,No,52.775884,-1.214293,453100,320100,SK530200,1/1/1983 12:00:00 AM,6/1/1996 12:00:00 AM,45,,,Loughborough,1.3,Loughborough,,,Charnwood,Loughborough Storer,Loughborough North
LE11 0AJ,No,52.768412,-1.245864,450979,319246,SK509192,1/1/1991 12:00:00 AM,6/1/1996 12:00:00 AM,69,,,Loughborough,3.6,Loughborough,,,Charnwood,Loughborough Ashby,Loughborough North West
LE11 0AL,No,52.772421,-1.208470,453497,319719,SK534197,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,46,,,Loughborough,1.1,Loughborough,,,Charnwood,Loughborough Southfields,Loughborough South
LE11 0AN,No,52.769042,-1.245986,450970,319316,SK509193,1/1/1991 12:00:00 AM,6/1/1996 12:00:00 AM,74,,,Loughborough,3.5,Loughborough,,,Charnwood,Loughborough Ashby,Loughborough North West
LE11 0AP,No,52.777224,-1.215677,453005,320248,SK530202,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,42,,,Loughborough,1.3,Loughborough,,,Charnwood,Loughborough Storer,Loughborough East
