Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
NR31 9AZ,Yes,52.536817,1.711762,651814,299692,TM518996,1/1/1980 12:00:00 AM,,7,18,8,Somerleyton,5.0,,Essex & Suffolk Water,Anglian Water,East Suffolk,Lothingland,Oulton
NR32 1AA,No,52.475178,1.750994,654830,292977,TM548929,1/1/1980 12:00:00 AM,11/1/2016 12:00:00 AM,7,,,Lowestoft,0.1,Lowestoft,Essex & Suffolk Water,Anglian Water,East Suffolk,Harbour & Normanston,Gunton
NR32 1AB,Yes,52.480010,1.753762,654990,293524,TM549935,8/1/2010 12:00:00 AM,,17,5,4,Lowestoft,0.7,Lowestoft,Anglian Water,,East Suffolk,Harbour & Normanston,Gunton
NR32 1AD,Yes,52.482976,1.755533,655093,293860,TM550938,8/1/2013 12:00:00 AM,,21,,,Lowestoft,1.0,Lowestoft,Anglian Water,,East Suffolk,Harbour & Normanston,Gunton
NR32 1AE,Yes,52.475350,1.750655,654806,292995,TM548929,12/1/2014 12:00:00 AM,,6,,,Lowestoft,0.1,Lowestoft,Essex & Suffolk Water,Anglian Water,East Suffolk,Harbour & Normanston,Gunton
NR32 1AF,Yes,52.482955,1.754759,655041,293855,TM550938,4/1/2017 12:00:00 AM,,22,,,Lowestoft,1.0,Lowestoft,Anglian Water,,East Suffolk,Harbour & Normanston,Gunton
NR32 1AJ,No,52.485146,1.757435,655210,294108,TM552941,6/1/2021 12:00:00 AM,7/1/2021 12:00:00 AM,11,,,Lowestoft,1.3,Lowestoft,,,East Suffolk,Harbour & Normanston,Gunton
NR32 1AL,Yes,52.480057,1.754821,655062,293533,TM550935,2/1/2024 12:00:00 AM,,17,,,Lowestoft,0.7,Lowestoft,,,East Suffolk,Harbour & Normanston,Gunton
NR32 1AY,No,52.481811,1.753150,654938,293722,TM549937,12/1/1999 12:00:00 AM,5/1/2001 12:00:00 AM,21,,,Lowestoft,0.9,Lowestoft,,,East Suffolk,Harbour & Normanston,Gunton
NR32 1AZ,No,52.481811,1.753150,654938,293722,TM549937,6/1/1999 12:00:00 AM,4/1/2001 12:00:00 AM,21,,,Lowestoft,0.9,Lowestoft,,,East Suffolk,Harbour & Normanston,Gunton
NR32 1BA,Yes,52.473835,1.750217,654785,292825,TM547928,1/1/1980 12:00:00 AM,,4,2,2,Lowestoft,0.1,Lowestoft,Essex & Suffolk Water,Anglian Water,East Suffolk,Harbour & Normanston,Gunton
NR32 1BB,No,52.473651,1.748949,654700,292800,TM547928,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,3,,,Lowestoft,0.1,Lowestoft,,,East Suffolk,Harbour & Normanston,Gunton
NR32 1BD,No,52.473651,1.748949,654700,292800,TM547928,2/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,3,,,Lowestoft,0.1,Lowestoft,,,East Suffolk,Harbour & Normanston,Gunton
NR32 1BE,No,52.473225,1.749030,654708,292753,TM547927,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,3,,,Lowestoft,0.1,Lowestoft,,,East Suffolk,Harbour & Normanston,Gunton
NR32 1BG,No,52.473264,1.749225,654721,292758,TM547927,1/1/1980 12:00:00 AM,11/1/2007 12:00:00 AM,3,,,Lowestoft,0.1,Lowestoft,,,East Suffolk,Harbour & Normanston,Gunton
NR32 1BH,Yes,52.474810,1.750962,654830,292936,TM548929,1/1/1980 12:00:00 AM,,6,,,Lowestoft,0.1,Lowestoft,Essex & Suffolk Water,Anglian Water,East Suffolk,Harbour & Normanston,Gunton
NR32 1BJ,Yes,52.475298,1.751181,654842,292991,TM548929,1/1/1980 12:00:00 AM,,7,,,Lowestoft,0.1,Lowestoft,Essex & Suffolk Water,Anglian Water,East Suffolk,Harbour & Normanston,Gunton
NR32 1BL,Yes,52.475032,1.751040,654834,292961,TM548929,1/1/1980 12:00:00 AM,,6,,,Lowestoft,0.1,Lowestoft,Essex & Suffolk Water,Anglian Water,East Suffolk,Harbour & Normanston,Gunton
NR32 1BN,Yes,52.473993,1.751741,654888,292848,TM548928,1/1/1980 12:00:00 AM,,5,,,Lowestoft,0.1,Lowestoft,Essex & Suffolk Water,Anglian Water,East Suffolk,Harbour & Normanston,Gunton
NR32 1BP,No,52.473969,1.751377,654863,292844,TM548928,12/1/2007 12:00:00 AM,1/1/2008 12:00:00 AM,5,,,Lowestoft,0.1,Lowestoft,,,East Suffolk,Harbour & Normanston,Gunton
NR32 1BQ,No,52.473604,1.750418,654800,292800,TM548928,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,3,,,Lowestoft,0.1,Lowestoft,,,East Suffolk,Harbour & Normanston,Gunton
NR32 1BS,No,52.473970,1.752482,654938,292848,TM549928,6/1/2001 12:00:00 AM,3/1/2024 12:00:00 AM,5,,,Lowestoft,0.2,Lowestoft,Essex & Suffolk Water,Anglian Water,East Suffolk,Harbour & Normanston,Gunton
NR32 1BT,Yes,52.473983,1.752050,654909,292848,TM549928,1/1/1980 12:00:00 AM,,5,10,7,Lowestoft,0.2,Lowestoft,Essex & Suffolk Water,Anglian Water,East Suffolk,Harbour & Normanston,Gunton
NR32 1BU,Yes,52.474196,1.754165,655051,292879,TM550928,1/1/1980 12:00:00 AM,,5,,,Lowestoft,0.3,Lowestoft,Anglian Water,,East Suffolk,Harbour & Normanston,Gunton
NR32 1BW,No,52.473604,1.750418,654800,292800,TM548928,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,3,,,Lowestoft,0.1,Lowestoft,,,East Suffolk,Harbour & Normanston,Gunton
NR32 1BX,No,52.473511,1.753356,655000,292800,TM550928,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,1,,,Lowestoft,0.3,Lowestoft,,,East Suffolk,Harbour & Normanston,Gunton
NR32 1BY,Yes,52.474387,1.754352,655063,292901,TM550929,1/1/1980 12:00:00 AM,,5,,,Lowestoft,0.3,Lowestoft,Essex & Suffolk Water,Anglian Water,East Suffolk,Harbour & Normanston,Gunton
NR32 1BZ,Yes,52.474063,1.753226,654988,292861,TM549928,1/1/1980 12:00:00 AM,,4,,,Lowestoft,0.2,Lowestoft,Essex & Suffolk Water,Anglian Water,East Suffolk,Harbour & Normanston,Gunton
NR32 1DA,No,52.476108,1.756523,655200,293100,TM551930,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,4,,,Lowestoft,0.5,Lowestoft,,,East Suffolk,Harbour & Normanston,Gunton
