Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
ME14 1AA,No,51.278325,0.519100,575794,156256,TQ757562,1/1/1980 12:00:00 AM,7/1/2013 12:00:00 AM,17,,,Maidstone East,0.2,Maidstone,,,Maidstone,Penenden Heath,Maidstone North East
ME14 1AB,No,51.273236,0.523209,576100,155700,TQ761556,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,17,,,Maidstone East,0.5,Maidstone,Southern Water,,Maidstone,High Street,Maidstone Central
ME14 1AD,Yes,51.274178,0.524579,576192,155808,TQ761558,1/1/1980 12:00:00 AM,,24,,,Maidstone East,0.5,Maidstone,Southern Water,,Maidstone,High Street,Maidstone North East
ME14 1AE,No,51.282750,0.517836,575689,156745,TQ756567,2/1/1990 12:00:00 AM,2/1/2001 12:00:00 AM,22,,,Maidstone East,0.6,Maidstone,South East Water,,Maidstone,Ringlestone,Maidstone North East
ME14 1AF,No,51.271970,0.519799,575867,155551,TQ758555,8/1/1992 12:00:00 AM,9/1/2015 12:00:00 AM,9,,,Maidstone West,0.3,Maidstone,,,Maidstone,High Street,Maidstone Central
ME14 1AG,No,51.278325,0.519100,575794,156256,TQ757562,6/1/2000 12:00:00 AM,7/1/2007 12:00:00 AM,17,,,Maidstone East,0.2,Maidstone,,,Maidstone,Penenden Heath,Maidstone North East
ME14 1AJ,No,51.278325,0.519100,575794,156256,TQ757562,12/1/1999 12:00:00 AM,7/1/2002 12:00:00 AM,17,,,Maidstone East,0.2,Maidstone,,,Maidstone,Penenden Heath,Maidstone North East
ME14 1AL,No,51.273144,0.527505,576400,155700,TQ763557,1/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,21,,,Maidstone East,0.7,Maidstone,,,Maidstone,High Street,Maidstone North East
ME14 1AP,No,51.275980,0.525252,576232,156010,TQ762560,8/1/1993 12:00:00 AM,12/1/1999 12:00:00 AM,29,,,Maidstone East,0.3,Maidstone,,,Maidstone,High Street,Maidstone North East
ME14 1AR,No,51.273144,0.527505,576400,155700,TQ763557,4/1/1987 12:00:00 AM,1/1/1995 12:00:00 AM,21,,,Maidstone East,0.7,Maidstone,,,Maidstone,High Street,Maidstone North East
ME14 1AS,No,51.273172,0.528697,576483,155706,TQ764557,6/1/1981 12:00:00 AM,8/1/2010 12:00:00 AM,19,,,Maidstone East,0.7,Maidstone,,,Maidstone,High Street,Maidstone North East
ME14 1AU,No,51.278325,0.519100,575794,156256,TQ757562,12/1/2000 12:00:00 AM,9/1/2001 12:00:00 AM,17,,,Maidstone East,0.2,Maidstone,,,Maidstone,Penenden Heath,Maidstone North East
ME14 1AX,No,51.272461,0.517431,575700,155600,TQ756555,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,9,,,Maidstone West,0.3,Maidstone,,,Maidstone,High Street,Maidstone Central
ME14 1AY,No,51.275980,0.525252,576232,156010,TQ762560,12/1/1994 12:00:00 AM,12/1/1998 12:00:00 AM,29,,,Maidstone East,0.3,Maidstone,,,Maidstone,High Street,Maidstone North East
ME14 1AZ,No,51.273603,0.524964,576221,155745,TQ762557,3/1/1983 12:00:00 AM,9/1/2006 12:00:00 AM,22,,,Maidstone East,0.5,Maidstone,Southern Water,,Maidstone,High Street,Maidstone North East
ME14 1BA,Yes,51.273925,0.525470,576255,155782,TQ762557,1/1/1980 12:00:00 AM,,24,,,Maidstone East,0.5,Maidstone,South East Water,Southern Water,Maidstone,High Street,Maidstone North East
ME14 1BB,No,51.278325,0.519100,575794,156256,TQ757562,12/1/2000 12:00:00 AM,3/1/2006 12:00:00 AM,17,,,Maidstone East,0.2,Maidstone,,,Maidstone,Penenden Heath,Maidstone North East
ME14 1BD,No,51.278325,0.519100,575794,156256,TQ757562,12/1/2000 12:00:00 AM,3/1/2009 12:00:00 AM,17,,,Maidstone East,0.2,Maidstone,,,Maidstone,Penenden Heath,Maidstone North East
ME14 1BE,No,51.273205,0.524641,576200,155700,TQ762556,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,20,,,Maidstone East,0.6,Maidstone,,,Maidstone,High Street,Maidstone North East
ME14 1BF,Yes,51.275116,0.524860,576208,155913,TQ762559,8/1/2010 12:00:00 AM,,27,10,9,Maidstone East,0.4,Maidstone,South East Water,Southern Water,Maidstone,High Street,Maidstone North East
ME14 1BG,Yes,51.273873,0.527059,576366,155780,TQ763557,1/1/1980 12:00:00 AM,,22,,,Maidstone East,0.6,Maidstone,South East Water,Southern Water,Maidstone,High Street,Maidstone North East
ME14 1BH,Yes,51.273271,0.528259,576452,155716,TQ764557,1/1/1980 12:00:00 AM,,20,5,2,Maidstone East,0.7,Maidstone,South East Water,Southern Water,Maidstone,High Street,Maidstone North East
ME14 1BJ,Yes,51.275269,0.525299,576238,155931,TQ762559,8/1/2010 12:00:00 AM,,28,3,2,Maidstone East,0.4,Maidstone,South East Water,Southern Water,Maidstone,High Street,Maidstone North East
ME14 1BL,Yes,51.273416,0.527363,576389,155730,TQ763557,2/1/2023 12:00:00 AM,,22,,,Maidstone East,0.6,Maidstone,South East Water,Southern Water,Maidstone,High Street,Maidstone North East
ME14 1BN,No,51.273144,0.527505,576400,155700,TQ763557,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,21,,,Maidstone East,0.7,Maidstone,,,Maidstone,High Street,Maidstone North East
ME14 1BP,No,51.274428,0.524665,576197,155836,TQ761558,2/1/1984 12:00:00 AM,4/1/2007 12:00:00 AM,25,,,Maidstone East,0.4,Maidstone,,,Maidstone,High Street,Maidstone North East
ME14 1BQ,Yes,51.273430,0.528812,576490,155735,TQ764557,1/1/1980 12:00:00 AM,,20,,,Maidstone East,0.7,Maidstone,South East Water,Southern Water,Maidstone,High Street,Maidstone North East
ME14 1BS,Yes,51.273618,0.525108,576231,155747,TQ762557,1/1/1980 12:00:00 AM,,23,,,Maidstone East,0.5,Maidstone,South East Water,Southern Water,Maidstone,High Street,Maidstone North East
ME14 1BT,Yes,51.274449,0.528294,576450,155847,TQ764558,2/1/1990 12:00:00 AM,,25,43,37,Maidstone East,0.6,Maidstone,Southern Water,,Maidstone,High Street,Maidstone North East
ME14 1BU,Yes,51.274449,0.528294,576450,155847,TQ764558,2/1/1990 12:00:00 AM,,25,34,29,Maidstone East,0.6,Maidstone,South East Water,,Maidstone,High Street,Maidstone North East
ME14 1BW,Yes,51.273632,0.526112,576301,155751,TQ763557,1/1/1980 12:00:00 AM,,23,,,Maidstone East,0.6,Maidstone,,,Maidstone,High Street,Maidstone North East
ME14 1BX,Yes,51.275484,0.525311,576238,155955,TQ762559,2/1/2011 12:00:00 AM,,28,9,6,Maidstone East,0.4,Maidstone,South East Water,Southern Water,Maidstone,High Street,Maidstone North East
ME14 1BY,No,51.274135,0.523258,576100,155800,TQ761558,1/1/1993 12:00:00 AM,1/1/1995 12:00:00 AM,21,,,Maidstone East,0.4,Maidstone,,,Maidstone,High Street,Maidstone North East
ME14 1BZ,Yes,51.274660,0.523932,576145,155860,TQ761558,4/1/1987 12:00:00 AM,,24,,,Maidstone East,0.4,Maidstone,South East Water,Southern Water,Maidstone,High Street,Maidstone North East
ME14 1DA,Yes,51.273680,0.524724,576204,155753,TQ762557,1/1/1980 12:00:00 AM,,22,,,Maidstone East,0.5,Maidstone,South East Water,Southern Water,Maidstone,High Street,Maidstone North East
ME14 1DB,Yes,51.273664,0.525899,576286,155754,TQ762557,1/1/1980 12:00:00 AM,,23,,,Maidstone East,0.6,Maidstone,South East Water,Southern Water,Maidstone,High Street,Maidstone North East
ME14 1DD,No,51.274049,0.523871,576143,155792,TQ761557,12/1/2001 12:00:00 AM,10/1/2023 12:00:00 AM,22,,,Maidstone East,0.5,Maidstone,South East Water,,Maidstone,High Street,Maidstone North East
ME14 1DE,Yes,51.273745,0.523810,576140,155758,TQ761557,1/1/1980 12:00:00 AM,,21,,,Maidstone East,0.5,Maidstone,South East Water,Southern Water,Maidstone,High Street,Maidstone Central
ME14 1DF,No,51.273175,0.526073,576300,155700,TQ762557,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,22,,,Maidstone East,0.6,Maidstone,Southern Water,,Maidstone,High Street,Maidstone North East
ME14 1DG,Yes,51.275595,0.524758,576199,155966,TQ761559,8/1/2011 12:00:00 AM,,28,,,Maidstone East,0.3,Maidstone,South East Water,Southern Water,Maidstone,High Street,Maidstone North East
ME14 1DH,No,51.274050,0.523841,576141,155792,TQ761557,7/1/1986 12:00:00 AM,10/1/2001 12:00:00 AM,22,,,Maidstone East,0.5,Maidstone,,,Maidstone,High Street,Maidstone North East
ME14 1DJ,Yes,51.274061,0.523741,576134,155793,TQ761557,1/1/1980 12:00:00 AM,,22,,,Maidstone East,0.5,Maidstone,South East Water,Southern Water,Maidstone,High Street,Maidstone North East
ME14 1DL,No,51.278325,0.519100,575794,156256,TQ757562,12/1/1999 12:00:00 AM,3/1/2002 12:00:00 AM,17,,,Maidstone East,0.2,Maidstone,,,Maidstone,Penenden Heath,Maidstone North East
ME14 1DN,Yes,51.274029,0.523999,576152,155790,TQ761557,4/1/2024 12:00:00 AM,,23,,,Maidstone East,0.5,Maidstone,South East Water,Southern Water,Maidstone,High Street,Maidstone North East
ME14 1DP,No,51.275980,0.525252,576232,156010,TQ762560,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,29,,,Maidstone East,0.3,Maidstone,,,Maidstone,High Street,Maidstone North East
ME14 1DR,No,51.278325,0.519100,575794,156256,TQ757562,5/1/1994 12:00:00 AM,9/1/2001 12:00:00 AM,17,,,Maidstone East,0.2,Maidstone,,,Maidstone,Penenden Heath,Maidstone North East
ME14 1DS,Yes,51.275457,0.523646,576122,155948,TQ761559,1/1/1980 12:00:00 AM,,25,,,Maidstone East,0.3,Maidstone,South East Water,Southern Water,Maidstone,High Street,Maidstone North East
ME14 1DT,No,51.275266,0.524596,576189,155929,TQ761559,1/1/1980 12:00:00 AM,9/1/2003 12:00:00 AM,27,,,Maidstone East,0.4,Maidstone,,,Maidstone,High Street,Maidstone North East
ME14 1DU,No,51.275033,0.523307,576100,155900,TQ760559,1/1/1995 12:00:00 AM,7/1/1995 12:00:00 AM,23,,,Maidstone East,0.3,Maidstone,,,Maidstone,High Street,Maidstone North East
ME14 1DW,No,51.273684,0.524538,576191,155753,TQ761557,1/1/1980 12:00:00 AM,10/1/2023 12:00:00 AM,22,,,Maidstone East,0.5,Maidstone,South East Water,Southern Water,Maidstone,High Street,Maidstone North East
