Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
WA3 3UQ,Yes,53.493156,-2.594190,360676,399770,SJ606997,1/1/1980 12:00:00 AM,,37,2,1,Bryn,3.6,,United Utilities,,Wigan,Abram,
WN2 2AH,Yes,53.536833,-2.595102,360656,404630,SD606046,7/1/2017 12:00:00 AM,,46,,,Ince (Manchester),1.1,,United Utilities,,Wigan,Hindley,
WN2 2PY,Yes,53.541969,-2.574759,362009,405190,SD620051,7/1/2007 12:00:00 AM,,71,31,18,Hindley,0.1,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QA,Yes,53.538446,-2.576461,361893,404799,SD618047,1/1/1980 12:00:00 AM,,55,29,14,Hindley,0.4,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QB,Yes,53.537949,-2.576983,361858,404744,SD618047,1/1/1980 12:00:00 AM,,55,12,7,Hindley,0.5,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QD,Yes,53.538272,-2.577289,361838,404780,SD618047,1/1/1980 12:00:00 AM,,56,31,11,Hindley,0.5,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QE,Yes,53.538526,-2.576689,361878,404808,SD618048,1/1/1980 12:00:00 AM,,55,10,5,Hindley,0.4,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QF,Yes,53.538689,-2.576495,361891,404826,SD618048,12/1/1994 12:00:00 AM,,56,3,3,Hindley,0.4,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QG,Yes,53.540002,-2.576271,361907,404972,SD619049,1/1/1980 12:00:00 AM,,62,34,16,Hindley,0.3,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QH,Yes,53.541315,-2.574418,362031,405117,SD620051,12/1/1994 12:00:00 AM,,68,75,28,Hindley,0.1,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QJ,Yes,53.541866,-2.575572,361955,405179,SD619051,1/1/1980 12:00:00 AM,,70,12,4,Hindley,0.0,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QL,Yes,53.542150,-2.572709,362145,405209,SD621052,1/1/1980 12:00:00 AM,,74,42,18,Hindley,0.2,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QN,Yes,53.541573,-2.574814,362005,405146,SD620051,12/1/1994 12:00:00 AM,,70,34,15,Hindley,0.1,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QP,Yes,53.539994,-2.577916,361798,404972,SD617049,12/1/1996 12:00:00 AM,,61,75,33,Hindley,0.3,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QQ,Yes,53.541838,-2.573987,362060,405175,SD620051,5/1/1994 12:00:00 AM,,72,4,1,Hindley,0.1,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QR,Yes,53.541063,-2.572513,362157,405088,SD621050,1/1/1980 12:00:00 AM,,72,26,12,Hindley,0.2,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QS,Yes,53.541324,-2.572501,362158,405117,SD621051,1/1/1980 12:00:00 AM,,74,23,11,Hindley,0.2,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QT,Yes,53.540166,-2.572033,362188,404988,SD621049,1/1/1980 12:00:00 AM,,67,91,32,Hindley,0.3,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QU,Yes,53.541726,-2.572884,362133,405162,SD621051,1/1/1995 12:00:00 AM,,74,59,19,Hindley,0.2,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QW,Yes,53.539424,-2.576806,361871,404908,SD618049,12/1/1996 12:00:00 AM,,60,48,20,Hindley,0.3,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QX,Yes,53.539034,-2.577691,361812,404865,SD618048,6/1/1997 12:00:00 AM,,58,47,18,Hindley,0.4,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QY,Yes,53.540604,-2.574453,362028,405038,SD620050,1/1/1980 12:00:00 AM,,66,98,39,Hindley,0.2,Hindley,United Utilities,,Wigan,Hindley,
WN2 2QZ,Yes,53.539154,-2.578825,361737,404879,SD617048,12/1/1997 12:00:00 AM,,58,45,18,Hindley,0.4,Hindley,United Utilities,,Wigan,Hindley,
WN2 2RA,Yes,53.539828,-2.575092,361985,404952,SD619049,1/1/1980 12:00:00 AM,,61,43,22,Hindley,0.3,Hindley,United Utilities,,Wigan,Hindley,
WN2 2RB,Yes,53.539755,-2.575377,361966,404944,SD619049,1/1/1980 12:00:00 AM,,61,13,7,Hindley,0.3,Hindley,United Utilities,,Wigan,Hindley,
WN2 2RD,Yes,53.540181,-2.574583,362019,404991,SD620049,1/1/1980 12:00:00 AM,,64,3,3,Hindley,0.2,Hindley,United Utilities,,Wigan,Hindley,
WN2 2RE,Yes,53.540151,-2.573436,362095,404987,SD620049,1/1/1980 12:00:00 AM,,65,59,29,Hindley,0.3,Hindley,United Utilities,,Wigan,Hindley,
WN2 2RF,Yes,53.539613,-2.575028,361989,404928,SD619049,1/1/1980 12:00:00 AM,,61,23,13,Hindley,0.3,Hindley,United Utilities,,Wigan,Hindley,
WN2 2RG,Yes,53.538394,-2.576083,361918,404793,SD619047,1/1/1980 12:00:00 AM,,55,69,31,Hindley,0.4,Hindley,United Utilities,,Wigan,Hindley,
WN2 2RH,Yes,53.537633,-2.575560,361952,404708,SD619047,1/1/1980 12:00:00 AM,,54,21,12,Hindley,0.5,Hindley,United Utilities,,Wigan,Hindley,
WN2 2RJ,Yes,53.538011,-2.575384,361964,404750,SD619047,1/1/1980 12:00:00 AM,,55,55,25,Hindley,0.5,Hindley,United Utilities,,Wigan,Hindley,
WN2 2RL,Yes,53.538201,-2.575236,361974,404771,SD619047,1/1/1980 12:00:00 AM,,56,54,30,Hindley,0.4,Hindley,United Utilities,,Wigan,Hindley,
WN2 2RN,Yes,53.540384,-2.575401,361965,405014,SD619050,6/1/2000 12:00:00 AM,,64,,,Hindley,0.2,Hindley,United Utilities,,Wigan,Hindley,
WN2 2RP,Yes,53.538630,-2.575165,361979,404819,SD619048,1/1/1980 12:00:00 AM,,57,31,12,Hindley,0.4,Hindley,United Utilities,,Wigan,Hindley,
WN2 2RQ,Yes,53.537371,-2.575798,361936,404679,SD619046,1/1/1980 12:00:00 AM,,53,10,6,Hindley,0.5,Hindley,United Utilities,,Wigan,Hindley,
WN2 2RT,Yes,53.542050,-2.571032,362256,405197,SD622051,1/1/2005 12:00:00 AM,,74,129,50,Hindley,0.3,Hindley,United Utilities,,Wigan,Hindley,
WN2 2RU,Yes,53.538375,-2.578150,361781,404792,SD617047,3/1/1983 12:00:00 AM,,55,14,13,Hindley,0.5,Hindley,United Utilities,,Wigan,Hindley,
WN2 2RW,No,53.538463,-2.574847,362000,404800,SD619047,5/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,57,,,Hindley,0.4,Hindley,,,Wigan,Hindley,
WN2 2RX,Yes,53.538445,-2.578604,361751,404800,SD617048,3/1/1983 12:00:00 AM,,54,20,8,Hindley,0.5,Hindley,United Utilities,,Wigan,Hindley,
WN2 2RY,Yes,53.537925,-2.578401,361764,404742,SD617047,3/1/1983 12:00:00 AM,,53,17,12,Hindley,0.5,Hindley,United Utilities,,Wigan,Hindley,
