Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BA1 1GQ,No,51.375702,-2.242755,383200,164100,ST832640,2/1/1984 12:00:00 AM,1/1/1995 12:00:00 AM,74,,,Bradford-On-Avon,3.5,,,,Wiltshire,Winsley & Westwood,
BA13 4GG,Yes,51.294015,-2.069659,395239,154990,ST952549,12/1/2020 12:00:00 AM,,62,,,Westbury,9.5,,,,Wiltshire,Devizes Rural West,
BA13 4LZ,Yes,51.285385,-2.072190,395062,154030,ST950540,7/1/1995 12:00:00 AM,,81,14,5,Westbury,9.1,,Wessex Water,,Wiltshire,Devizes Rural West,
BA13 4NU,Yes,51.281547,-2.069746,395232,153603,ST952536,1/1/1980 12:00:00 AM,,104,3,1,Westbury,9.1,,,,Wiltshire,Devizes Rural West,
BA13 4NW,Yes,51.291198,-2.129634,391057,154682,ST910546,1/1/1980 12:00:00 AM,,77,3,2,Westbury,5.5,,Wessex Water,,Wiltshire,Melksham Without West & Rural,
BA13 4NX,Yes,51.284160,-2.075615,394823,153894,ST948538,1/1/1980 12:00:00 AM,,89,21,9,Westbury,8.8,,Wessex Water,,Wiltshire,Devizes Rural West,
BA13 4NY,Yes,51.286677,-2.070594,395173,154174,ST951541,1/1/1980 12:00:00 AM,,75,90,35,Westbury,9.2,,Wessex Water,,Wiltshire,Devizes Rural West,
BA13 4NZ,Yes,51.299820,-2.075534,394830,155636,ST948556,1/1/1980 12:00:00 AM,,54,21,7,Westbury,9.3,,Wessex Water,,Wiltshire,Devizes Rural West,
BA13 4PD,Yes,51.286815,-2.071848,395086,154189,ST950541,6/1/1981 12:00:00 AM,,74,9,6,Westbury,9.1,,Wessex Water,,Wiltshire,Devizes Rural West,
BA14 6AH,Yes,51.307900,-2.134171,390744,156540,ST907565,12/1/1999 12:00:00 AM,,77,40,17,Trowbridge,5.7,Steeple Ashton,Wessex Water,,Wiltshire,Melksham Without West & Rural,
BA14 6BB,No,51.357358,-2.200924,386106,162051,ST861620,6/1/2000 12:00:00 AM,7/1/2021 12:00:00 AM,41,,,Bradford-On-Avon,3.8,Holt (Wiltshire),,,Wiltshire,Holt,
BA14 6BH,Yes,51.315872,-2.141708,390220,157428,ST902574,12/1/2001 12:00:00 AM,,82,4,1,Trowbridge,5.1,Steeple Ashton,,,Wiltshire,Melksham Without West & Rural,
BA14 6BN,No,51.309436,-2.149985,389642,156713,ST896567,9/1/1991 12:00:00 AM,8/1/1997 12:00:00 AM,66,,,Trowbridge,4.6,,,,Wiltshire,Melksham Without West & Rural,
BA14 6BP,Yes,51.313342,-2.140156,390328,157146,ST903571,1/1/1980 12:00:00 AM,,77,12,5,Trowbridge,5.2,Steeple Ashton,Wessex Water,,Wiltshire,Melksham Without West & Rural,
BA14 6BR,Yes,51.317692,-2.138557,390440,157630,ST904576,1/1/1980 12:00:00 AM,,81,,,Trowbridge,5.3,,Wessex Water,,Wiltshire,Melksham Without West & Rural,
BA14 6BS,Yes,51.324451,-2.136831,390562,158381,ST905583,1/1/1980 12:00:00 AM,,81,12,3,Trowbridge,5.4,,Wessex Water,,Wiltshire,Melksham Without West & Rural,
BA14 6BT,Yes,51.330867,-2.132272,390881,159094,ST908590,1/1/1980 12:00:00 AM,,74,25,15,Melksham,5.5,,Wessex Water,,Wiltshire,Melksham Without West & Rural,
BA14 6BU,Yes,51.329839,-2.134680,390713,158980,ST907589,1/1/1980 12:00:00 AM,,81,12,6,Melksham,5.6,,Wessex Water,,Wiltshire,Melksham Without West & Rural,
BA14 6BW,Yes,51.358746,-2.198876,386249,162205,ST862622,9/1/2007 12:00:00 AM,,45,48,27,Bradford-On-Avon,4.0,Holt (Wiltshire),Wessex Water,,Wiltshire,Holt,
BA14 6BX,Yes,51.330394,-2.136519,390585,159042,ST905590,1/1/1980 12:00:00 AM,,82,16,6,Melksham,5.5,,Wessex Water,,Wiltshire,Melksham Without West & Rural,
BA14 6BY,Yes,51.331550,-2.132719,390850,159170,ST908591,1/1/1980 12:00:00 AM,,73,56,23,Melksham,5.4,,Wessex Water,,Wiltshire,Melksham Without West & Rural,
BA14 6BZ,Yes,51.331669,-2.130537,391002,159183,ST910591,1/1/1980 12:00:00 AM,,70,6,4,Melksham,5.4,,Wessex Water,,Wiltshire,Melksham Without West & Rural,
BA14 6DA,Yes,51.327336,-2.145049,389990,158703,ST899587,1/1/1980 12:00:00 AM,,70,10,5,Trowbridge,4.9,,Wessex Water,,Wiltshire,Melksham Without West & Rural,
BA14 6DB,Yes,51.332305,-2.132735,390849,159254,ST908592,1/1/1980 12:00:00 AM,,68,19,9,Melksham,5.3,,Wessex Water,,Wiltshire,Melksham Without West & Rural,
