Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
LE12 7BG,Yes,52.762797,-1.103907,460564,318731,SK605187,7/1/2002 12:00:00 AM,,100,9,3,Barrow-Upon-Soar,3.1,,Severn Trent,,Charnwood,Sileby & Seagrave,Sileby & The Wolds
LE12 7DF,Yes,52.738843,-1.098474,460964,316071,SK609160,11/1/2017 12:00:00 AM,,67,,,Sileby,1.1,Sileby,Severn Trent,,Charnwood,Sileby & Seagrave,Sileby & The Wolds
LE12 7DP,Yes,52.738773,-1.099927,460866,316062,SK608160,12/1/2015 12:00:00 AM,,75,,,Sileby,1.0,Sileby,Severn Trent,,Charnwood,Sileby & Seagrave,Sileby & The Wolds
LE12 7DR,Yes,52.730310,-1.108001,460333,315114,SK603151,4/1/2005 12:00:00 AM,,50,16,12,Sileby,0.2,Sileby,Severn Trent,,Charnwood,Sileby & Seagrave,Sileby & The Wolds
LE12 7EE,Yes,52.735204,-1.103754,460613,315662,SK606156,10/1/1987 12:00:00 AM,,57,61,24,Sileby,0.6,Sileby,Severn Trent,,Charnwood,Sileby & Seagrave,Sileby & The Wolds
LE12 7EF,Yes,52.735454,-1.102238,460715,315691,SK607156,10/1/1987 12:00:00 AM,,57,14,6,Sileby,0.7,Sileby,Severn Trent,,Charnwood,Sileby & Seagrave,Sileby & The Wolds
LE12 7FB,Yes,52.761984,-1.102419,460666,318642,SK606186,2/1/2011 12:00:00 AM,,102,,,Barrow-Upon-Soar,3.2,,Severn Trent,,Charnwood,Sileby & Seagrave,Sileby & The Wolds
LE12 7FZ,Yes,52.730888,-1.113202,459981,315174,SK599151,9/1/2007 12:00:00 AM,,53,19,7,Sileby,0.2,Sileby,Severn Trent,,Charnwood,Sileby & Seagrave,Sileby & The Wolds
LE12 7GR,Yes,52.727545,-1.101379,460784,314812,SK607148,12/1/2000 12:00:00 AM,,69,89,32,Sileby,0.7,Sileby,Severn Trent,,Charnwood,Sileby & Seagrave,Sileby & The Wolds
LE12 7GS,Yes,52.726665,-1.103855,460618,314712,SK606147,6/1/2001 12:00:00 AM,,62,108,39,Sileby,0.7,Sileby,Severn Trent,,Charnwood,Sileby & Seagrave,Sileby & The Wolds
