Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
B26 3AW,Yes,52.452512,-1.730754,418394,283874,SP183838,9/1/2008 12:00:00 AM,,104,1,1,Birmingham International,0.4,Birmingham,,,Solihull,Bickenhill,
B26 3BY,Yes,52.453542,-1.731211,418363,283988,SP183839,9/1/2014 12:00:00 AM,,105,,,Birmingham International,0.5,Birmingham,,,Solihull,Bickenhill,
B26 3FS,Yes,52.449735,-1.751533,416983,283560,SP169835,3/1/2022 12:00:00 AM,,99,,,Birmingham International,1.7,Birmingham,,,Solihull,Bickenhill,
B26 3NH,No,52.451057,-1.782182,414900,283700,SP149836,1/1/1983 12:00:00 AM,12/1/1983 12:00:00 AM,101,,,Olton,2.0,Solihull,,,Solihull,Elmdon,
B26 3PX,Yes,52.451000,-1.763297,416183,283698,SP161836,1/1/1980 12:00:00 AM,,108,137,56,Marston Green,1.9,Solihull,Severn Trent,,Solihull,Elmdon,
B26 3QB,No,52.449998,-1.750935,417024,283589,SP170835,1/1/1980 12:00:00 AM,7/1/2017 12:00:00 AM,102,,,Birmingham International,1.7,Birmingham,Severn Trent,,Solihull,Bickenhill,
B26 3QD,Yes,52.447907,-1.752903,416891,283356,SP168833,4/1/1987 12:00:00 AM,,106,2,1,Birmingham International,1.9,Birmingham,Severn Trent,,Solihull,Bickenhill,
B26 3QE,Yes,52.448365,-1.748487,417191,283408,SP171834,3/1/1988 12:00:00 AM,,107,,,Birmingham International,1.6,Birmingham,,,Solihull,Bickenhill,
B26 3QJ,Yes,52.451285,-1.731063,418374,283737,SP183837,1/1/1980 12:00:00 AM,,107,,,Birmingham International,0.4,Birmingham,Severn Trent,,Solihull,Bickenhill,
B26 3QL,Yes,52.452509,-1.731629,418335,283873,SP183838,1/1/1992 12:00:00 AM,,105,2,1,Birmingham International,0.4,Birmingham,Severn Trent,,Solihull,Bickenhill,
B26 3QN,Yes,52.450093,-1.750677,417041,283600,SP170835,8/1/1992 12:00:00 AM,,100,,,Birmingham International,1.7,Birmingham,,,Solihull,Bickenhill,
B26 3QP,No,52.446492,-1.746894,417300,283200,SP172832,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,113,,,Birmingham International,1.5,Birmingham,,,Solihull,Bickenhill,
B26 3QQ,No,52.447397,-1.749831,417100,283300,SP170832,4/1/1986 12:00:00 AM,1/1/1995 12:00:00 AM,111,,,Birmingham International,1.7,Birmingham,,,Solihull,Bickenhill,
B26 3QR,Yes,52.446048,-1.745498,417395,283151,SP173831,1/1/1980 12:00:00 AM,,111,,,Birmingham International,1.4,Birmingham,Severn Trent,,Solihull,Bickenhill,
B26 3QS,Yes,52.445898,-1.748082,417219,283134,SP172831,1/1/1980 12:00:00 AM,,113,11,6,Birmingham International,1.6,Birmingham,Severn Trent,,Solihull,Bickenhill,
B26 3QT,Yes,52.447918,-1.749490,417123,283358,SP171833,1/1/1980 12:00:00 AM,,109,,,Birmingham International,1.6,Birmingham,,,Solihull,Bickenhill,
