Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DE1 1US,No,52.919058,-1.411001,439700,335900,SK397358,4/1/1986 12:00:00 AM,12/1/1986 12:00:00 AM,74,,,Spondon,0.8,Derby,,,Derby,Spondon,
DE1 1WQ,No,52.919058,-1.411001,439700,335900,SK397358,8/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,74,,,Spondon,0.8,Derby,,,Derby,Spondon,
DE1 1XZ,No,52.913643,-1.406613,440000,335300,SK400353,4/1/1987 12:00:00 AM,12/1/1990 12:00:00 AM,54,,,Spondon,0.3,Derby,,,Derby,Spondon,
DE2 2AU,No,52.947353,-1.441945,437595,339031,SK375390,6/1/1981 12:00:00 AM,12/1/1992 12:00:00 AM,108,,,Derby,3.7,Derby,,,Derby,Oakwood,
DE2 2AX,No,52.949111,-1.442964,437525,339226,SK375392,6/1/1981 12:00:00 AM,12/1/1992 12:00:00 AM,103,,,Derby,3.9,Derby,,,Derby,Oakwood,
DE2 2AY,No,52.947285,-1.442675,437546,339023,SK375390,6/1/1981 12:00:00 AM,12/1/1992 12:00:00 AM,107,,,Derby,3.7,Derby,,,Derby,Oakwood,
DE2 2AZ,No,52.948218,-1.442261,437573,339127,SK375391,6/1/1981 12:00:00 AM,12/1/1992 12:00:00 AM,107,,,Derby,3.8,Derby,,,Derby,Oakwood,
DE2 2BA,No,52.945428,-1.447401,437230,338814,SK372388,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,100,,,Derby,3.4,Derby,,,Derby,Oakwood,
DE2 2BD,No,52.939990,-1.430403,438377,338218,SK383382,2/1/1984 12:00:00 AM,12/1/1992 12:00:00 AM,84,,,Spondon,3.3,Derby,,,Derby,Oakwood,
DE2 2BE,No,52.940915,-1.430123,438395,338321,SK383383,2/1/1984 12:00:00 AM,12/1/1992 12:00:00 AM,90,,,Spondon,3.4,Derby,,,Derby,Oakwood,
DE2 2BG,No,52.946219,-1.451380,436962,338900,SK369388,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,93,,,Derby,3.4,Derby,,,Derby,Oakwood,
DE2 2BH,No,52.946326,-1.449101,437115,338913,SK371389,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,98,,,Derby,3.4,Derby,,,Derby,Oakwood,
DE2 2BJ,No,52.945908,-1.448199,437176,338867,SK371388,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,99,,,Derby,3.4,Derby,,,Derby,Oakwood,
DE2 2BL,No,52.946356,-1.447821,437201,338917,SK372389,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,100,,,Derby,3.5,Derby,,,Derby,Oakwood,
DE2 2BN,No,52.947809,-1.445198,437376,339080,SK373390,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,103,,,Derby,3.7,Derby,,,Derby,Oakwood,
DE2 2BP,No,52.938388,-1.430008,438405,338040,SK384380,2/1/1984 12:00:00 AM,12/1/1992 12:00:00 AM,76,,,Spondon,3.2,Derby,,,Derby,Oakwood,
DE2 2BQ,No,52.946160,-1.450145,437045,338894,SK370388,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,96,,,Derby,3.4,Derby,,,Derby,Oakwood,
DE2 2BR,No,52.948255,-1.446353,437298,339129,SK372391,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,100,,,Derby,3.7,Derby,,,Derby,Oakwood,
DE2 2BS,No,52.947363,-1.447942,437192,339029,SK371390,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,99,,,Derby,3.6,Derby,,,Derby,Oakwood,
DE2 2BT,No,52.948438,-1.445205,437375,339150,SK373391,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,100,,,Derby,3.7,Derby,,,Derby,Oakwood,
DE2 2BU,No,52.947518,-1.444458,437426,339048,SK374390,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,105,,,Derby,3.7,Derby,,,Derby,Oakwood,
DE2 2BW,No,52.940159,-1.430044,438401,338237,SK384382,2/1/1984 12:00:00 AM,12/1/1992 12:00:00 AM,86,,,Spondon,3.4,Derby,,,Derby,Oakwood,
DE2 2BX,No,52.945831,-1.447069,437252,338859,SK372388,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,102,,,Derby,3.4,Derby,,,Derby,Oakwood,
DE2 2BY,No,52.939752,-1.431344,438314,338191,SK383381,2/1/1984 12:00:00 AM,12/1/1992 12:00:00 AM,80,,,Spondon,3.3,Derby,,,Derby,Oakwood,
DE2 2BZ,No,52.938863,-1.431608,438297,338092,SK382380,2/1/1984 12:00:00 AM,12/1/1992 12:00:00 AM,75,,,Spondon,3.3,Derby,,,Derby,Oakwood,
DE2 2DA,No,52.945315,-1.452135,436912,338799,SK369387,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,91,,,Derby,3.3,Derby,,,Derby,Oakwood,
DE2 2DB,No,52.945116,-1.450024,437054,338778,SK370387,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,96,,,Derby,3.3,Derby,,,Derby,Oakwood,
DE2 2DD,No,52.945038,-1.448522,437155,338770,SK371387,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,98,,,Derby,3.3,Derby,,,Derby,Oakwood,
DE2 2DE,No,52.944887,-1.447170,437246,338754,SK372387,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,100,,,Derby,3.3,Derby,,,Derby,Oakwood,
DE2 2DF,No,52.941976,-1.432148,438258,338438,SK382384,10/1/1984 12:00:00 AM,12/1/1992 12:00:00 AM,87,,,Derby,3.5,Derby,,,Derby,Oakwood,
DE2 2DG,No,52.945605,-1.442994,437526,338836,SK375388,4/1/1985 12:00:00 AM,12/1/1992 12:00:00 AM,101,,,Derby,3.5,Derby,,,Derby,Oakwood,
DE2 2DH,No,52.945791,-1.444301,437438,338856,SK374388,4/1/1985 12:00:00 AM,12/1/1992 12:00:00 AM,103,,,Derby,3.5,Derby,,,Derby,Oakwood,
DE2 2DJ,No,52.946218,-1.445204,437377,338903,SK373389,4/1/1985 12:00:00 AM,12/1/1992 12:00:00 AM,105,,,Derby,3.5,Derby,,,Derby,Oakwood,
DE2 2DL,No,52.946628,-1.444573,437419,338949,SK374389,4/1/1985 12:00:00 AM,12/1/1992 12:00:00 AM,106,,,Derby,3.6,Derby,,,Derby,Oakwood,
DE2 2DN,No,52.942984,-1.436093,437992,338548,SK379385,4/1/1985 12:00:00 AM,12/1/1992 12:00:00 AM,85,,,Derby,3.5,Derby,,,Derby,Oakwood,
DE2 2DP,No,52.942121,-1.434185,438121,338453,SK381384,4/1/1985 12:00:00 AM,12/1/1992 12:00:00 AM,82,,,Derby,3.4,Derby,,,Derby,Oakwood,
DE2 2DQ,No,52.942453,-1.436026,437997,338489,SK379384,4/1/1985 12:00:00 AM,12/1/1992 12:00:00 AM,82,,,Derby,3.4,Derby,,,Derby,Oakwood,
DE2 2DR,No,52.943871,-1.437361,437906,338646,SK379386,7/1/1986 12:00:00 AM,12/1/1992 12:00:00 AM,89,,,Derby,3.5,Derby,,,Derby,Oakwood,
DE2 2DT,No,52.944648,-1.445878,437333,338728,SK373387,10/1/1985 12:00:00 AM,12/1/1992 12:00:00 AM,100,,,Derby,3.3,Derby,,,Derby,Oakwood,
DE2 2DW,No,52.943703,-1.436173,437986,338628,SK379386,7/1/1986 12:00:00 AM,12/1/1992 12:00:00 AM,89,,,Derby,3.5,Derby,,,Derby,Oakwood,
DE2 2DX,No,52.945309,-1.441272,437642,338804,SK376388,10/1/1985 12:00:00 AM,12/1/1992 12:00:00 AM,98,,,Derby,3.5,Derby,,,Derby,Oakwood,
DE2 2DY,No,52.945293,-1.439739,437745,338803,SK377388,7/1/1986 12:00:00 AM,12/1/1992 12:00:00 AM,97,,,Derby,3.6,Derby,,,Derby,Oakwood,
DE2 2DZ,No,52.945117,-1.438670,437817,338784,SK378387,3/1/1988 12:00:00 AM,12/1/1992 12:00:00 AM,96,,,Derby,3.6,Derby,,,Derby,Oakwood,
DE2 2EA,No,52.946151,-1.440502,437693,338898,SK376388,4/1/1987 12:00:00 AM,12/1/1992 12:00:00 AM,102,,,Derby,3.6,Derby,,,Derby,Oakwood,
DE2 2EB,No,52.946024,-1.438494,437828,338885,SK378388,3/1/1988 12:00:00 AM,12/1/1992 12:00:00 AM,102,,,Derby,3.7,Derby,,,Derby,Oakwood,
DE2 2EE,No,52.944554,-1.443156,437516,338719,SK375387,10/1/1985 12:00:00 AM,12/1/1992 12:00:00 AM,98,,,Derby,3.4,Derby,,,Derby,Oakwood,
DE2 2EF,No,52.943818,-1.435725,438016,338641,SK380386,4/1/1987 12:00:00 AM,12/1/1992 12:00:00 AM,90,,,Derby,3.6,Derby,,,Derby,Oakwood,
DE2 2EH,No,52.940564,-1.428223,438523,338283,SK385382,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,91,,,Spondon,3.4,Derby,,,Derby,Oakwood,
DE2 2EJ,No,52.939800,-1.428233,438523,338198,SK385381,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,88,,,Spondon,3.3,Derby,,,Derby,Oakwood,
DE2 2EL,No,52.939671,-1.427580,438567,338184,SK385381,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,87,,,Spondon,3.2,Derby,,,Derby,Oakwood,
DE2 2EP,No,52.946511,-1.427520,438565,338945,SK385389,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,108,,,Spondon,4.0,Derby,,,Derby,Oakwood,
DE2 2ER,No,52.946344,-1.426317,438646,338927,SK386389,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,106,,,Spondon,3.9,Derby,,,Derby,Oakwood,
DE2 2ES,No,52.946093,-1.428255,438516,338898,SK385388,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,107,,,Spondon,3.9,Derby,,,Derby,Oakwood,
DE2 2ET,No,52.945431,-1.427236,438585,338825,SK385388,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,103,,,Spondon,3.8,Derby,,,Derby,Oakwood,
DE2 2EU,No,52.945678,-1.428096,438527,338852,SK385388,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,105,,,Spondon,3.9,Derby,,,Derby,Oakwood,
DE2 2GA,No,52.945213,-1.428504,438500,338800,SK385388,1/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,104,,,Spondon,3.8,Derby,,,Derby,Oakwood,
DE2 2HA,No,52.943812,-1.423329,438849,338647,SK388386,2/1/1984 12:00:00 AM,12/1/1992 12:00:00 AM,96,,,Spondon,3.6,Derby,,,Derby,Oakwood,
DE2 2HB,No,52.944250,-1.422713,438890,338696,SK388386,2/1/1984 12:00:00 AM,12/1/1992 12:00:00 AM,98,,,Spondon,3.6,Derby,,,Derby,Oakwood,
DE2 2HD,No,52.943654,-1.422215,438924,338630,SK389386,2/1/1984 12:00:00 AM,12/1/1992 12:00:00 AM,97,,,Spondon,3.6,Derby,,,Derby,Oakwood,
