Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CV13 0NG,Yes,52.655085,-1.345389,444379,306574,SK443065,11/1/2019 12:00:00 AM,,143,,,Narborough,13.4,,Severn Trent,,Hinckley and Bosworth,"Ratby, Bagworth and Thornton","Markfield, Desford & Thornton"
LE1 1ZB,No,52.612912,-1.194911,454610,301986,SK546019,12/1/2000 12:00:00 AM,5/1/2018 12:00:00 AM,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 1ZP,Yes,52.612930,-1.194904,454610,301988,SK546019,6/1/2022 12:00:00 AM,,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 3WS,No,52.612912,-1.194911,454610,301986,SK546019,6/1/2003 12:00:00 AM,5/1/2016 12:00:00 AM,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 3ZD,No,52.612912,-1.194911,454610,301986,SK546019,6/1/2002 12:00:00 AM,5/1/2016 12:00:00 AM,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 3ZG,No,52.612912,-1.194911,454610,301986,SK546019,12/1/2000 12:00:00 AM,4/1/2018 12:00:00 AM,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 3ZN,No,52.612912,-1.194911,454610,301986,SK546019,6/1/2000 12:00:00 AM,6/1/2016 12:00:00 AM,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 3ZT,No,52.612912,-1.194911,454610,301986,SK546019,6/1/1998 12:00:00 AM,6/1/2016 12:00:00 AM,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 5WP,Yes,52.612912,-1.194911,454610,301986,SK546019,8/1/1993 12:00:00 AM,,73,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 5XA,No,52.612912,-1.194911,454610,301986,SK546019,11/1/2002 12:00:00 AM,11/1/2019 12:00:00 AM,73,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 6UJ,Yes,52.612912,-1.194911,454610,301986,SK546019,5/1/2004 12:00:00 AM,,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 6XY,Yes,52.612912,-1.194911,454610,301986,SK546019,3/1/2012 12:00:00 AM,,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 6ZT,No,52.612912,-1.194911,454610,301986,SK546019,6/1/2004 12:00:00 AM,12/1/2018 12:00:00 AM,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 6ZX,Yes,52.612912,-1.194911,454610,301986,SK546019,10/1/2002 12:00:00 AM,,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 7YJ,Yes,52.612912,-1.194911,454610,301986,SK546019,12/1/1998 12:00:00 AM,,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 8AP,No,52.612912,-1.194911,454610,301986,SK546019,7/1/2006 12:00:00 AM,6/1/2016 12:00:00 AM,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 8AT,No,52.612912,-1.194911,454610,301986,SK546019,9/1/2006 12:00:00 AM,10/1/2016 12:00:00 AM,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 8AU,Yes,52.612930,-1.194904,454610,301988,SK546019,2/1/2021 12:00:00 AM,,73,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 8AW,Yes,52.612930,-1.194904,454610,301988,SK546019,2/1/2021 12:00:00 AM,,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 8BN,Yes,52.612912,-1.194911,454610,301986,SK546019,1/1/2008 12:00:00 AM,,73,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 8BT,No,52.612912,-1.194911,454610,301986,SK546019,5/1/2008 12:00:00 AM,10/1/2017 12:00:00 AM,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 8BY,No,52.612912,-1.194911,454610,301986,SK546019,9/1/2008 12:00:00 AM,10/1/2015 12:00:00 AM,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 8DE,No,52.612930,-1.194904,454610,301988,SK546019,12/1/2019 12:00:00 AM,8/1/2022 12:00:00 AM,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 8DJ,Yes,52.612912,-1.194911,454610,301986,SK546019,1/1/2010 12:00:00 AM,,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 8DP,No,52.612912,-1.194911,454610,301986,SK546019,11/1/2010 12:00:00 AM,11/1/2018 12:00:00 AM,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 8DU,No,52.612912,-1.194911,454610,301986,SK546019,7/1/2012 12:00:00 AM,10/1/2015 12:00:00 AM,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 8DW,Yes,52.612912,-1.194911,454610,301986,SK546019,6/1/2012 12:00:00 AM,,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 8DZ,No,52.612912,-1.194911,454610,301986,SK546019,10/1/2014 12:00:00 AM,9/1/2018 12:00:00 AM,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 8ED,No,52.612912,-1.194911,454610,301986,SK546019,12/1/2012 12:00:00 AM,1/1/2018 12:00:00 AM,81,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
LE1 8EE,No,52.612912,-1.194911,454610,301986,SK546019,12/1/2012 12:00:00 AM,1/1/2018 12:00:00 AM,73,,,Narborough,4.7,Leicester,,,Blaby,Thorpe Astley & St Mary's,Enderby & Lubbesthorpe
