Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
IP24 1FJ,Yes,52.495973,0.858611,594151,292515,TL941925,10/1/2014 12:00:00 AM,,40,,,Harling Road,5.8,,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1FP,Yes,52.478142,0.834737,592609,290468,TL926904,9/1/2018 12:00:00 AM,,33,,,Harling Road,5.7,,,,Breckland,All Saints & Wayland,The Brecks
IP24 1FQ,Yes,52.494402,0.857147,594059,292336,TL940923,11/1/2019 12:00:00 AM,,36,,,Harling Road,5.7,,,,Breckland,All Saints & Wayland,The Brecks
IP24 1FR,Yes,52.493427,0.872539,595108,292269,TL951922,4/1/2020 12:00:00 AM,,39,,,Harling Road,5.1,,,,Breckland,All Saints & Wayland,The Brecks
IP24 1FS,Yes,52.499455,0.875363,595273,292947,TL952929,9/1/2021 12:00:00 AM,,39,,,Harling Road,5.6,Great Hockham,,,Breckland,All Saints & Wayland,The Brecks
IP24 1FT,Yes,52.494586,0.855877,593972,292353,TL939923,9/1/2023 12:00:00 AM,,40,,,Harling Road,5.8,,,,Breckland,All Saints & Wayland,The Brecks
IP24 1FW,Yes,52.495223,0.854813,593897,292421,TL938924,10/1/2022 12:00:00 AM,,43,,,Harling Road,5.9,,,,Breckland,All Saints & Wayland,The Brecks
IP24 1FZ,Yes,52.474342,0.825937,592028,290022,TL920900,7/1/2023 12:00:00 AM,,34,,,Harling Road,6.1,,,,Breckland,All Saints & Wayland,The Brecks
IP24 1NH,Yes,52.495483,0.875509,595300,292506,TL953925,1/1/1980 12:00:00 AM,,42,44,18,Harling Road,5.2,Great Hockham,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1NJ,Yes,52.496755,0.877905,595457,292654,TL954926,1/1/1980 12:00:00 AM,,41,64,28,Harling Road,5.2,Great Hockham,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1NL,Yes,52.497219,0.877471,595425,292704,TL954927,1/1/1980 12:00:00 AM,,41,50,21,Harling Road,5.3,Great Hockham,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1NN,Yes,52.494538,0.876257,595355,292403,TL953924,4/1/1985 12:00:00 AM,,41,27,13,Harling Road,5.1,Great Hockham,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1NP,Yes,52.494846,0.876911,595398,292439,TL953924,1/1/1980 12:00:00 AM,,41,19,10,Harling Road,5.1,Great Hockham,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1NR,Yes,52.493954,0.876249,595357,292338,TL953923,1/1/1980 12:00:00 AM,,40,9,4,Harling Road,5.0,Great Hockham,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1NS,Yes,52.482452,0.869959,594981,291042,TL949910,1/1/1980 12:00:00 AM,,33,7,3,Harling Road,4.2,,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1NT,Yes,52.494699,0.878890,595533,292428,TL955924,1/1/1980 12:00:00 AM,,39,45,19,Harling Road,5.0,Great Hockham,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1NU,Yes,52.494472,0.884533,595917,292418,TL959924,1/1/1980 12:00:00 AM,,36,2,1,Harling Road,4.8,,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1NW,Yes,52.496058,0.874412,595223,292567,TL952925,12/1/1994 12:00:00 AM,,41,11,4,Harling Road,5.3,Great Hockham,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1NX,Yes,52.487153,0.892922,596519,291627,TL965916,1/1/1980 12:00:00 AM,,31,6,3,Harling Road,3.9,,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1NY,Yes,52.494789,0.874219,595216,292425,TL952924,1/1/1980 12:00:00 AM,,40,14,9,Harling Road,5.1,Great Hockham,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1NZ,Yes,52.491180,0.870484,594978,292014,TL949920,1/1/1980 12:00:00 AM,,38,10,5,Harling Road,4.9,,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1PA,Yes,52.494928,0.864032,594524,292413,TL945924,1/1/1980 12:00:00 AM,,40,19,4,Harling Road,5.5,,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1PB,Yes,52.497552,0.875113,595264,292735,TL952927,1/1/1980 12:00:00 AM,,41,84,33,Harling Road,5.4,Great Hockham,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1PD,Yes,52.504285,0.873357,595115,293479,TL951934,1/1/1980 12:00:00 AM,,39,3,1,Harling Road,6.1,,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1PE,Yes,52.497030,0.872545,595092,292670,TL950926,1/1/1980 12:00:00 AM,,39,72,33,Harling Road,5.4,Great Hockham,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1PF,Yes,52.497969,0.876452,595353,292785,TL953927,1/1/1980 12:00:00 AM,,41,91,40,Harling Road,5.4,Great Hockham,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1PG,Yes,52.497993,0.877434,595420,292790,TL954927,7/1/2021 12:00:00 AM,,41,,,Harling Road,5.4,Great Hockham,,,Breckland,All Saints & Wayland,The Brecks
IP24 1PH,Yes,52.534374,0.828648,591950,296705,TL919967,1/1/1980 12:00:00 AM,,52,44,18,Harling Road,10.5,Thompson,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
IP24 1PJ,Yes,52.535276,0.826412,591794,296799,TL917967,1/1/1980 12:00:00 AM,,54,13,6,Harling Road,10.7,Thompson,Anglian Water,,Breckland,All Saints & Wayland,The Brecks
