Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
TS1 1AA,Yes,54.575852,-1.244942,448907,520333,NZ489203,2/1/1990 12:00:00 AM,,9,,,Middlesbrough,0.8,Middlesbrough,Northumbrian Water,,Middlesbrough,Newport,
TS1 1AB,Yes,54.575852,-1.244942,448907,520333,NZ489203,12/1/1998 12:00:00 AM,,9,,,Middlesbrough,0.8,Middlesbrough,Northumbrian Water,,Middlesbrough,Newport,
TS1 1AD,Yes,54.577482,-1.234855,449557,520521,NZ495205,11/1/2018 12:00:00 AM,,11,,,Middlesbrough,0.2,Middlesbrough,,,Middlesbrough,Central,
TS1 1AE,Yes,54.576745,-1.230491,449840,520442,NZ498204,11/1/2017 12:00:00 AM,,8,,,Middlesbrough,0.4,Middlesbrough,,,Middlesbrough,Central,
TS1 1AF,Yes,54.576813,-1.239818,449237,520443,NZ492204,10/1/2020 12:00:00 AM,,8,,,Middlesbrough,0.4,Middlesbrough,,,Middlesbrough,Central,
TS1 1AH,No,54.577295,-1.235741,449500,520500,NZ495204,12/1/1998 12:00:00 AM,1/1/2001 12:00:00 AM,12,,,Middlesbrough,0.2,Middlesbrough,,,Middlesbrough,Central,
TS1 1AN,No,54.575843,-1.244942,448907,520332,NZ489203,3/1/1988 12:00:00 AM,12/1/1997 12:00:00 AM,9,,,Middlesbrough,0.8,Middlesbrough,,,Middlesbrough,Newport,
TS1 1AZ,No,54.575852,-1.244942,448907,520333,NZ489203,6/1/1999 12:00:00 AM,2/1/2006 12:00:00 AM,9,,,Middlesbrough,0.8,Middlesbrough,,,Middlesbrough,Newport,
TS1 1BA,No,54.577205,-1.235604,449509,520490,NZ495204,1/1/1980 12:00:00 AM,2/1/2014 12:00:00 AM,12,,,Middlesbrough,0.2,Middlesbrough,Northumbrian Water,,Middlesbrough,Central,
TS1 1DA,Yes,54.579013,-1.233125,449667,520693,NZ496206,6/1/2010 12:00:00 AM,,7,,,Middlesbrough,0.1,Middlesbrough,Northumbrian Water,,Middlesbrough,Central,
TS1 1DB,Yes,54.578138,-1.231996,449741,520596,NZ497205,1/1/1980 12:00:00 AM,,7,,,Middlesbrough,0.2,Middlesbrough,Northumbrian Water,,Middlesbrough,Central,
TS1 1DD,No,54.578184,-1.234177,449600,520600,NZ496205,1/1/1980 12:00:00 AM,12/1/1986 12:00:00 AM,8,,,Middlesbrough,0.1,Middlesbrough,,,Middlesbrough,Central,
TS1 1DE,Yes,54.578669,-1.233487,449644,520654,NZ496206,6/1/1996 12:00:00 AM,,8,,,Middlesbrough,0.1,Middlesbrough,Northumbrian Water,,Middlesbrough,Central,
TS1 1DF,Yes,54.578795,-1.232046,449737,520669,NZ497206,6/1/2010 12:00:00 AM,,8,,,Middlesbrough,0.2,Middlesbrough,Northumbrian Water,,Middlesbrough,Central,
TS1 1DG,No,54.578184,-1.234177,449600,520600,NZ496205,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,8,,,Middlesbrough,0.1,Middlesbrough,,,Middlesbrough,Central,
