Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
MK1 1NS,No,52.064417,-0.757114,485300,241400,SP853413,3/1/1983 12:00:00 AM,12/1/1983 12:00:00 AM,96,,,Wolverton,3.2,Milton Keynes,,,Milton Keynes,Stantonbury,
MK1 1NT,No,52.064417,-0.757114,485300,241400,SP853413,1/1/1983 12:00:00 AM,12/1/1990 12:00:00 AM,96,,,Wolverton,3.2,Milton Keynes,,,Milton Keynes,Stantonbury,
MK1 1PH,No,52.045800,-0.782420,483600,239300,SP835392,2/1/1984 12:00:00 AM,12/1/1990 12:00:00 AM,86,,,Milton Keynes Central,1.4,Milton Keynes,,,Milton Keynes,Bradwell,
MK1 1TN,No,52.045301,-0.821804,480900,239200,SP808391,4/1/1986 12:00:00 AM,12/1/1986 12:00:00 AM,97,,,Wolverton,2.6,Milton Keynes,,,Milton Keynes,Bradwell,
MK11 1AA,Yes,52.056456,-0.852416,478781,240407,SP787404,1/1/1980 12:00:00 AM,,71,13,8,Wolverton,3.5,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1AB,Yes,52.057573,-0.854546,478633,240529,SP786405,8/1/1992 12:00:00 AM,,70,2,1,Wolverton,3.6,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1AD,No,52.056390,-0.852141,478800,240400,SP787404,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,71,,,Wolverton,3.4,Milton Keynes,,,Milton Keynes,Stony Stratford,
MK11 1AE,Yes,52.056083,-0.851128,478870,240367,SP788403,6/1/1997 12:00:00 AM,,71,,,Wolverton,3.4,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1AF,Yes,52.056432,-0.851804,478823,240405,SP788404,1/1/1980 12:00:00 AM,,71,11,6,Wolverton,3.4,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1AG,Yes,52.056498,-0.851263,478860,240413,SP788404,1/1/1980 12:00:00 AM,,70,4,4,Wolverton,3.4,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1AH,Yes,52.058000,-0.854649,478625,240576,SP786405,1/1/1980 12:00:00 AM,,70,21,13,Wolverton,3.6,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1AJ,Yes,52.057758,-0.854177,478658,240550,SP786405,12/1/1998 12:00:00 AM,,70,,,Wolverton,3.5,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1AL,No,52.057317,-0.855034,478600,240500,SP786404,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,70,,,Wolverton,3.6,Milton Keynes,,,Milton Keynes,Stony Stratford,
MK11 1AN,No,52.058230,-0.856469,478500,240600,SP785405,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,68,,,Wolverton,3.7,Milton Keynes,,,Milton Keynes,Stony Stratford,
MK11 1AP,Yes,52.059660,-0.858387,478366,240757,SP783407,1/1/1980 12:00:00 AM,,68,10,5,Wolverton,3.8,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1AQ,Yes,52.057181,-0.853054,478736,240487,SP787404,1/1/1980 12:00:00 AM,,70,5,3,Wolverton,3.5,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1AR,Yes,52.059446,-0.853591,478695,240738,SP786407,1/1/1980 12:00:00 AM,,68,2,1,Wolverton,3.4,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1AS,Yes,52.059229,-0.858413,478365,240709,SP783407,1/1/1980 12:00:00 AM,,67,10,6,Wolverton,3.8,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1AT,Yes,52.058701,-0.856542,478494,240652,SP784406,1/1/1980 12:00:00 AM,,68,82,33,Wolverton,3.7,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1AU,Yes,52.057811,-0.854949,478605,240555,SP786405,1/1/1980 12:00:00 AM,,70,,,Wolverton,3.6,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1AW,Yes,52.059319,-0.857139,478452,240720,SP784407,1/1/1980 12:00:00 AM,,68,34,16,Wolverton,3.7,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1AX,No,52.058230,-0.856469,478500,240600,SP785405,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,68,,,Wolverton,3.7,Milton Keynes,,,Milton Keynes,Stony Stratford,
MK11 1AY,Yes,52.057483,-0.854254,478653,240519,SP786405,1/1/1980 12:00:00 AM,,70,7,4,Wolverton,3.5,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1AZ,No,52.057317,-0.855034,478600,240500,SP786404,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,70,,,Wolverton,3.6,Milton Keynes,,,Milton Keynes,Stony Stratford,
MK11 1BA,Yes,52.057535,-0.854358,478646,240525,SP786405,1/1/1980 12:00:00 AM,,70,,,Wolverton,3.5,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1BB,No,52.057317,-0.855034,478600,240500,SP786404,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,70,,,Wolverton,3.6,Milton Keynes,,,Milton Keynes,Stony Stratford,
MK11 1BD,Yes,52.056816,-0.854303,478651,240445,SP786404,1/1/1980 12:00:00 AM,,70,23,11,Wolverton,3.6,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1BE,Yes,52.056180,-0.854287,478653,240374,SP786403,1/1/1980 12:00:00 AM,,70,32,13,Wolverton,3.6,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1BG,No,52.055519,-0.855080,478600,240300,SP786402,1/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,69,,,Wolverton,3.7,Milton Keynes,,,Milton Keynes,Stony Stratford,
MK11 1BH,No,52.056432,-0.856515,478500,240400,SP785403,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,69,,,Wolverton,3.7,Milton Keynes,,,Milton Keynes,Stony Stratford,
MK11 1BJ,Yes,52.056964,-0.855743,478552,240460,SP785404,1/1/1980 12:00:00 AM,,69,74,35,Wolverton,3.7,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1BL,Yes,52.057260,-0.856214,478519,240492,SP785404,1/1/1980 12:00:00 AM,,69,51,35,Wolverton,3.7,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1BN,Yes,52.058469,-0.852945,478741,240630,SP787406,1/1/1980 12:00:00 AM,,69,31,16,Wolverton,3.4,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1BP,Yes,52.057141,-0.851713,478828,240484,SP788404,1/1/1980 12:00:00 AM,,70,10,6,Wolverton,3.4,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1BQ,Yes,52.056664,-0.856291,478515,240426,SP785404,1/1/1980 12:00:00 AM,,69,39,21,Wolverton,3.7,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1BS,Yes,52.058249,-0.850109,478936,240609,SP789406,1/1/1980 12:00:00 AM,,69,48,20,Wolverton,3.2,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
MK11 1BT,Yes,52.057232,-0.850952,478880,240495,SP788404,1/1/1980 12:00:00 AM,,70,74,32,Wolverton,3.3,Milton Keynes,Anglian Water,,Milton Keynes,Stony Stratford,
