Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
AB3 9AA,No,57.405498,-3.369045,317840,835840,NJ178358,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,164,,,Elgin,26.6,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9AB,No,57.409769,-3.389180,316640,836340,NJ166363,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,180,,,Elgin,26.3,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9AD,No,57.405334,-3.384018,316940,835840,NJ169358,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,224,,,Elgin,26.8,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9AJ,No,57.397452,-3.365416,318040,834940,NJ180349,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,203,,,Elgin,27.5,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9AL,No,57.361477,-3.369067,317740,830940,NJ177309,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,260,,,Carrbridge,29.0,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9AN,No,57.355317,-3.357202,318440,830240,NJ184302,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,218,,,Carrbridge,29.5,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9AP,No,57.333384,-3.391278,316340,827840,NJ163278,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,225,,,Carrbridge,26.9,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9AQ,No,57.312489,-3.412072,315040,825540,NJ150255,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,243,,,Carrbridge,25.3,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9AR,No,57.287345,-3.411108,315040,822740,NJ150227,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,311,,,Carrbridge,25.1,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9AS,No,57.402014,-3.358929,318440,835440,NJ184354,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,177,,,Elgin,26.9,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9AT,No,57.411946,-3.354303,318740,836540,NJ187365,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,209,,,Elgin,25.8,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9AX,No,57.415358,-3.371078,317740,836940,NJ177369,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,147,,,Elgin,25.5,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9BA,No,57.422722,-3.354701,318740,837740,NJ187377,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,189,,,Elgin,24.6,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9BB,No,57.418321,-3.346213,319240,837240,NJ192372,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,224,,,Elgin,25.0,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9BD,No,57.425839,-3.314847,321140,838040,NJ211380,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,244,,,Elgin,24.1,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9BJ,No,57.432936,-3.323430,320640,838840,NJ206388,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,233,,,Elgin,23.3,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9BL,No,57.447956,-3.347302,319240,840540,NJ192405,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,192,,,Elgin,21.8,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9BN,No,57.432564,-3.358396,318540,838840,NJ185388,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,138,,,Elgin,23.5,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9BP,No,57.432510,-3.363391,318240,838840,NJ182388,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,141,,,Elgin,23.6,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9BQ,No,57.423385,-3.376373,317440,837840,NJ174378,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,157,,,Elgin,24.7,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9BR,No,57.441400,-3.372052,317740,839840,NJ177398,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,189,,,Elgin,22.7,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9BS,No,57.453844,-3.384185,317040,841240,NJ170412,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,209,,,Elgin,21.5,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9BT,No,57.353770,-3.333876,319840,830040,NJ198300,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,217,,,Carrbridge,30.8,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9BX,No,57.350231,-3.328762,320140,829640,NJ201296,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,229,,,Carrbridge,31.0,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9DA,No,57.350916,-3.348730,318940,829740,NJ189297,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,220,,,Carrbridge,29.8,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9DB,No,57.342043,-3.338435,319540,828740,NJ195287,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,266,,,Carrbridge,30.2,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9DD,No,57.342430,-3.335791,319700,828780,NJ196287,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,259,,,Carrbridge,30.4,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9DJ,No,57.342799,-3.351756,318740,828840,NJ187288,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,295,,,Carrbridge,29.4,,Scottish Water,,Moray,Speyside Glenlivet,
AB3 9DL,No,57.335827,-3.331564,319940,828040,NJ199280,8/1/1973 12:00:00 AM,8/1/1990 12:00:00 AM,328,,,Carrbridge,30.5,,Scottish Water,,Moray,Speyside Glenlivet,
