Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CF44 9UR,No,51.735351,-3.606552,289157,205293,SN891052,6/1/1997 12:00:00 AM,6/1/2023 12:00:00 AM,245,,,Treherbert,8.5,,Dwr Cymru Welsh Water,,Neath Port Talbot,Blaengwrach and Glynneath West,
SA1 1AA,Yes,51.647984,-3.923586,267010,196107,SS670961,2/1/1990 12:00:00 AM,,16,,,Swansea,2.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Llansamlet,
SA1 1AG,No,51.647959,-3.924033,266979,196105,SS669961,2/1/1990 12:00:00 AM,8/1/2004 12:00:00 AM,15,,,Swansea,2.8,Swansea,,,Swansea,Llansamlet,
SA1 1AH,No,51.647959,-3.924033,266979,196105,SS669961,2/1/1990 12:00:00 AM,7/1/2011 12:00:00 AM,15,,,Swansea,2.8,Swansea,,,Swansea,Llansamlet,
SA1 1AW,No,51.647959,-3.924033,266979,196105,SS669961,1/1/1993 12:00:00 AM,9/1/2013 12:00:00 AM,15,,,Swansea,2.8,Swansea,,,Swansea,Llansamlet,
SA1 1BB,No,51.647959,-3.924033,266979,196105,SS669961,2/1/1990 12:00:00 AM,3/1/2003 12:00:00 AM,15,,,Swansea,2.8,Swansea,,,Swansea,Llansamlet,
SA1 1BL,No,51.647984,-3.923586,267010,196107,SS670961,9/1/1991 12:00:00 AM,4/1/2020 12:00:00 AM,16,,,Swansea,2.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Llansamlet,
SA1 1BP,Yes,51.647984,-3.923586,267010,196107,SS670961,2/1/1990 12:00:00 AM,,16,,,Swansea,2.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Llansamlet,
SA1 1DA,No,51.619257,-3.916737,267400,192900,SS673928,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,5,,,Swansea,1.8,Swansea,,,Swansea,Waterfront,
SA1 1DB,No,51.619943,-3.929767,266500,193000,SS665930,7/1/1986 12:00:00 AM,12/1/1992 12:00:00 AM,7,,,Swansea,1.0,Swansea,,,Swansea,Waterfront,
SA1 1EA,No,51.647959,-3.924033,266979,196105,SS669961,4/1/1985 12:00:00 AM,5/1/2011 12:00:00 AM,15,,,Swansea,2.8,Swansea,,,Swansea,Llansamlet,
SA1 1FN,No,51.647984,-3.923586,267010,196107,SS670961,4/1/2015 12:00:00 AM,4/1/2019 12:00:00 AM,15,,,Swansea,2.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Llansamlet,
SA1 1GH,No,51.647959,-3.924033,266979,196105,SS669961,5/1/2007 12:00:00 AM,5/1/2009 12:00:00 AM,15,,,Swansea,2.8,Swansea,,,Swansea,Llansamlet,
SA1 1GT,No,51.647959,-3.924033,266979,196105,SS669961,6/1/2006 12:00:00 AM,7/1/2006 12:00:00 AM,15,,,Swansea,2.8,Swansea,,,Swansea,Llansamlet,
SA1 1HQ,No,51.647959,-3.924033,266979,196105,SS669961,7/1/1983 12:00:00 AM,11/1/2014 12:00:00 AM,15,,,Swansea,2.8,Swansea,,,Swansea,Llansamlet,
SA1 1LY,Yes,51.612652,-3.922282,266997,192176,SS669921,10/1/2009 12:00:00 AM,,6,,,Swansea,1.9,Swansea,Dwr Cymru Welsh Water,,Swansea,Waterfront,
SA1 1PS,Yes,51.647984,-3.923586,267010,196107,SS670961,8/1/2007 12:00:00 AM,,15,,,Swansea,2.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Llansamlet,
SA1 1QN,No,51.617580,-3.924178,266880,192727,SS668927,8/1/1993 12:00:00 AM,10/1/2000 12:00:00 AM,6,,,Swansea,1.5,Swansea,Dwr Cymru Welsh Water,,Swansea,Waterfront,
SA1 1QR,Yes,51.613152,-3.924701,266831,192236,SS668922,10/1/1987 12:00:00 AM,,7,,,Swansea,1.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Waterfront,
SA1 1QT,No,51.647984,-3.923586,267010,196107,SS670961,1/1/1980 12:00:00 AM,2/1/2019 12:00:00 AM,16,,,Swansea,2.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Llansamlet,
SA1 1QY,No,51.647984,-3.923586,267010,196107,SS670961,1/1/1993 12:00:00 AM,2/1/2019 12:00:00 AM,15,,,Swansea,2.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Llansamlet,
SA1 1RJ,Yes,51.613717,-3.923408,266922,192296,SS669922,1/1/1980 12:00:00 AM,,7,,,Swansea,1.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Waterfront,
SA1 1RX,No,51.647959,-3.924033,266979,196105,SS669961,12/1/1999 12:00:00 AM,3/1/2004 12:00:00 AM,15,,,Swansea,2.8,Swansea,,,Swansea,Llansamlet,
SA1 1SF,No,51.612558,-3.926088,266733,192172,SS667921,6/1/1998 12:00:00 AM,8/1/2016 12:00:00 AM,5,,,Swansea,1.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Waterfront,
SA1 1SX,No,51.647959,-3.924033,266979,196105,SS669961,6/1/1999 12:00:00 AM,6/1/2004 12:00:00 AM,15,,,Swansea,2.8,Swansea,,,Swansea,Llansamlet,
SA1 1TA,Yes,51.647959,-3.924033,266979,196105,SS669961,7/1/1995 12:00:00 AM,,15,,,Swansea,2.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Llansamlet,
SA1 1TB,Yes,51.647959,-3.924033,266979,196105,SS669961,7/1/1995 12:00:00 AM,,15,,,Swansea,2.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Llansamlet,
SA1 1TE,Yes,51.647959,-3.924033,266979,196105,SS669961,7/1/1995 12:00:00 AM,,15,,,Swansea,2.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Llansamlet,
SA1 1TF,Yes,51.647959,-3.924033,266979,196105,SS669961,7/1/1995 12:00:00 AM,,15,,,Swansea,2.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Llansamlet,
SA1 1TG,Yes,51.647959,-3.924033,266979,196105,SS669961,7/1/1995 12:00:00 AM,,15,,,Swansea,2.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Llansamlet,
SA1 1TJ,No,51.647959,-3.924033,266979,196105,SS669961,7/1/1995 12:00:00 AM,9/1/2014 12:00:00 AM,15,,,Swansea,2.8,Swansea,,,Swansea,Llansamlet,
SA1 1TN,No,51.612743,-3.924089,266872,192189,SS668921,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,7,,,Swansea,1.8,Swansea,,,Swansea,Waterfront,
SA1 1TP,Yes,51.647959,-3.924033,266979,196105,SS669961,7/1/1995 12:00:00 AM,,15,,,Swansea,2.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Llansamlet,
SA1 1TR,Yes,51.647959,-3.924033,266979,196105,SS669961,7/1/1995 12:00:00 AM,,15,,,Swansea,2.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Llansamlet,
SA1 1WA,No,51.647959,-3.924033,266979,196105,SS669961,12/1/2001 12:00:00 AM,1/1/2006 12:00:00 AM,15,,,Swansea,2.8,Swansea,,,Swansea,Llansamlet,
SA1 1WB,No,51.647959,-3.924033,266979,196105,SS669961,2/1/2007 12:00:00 AM,1/1/2008 12:00:00 AM,15,,,Swansea,2.8,Swansea,,,Swansea,Llansamlet,
SA1 1WH,No,51.647959,-3.924033,266979,196105,SS669961,7/1/1990 12:00:00 AM,3/1/2004 12:00:00 AM,15,,,Swansea,2.8,Swansea,,,Swansea,Llansamlet,
SA1 1WL,No,51.647959,-3.924033,266979,196105,SS669961,6/1/2002 12:00:00 AM,6/1/2008 12:00:00 AM,15,,,Swansea,2.8,Swansea,,,Swansea,Llansamlet,
SA1 1WQ,No,51.632031,-3.929081,266583,194343,SS665943,3/1/2004 12:00:00 AM,7/1/2005 12:00:00 AM,99,,,Swansea,1.2,,,,Swansea,St Thomas,
SA1 1WR,No,51.647959,-3.924033,266979,196105,SS669961,12/1/2001 12:00:00 AM,3/1/2002 12:00:00 AM,15,,,Swansea,2.8,Swansea,,,Swansea,Llansamlet,
SA1 1WU,No,51.647959,-3.924033,266979,196105,SS669961,2/1/2003 12:00:00 AM,5/1/2011 12:00:00 AM,15,,,Swansea,2.8,Swansea,,,Swansea,Llansamlet,
