Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BH25 5TR,Yes,50.788814,-1.672673,423170,98856,SZ231988,1/1/1980 12:00:00 AM,,65,25,6,New Milton,3.8,,Bournemouth Water,,New Forest,Brockenhurst & Denny Lodge,Brockenhurst
BH25 5TS,Yes,50.789384,-1.673932,423080,98919,SZ230989,1/1/1980 12:00:00 AM,,66,6,3,New Milton,3.9,,Bournemouth Water,,New Forest,Brockenhurst & Denny Lodge,Brockenhurst
BH25 5TT,Yes,50.791589,-1.674384,423048,99164,SZ230991,1/1/1980 12:00:00 AM,,63,36,14,New Milton,4.1,,Bournemouth Water,Southern Water,New Forest,Brockenhurst & Denny Lodge,Brockenhurst
BH25 5TU,Yes,50.790053,-1.668621,423455,98995,SZ234989,1/1/1980 12:00:00 AM,,62,10,4,New Milton,3.9,,Bournemouth Water,,New Forest,Brockenhurst & Denny Lodge,Brockenhurst
BH25 5TX,Yes,50.790975,-1.666983,423570,99098,SZ235990,1/1/1980 12:00:00 AM,,61,32,13,New Milton,4.0,,Bournemouth Water,,New Forest,Brockenhurst & Denny Lodge,Brockenhurst
BH25 5TY,Yes,50.788648,-1.655423,424386,98843,SZ243988,1/1/1980 12:00:00 AM,,62,12,5,Sway,3.2,,Bournemouth Water,,New Forest,Brockenhurst & Denny Lodge,Brockenhurst
BH25 5TZ,Yes,50.802023,-1.644412,425155,100334,SU251003,1/1/1980 12:00:00 AM,,59,9,2,Sway,3.1,,Bournemouth Water,,New Forest,Brockenhurst & Denny Lodge,Brockenhurst
BH25 5WA,Yes,50.801568,-1.628210,426297,100289,SU262002,12/1/2000 12:00:00 AM,,59,2,1,Sway,2.3,,,,New Forest,Brockenhurst & Denny Lodge,Brockenhurst
BH25 5WH,Yes,50.790205,-1.662151,423910,99014,SZ239990,6/1/1999 12:00:00 AM,,65,5,1,Sway,3.7,,,,New Forest,Brockenhurst & Denny Lodge,Brockenhurst
BH25 5WX,No,50.790170,-1.662442,423890,99010,SZ238990,5/1/2004 12:00:00 AM,7/1/2005 12:00:00 AM,65,,,Sway,3.7,,,,New Forest,Brockenhurst & Denny Lodge,Brockenhurst
PO1 1HJ,No,50.803233,-1.365615,444800,100600,SU448006,7/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,20,,,Hamble,8.0,,,,New Forest,"Fawley, Blackfield, Calshot & Langley",South Waterside
SO4 0AA,No,50.786319,-1.609840,427600,98600,SZ276985,1/1/1980 12:00:00 AM,12/1/1985 12:00:00 AM,48,,,Sway,0.2,Sway,,,New Forest,Sway,Brockenhurst
SO4 0AB,No,50.785420,-1.609848,427600,98500,SZ275984,1/1/1980 12:00:00 AM,12/1/1985 12:00:00 AM,45,,,Sway,0.1,Sway,,,New Forest,Sway,Brockenhurst
SO4 0AD,No,50.785396,-1.602755,428100,98500,SZ281984,1/1/1980 12:00:00 AM,12/1/1985 12:00:00 AM,38,,,Sway,0.5,Sway,,,New Forest,Sway,Brockenhurst
