Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
NE1 1AA,No,54.967722,-1.615787,424696,563745,NZ246637,2/1/1990 12:00:00 AM,11/1/2002 12:00:00 AM,36,,,Newcastle,0.1,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1AB,No,54.967317,-1.615728,424700,563700,NZ247637,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,33,,,Newcastle,0.2,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1AD,Yes,54.967460,-1.615383,424722,563716,NZ247637,8/1/1992 12:00:00 AM,,34,,,Newcastle,0.2,Newcastle upon Tyne,Northumbrian Water,,Newcastle upon Tyne,Monument,
NE1 1AE,Yes,54.970543,-1.610883,425008,564061,NZ250640,10/1/2019 12:00:00 AM,,29,,,Manors,0.5,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1AH,No,54.964859,-1.619891,424435,563425,NZ244634,2/1/2006 12:00:00 AM,11/1/2009 12:00:00 AM,28,,,Newcastle,0.4,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1AN,No,54.970487,-1.612230,424922,564054,NZ249640,10/1/1987 12:00:00 AM,2/1/2003 12:00:00 AM,43,,,Newcastle,0.4,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1AP,No,54.969104,-1.612587,424900,563900,NZ248638,10/1/1987 12:00:00 AM,12/1/1995 12:00:00 AM,39,,,Newcastle,0.3,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1BA,No,54.972684,-1.607866,425200,564300,NZ251643,12/1/1998 12:00:00 AM,4/1/2004 12:00:00 AM,40,,,Manors,0.2,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1BB,Yes,54.972908,-1.607661,425213,564325,NZ252643,1/1/1980 12:00:00 AM,,40,,,Manors,0.2,Newcastle upon Tyne,Northumbrian Water,,Newcastle upon Tyne,Monument,
NE1 1DA,No,54.970911,-1.615694,424700,564100,NZ246640,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,46,,,Newcastle,0.3,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1DB,No,54.969998,-1.611016,425000,564000,NZ250640,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,39,,,Newcastle,0.4,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1DD,No,54.970429,-1.610965,425003,564048,NZ250640,1/1/1980 12:00:00 AM,5/1/2004 12:00:00 AM,40,,,Newcastle,0.5,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1DE,Yes,54.970927,-1.609927,425069,564104,NZ250641,1/1/1980 12:00:00 AM,,38,,,Manors,0.4,Newcastle upon Tyne,Northumbrian Water,,Newcastle upon Tyne,Monument,
NE1 1DF,Yes,54.970490,-1.611040,424998,564055,NZ249640,1/1/1980 12:00:00 AM,,40,6,4,Newcastle,0.5,Newcastle upon Tyne,Northumbrian Water,,Newcastle upon Tyne,Monument,
NE1 1DG,Yes,54.971018,-1.609647,425087,564114,NZ250641,12/1/1999 12:00:00 AM,,38,,,Manors,0.4,Newcastle upon Tyne,Northumbrian Water,,Newcastle upon Tyne,Monument,
NE1 1DH,No,54.970897,-1.611008,425000,564100,NZ249641,4/1/1985 12:00:00 AM,12/1/1990 12:00:00 AM,41,,,Manors,0.5,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1DL,No,54.970403,-1.611169,424990,564045,NZ249640,1/1/1980 12:00:00 AM,3/1/2004 12:00:00 AM,41,,,Newcastle,0.4,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1DN,No,54.970003,-1.612578,424900,564000,NZ249640,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,44,,,Newcastle,0.3,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1DQ,No,54.970991,-1.609632,425088,564111,NZ250641,6/1/1981 12:00:00 AM,6/1/2000 12:00:00 AM,38,,,Manors,0.4,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1DU,No,54.971800,-1.612561,424900,564200,NZ249641,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,45,,,Newcastle,0.5,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1DW,No,54.970901,-1.612570,424900,564100,NZ248640,2/1/1984 12:00:00 AM,12/1/1990 12:00:00 AM,44,,,Newcastle,0.4,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1DX,No,54.970003,-1.612578,424900,564000,NZ249640,1/1/1980 12:00:00 AM,12/1/1988 12:00:00 AM,44,,,Newcastle,0.3,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1ED,No,54.970446,-1.613433,424845,564049,NZ248640,6/1/1981 12:00:00 AM,11/1/2018 12:00:00 AM,45,,,Newcastle,0.3,Newcastle upon Tyne,Northumbrian Water,,Newcastle upon Tyne,Monument,
NE1 1EE,Yes,54.971016,-1.612535,424902,564113,NZ249641,1/1/1980 12:00:00 AM,,43,27,6,Newcastle,0.4,Newcastle upon Tyne,Northumbrian Water,,Newcastle upon Tyne,Monument,
NE1 1EF,No,54.970906,-1.614132,424800,564100,NZ247640,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,46,,,Newcastle,0.3,Newcastle upon Tyne,Northumbrian Water,,Newcastle upon Tyne,Monument,
NE1 1EG,No,54.971011,-1.613162,424862,564112,NZ248641,4/1/1986 12:00:00 AM,8/1/2020 12:00:00 AM,45,,,Newcastle,0.4,Newcastle upon Tyne,Northumbrian Water,,Newcastle upon Tyne,Monument,
NE1 1EH,Yes,54.970837,-1.612755,424888,564093,NZ248640,11/1/2004 12:00:00 AM,,45,,,Newcastle,0.4,Newcastle upon Tyne,Northumbrian Water,,Newcastle upon Tyne,Monument,
NE1 1EL,No,54.970906,-1.614132,424800,564100,NZ247640,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,46,,,Newcastle,0.3,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1EN,Yes,54.971502,-1.612905,424878,564167,NZ248641,1/1/1980 12:00:00 AM,,44,,,Newcastle,0.4,Newcastle upon Tyne,Northumbrian Water,,Newcastle upon Tyne,Monument,
NE1 1EP,No,54.970906,-1.614132,424800,564100,NZ247640,1/1/1980 12:00:00 AM,12/1/1988 12:00:00 AM,46,,,Newcastle,0.3,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1EQ,No,54.970881,-1.611758,424952,564098,NZ249640,1/1/1980 12:00:00 AM,11/1/2003 12:00:00 AM,42,,,Newcastle,0.4,Newcastle upon Tyne,Northumbrian Water,,Newcastle upon Tyne,Monument,
NE1 1ER,No,54.970901,-1.612570,424900,564100,NZ248640,1/1/1980 12:00:00 AM,12/1/1985 12:00:00 AM,44,,,Newcastle,0.4,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1ES,No,54.970906,-1.614132,424800,564100,NZ247640,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,46,,,Newcastle,0.3,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1ET,No,54.970906,-1.614132,424800,564100,NZ247640,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,46,,,Newcastle,0.3,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1EU,No,54.970901,-1.612570,424900,564100,NZ248640,3/1/1983 12:00:00 AM,1/1/1995 12:00:00 AM,44,,,Newcastle,0.4,Newcastle upon Tyne,,,Newcastle upon Tyne,Monument,
NE1 1EW,Yes,54.971810,-1.612827,424883,564201,NZ248642,1/1/1980 12:00:00 AM,,45,,,Newcastle,0.5,Newcastle upon Tyne,Northumbrian Water,,Newcastle upon Tyne,Monument,
