Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
NE1 1HJ,No,55.006768,-1.588772,426400,568100,NZ263680,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,64,,,Manors,3.9,Newcastle upon Tyne,,,Newcastle upon Tyne,Dene & South Gosforth,
NE1 1HP,No,55.006768,-1.588772,426400,568100,NZ263680,4/1/1985 12:00:00 AM,12/1/1999 12:00:00 AM,64,,,Manors,3.9,Newcastle upon Tyne,,,Newcastle upon Tyne,Dene & South Gosforth,
NE1 1HS,No,55.006768,-1.588772,426400,568100,NZ263680,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,64,,,Manors,3.9,Newcastle upon Tyne,,,Newcastle upon Tyne,Dene & South Gosforth,
NE1 1HT,No,55.006768,-1.588772,426400,568100,NZ263680,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,64,,,Manors,3.9,Newcastle upon Tyne,,,Newcastle upon Tyne,Dene & South Gosforth,
NE1 8PZ,No,54.981665,-1.606216,425300,565300,NZ253653,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,53,,,Manors,1.0,Newcastle upon Tyne,Northumbrian Water,,Newcastle upon Tyne,South Jesmond,
NE10 0QA,No,55.009366,-1.560600,428200,568400,NZ282684,7/1/1986 12:00:00 AM,12/1/1988 12:00:00 AM,55,,,Manors,4.9,,,,North Tyneside,Longbenton & Benton,
NE12 0AA,No,55.025552,-1.563552,428000,570200,NZ279702,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,60,,,Manors,6.4,Longbenton,,,North Tyneside,Forest Hall,
NE12 0AB,No,55.025557,-1.565116,427900,570200,NZ279701,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,60,,,Manors,6.4,Longbenton,,,North Tyneside,Forest Hall,
NE12 0AD,No,55.026461,-1.566671,427800,570300,NZ277702,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,61,,,Manors,6.4,Longbenton,,,North Tyneside,Forest Hall,
NE12 0AE,No,55.026461,-1.566671,427800,570300,NZ277702,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,61,,,Manors,6.4,Longbenton,,,North Tyneside,Forest Hall,
NE12 0AH,No,55.025557,-1.565116,427900,570200,NZ279701,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,60,,,Manors,6.4,Longbenton,,,North Tyneside,Forest Hall,
NE12 0AJ,No,55.026456,-1.565106,427900,570300,NZ279703,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,60,,,Manors,6.5,Longbenton,,,North Tyneside,Forest Hall,
NE12 0AP,No,55.026456,-1.565106,427900,570300,NZ279703,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,60,,,Manors,6.5,Longbenton,,,North Tyneside,Forest Hall,
NE12 0AQ,No,55.026461,-1.566671,427800,570300,NZ277702,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,61,,,Manors,6.4,Longbenton,,,North Tyneside,Forest Hall,
NE12 0AR,No,55.021075,-1.568293,427700,569700,NZ276696,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,57,,,Manors,5.8,Longbenton,,,North Tyneside,Forest Hall,
NE12 0AS,No,55.021064,-1.565165,427900,569700,NZ278696,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,59,,,Manors,5.9,Longbenton,,,North Tyneside,Forest Hall,
NE12 0AT,No,55.021963,-1.565155,427900,569800,NZ279698,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,60,,,Manors,6.0,Longbenton,,,North Tyneside,Forest Hall,
NE12 0AU,No,55.021952,-1.562027,428100,569800,NZ280698,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,63,,,Manors,6.1,Longbenton,,,North Tyneside,Forest Hall,
NE12 0AX,No,55.021952,-1.562027,428100,569800,NZ280698,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,63,,,Manors,6.1,Longbenton,,,North Tyneside,Forest Hall,
NE12 0AY,No,55.023749,-1.562007,428100,570000,NZ281700,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,62,,,Manors,6.3,Longbenton,,,North Tyneside,Forest Hall,
NE12 0BA,No,55.023749,-1.562007,428100,570000,NZ281700,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,62,,,Manors,6.3,Longbenton,,,North Tyneside,Forest Hall,
NE12 0BB,No,55.025552,-1.563552,428000,570200,NZ279702,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,60,,,Manors,6.4,Longbenton,,,North Tyneside,Forest Hall,
NE12 0DP,No,55.028329,-1.586987,426500,570500,NZ264704,4/1/1987 12:00:00 AM,6/1/1999 12:00:00 AM,57,,,Manors,6.3,Longbenton,,,North Tyneside,Camperdown,
NE12 0DQ,No,55.027377,-1.571354,427500,570400,NZ274704,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,60,,,Manors,6.4,Longbenton,,,North Tyneside,Forest Hall,
NE12 0DR,No,55.028324,-1.585423,426600,570500,NZ265705,1/1/1993 12:00:00 AM,5/1/1994 12:00:00 AM,56,,,Manors,6.3,Longbenton,,,North Tyneside,Camperdown,
NE12 0DS,No,55.028319,-1.583858,426700,570500,NZ267705,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,55,,,Manors,6.3,Longbenton,,,North Tyneside,Camperdown,
NE12 0EA,No,55.028313,-1.582294,426800,570500,NZ268704,6/1/1997 12:00:00 AM,6/1/1999 12:00:00 AM,55,,,Manors,6.3,Longbenton,,,North Tyneside,Camperdown,
NE12 0EB,No,55.028313,-1.582294,426800,570500,NZ268704,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,55,,,Manors,6.3,Longbenton,,,North Tyneside,Camperdown,
NE12 0ED,No,55.029212,-1.582285,426800,570600,NZ267706,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,57,,,Manors,6.4,Longbenton,,,North Tyneside,Camperdown,
NE12 0EE,No,55.029212,-1.582285,426800,570600,NZ267706,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,57,,,Manors,6.4,Longbenton,,,North Tyneside,Camperdown,
NE12 0EF,No,55.030116,-1.583840,426700,570700,NZ266707,7/1/1995 12:00:00 AM,6/1/1999 12:00:00 AM,60,,,Cramlington,6.5,Longbenton,,,North Tyneside,Camperdown,
NE12 0EG,No,55.031014,-1.583830,426700,570800,NZ267707,6/1/1981 12:00:00 AM,6/1/1999 12:00:00 AM,62,,,Cramlington,6.4,Longbenton,,,North Tyneside,Camperdown,
NE12 0EJ,No,55.029223,-1.585413,426600,570600,NZ266706,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,58,,,Manors,6.4,Longbenton,,,North Tyneside,Camperdown,
NE12 0EL,No,55.028319,-1.583858,426700,570500,NZ267705,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,55,,,Manors,6.3,Longbenton,,,North Tyneside,Camperdown,
NE12 0EN,No,55.028313,-1.582294,426800,570500,NZ268704,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,55,,,Manors,6.3,Longbenton,,,North Tyneside,Camperdown,
NE12 0EP,No,55.029876,-1.592759,426130,570670,NZ261706,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,63,,,Manors,6.4,,,,Newcastle upon Tyne,Parklands,
NE12 0ER,No,55.031009,-1.582266,426800,570800,NZ268707,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,61,,,Cramlington,6.4,Longbenton,,,North Tyneside,Camperdown,
NE12 0ES,No,55.031009,-1.582266,426800,570800,NZ268707,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,61,,,Cramlington,6.4,Longbenton,,,North Tyneside,Camperdown,
NE12 0ET,No,55.031020,-1.585395,426600,570800,NZ265708,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,61,,,Cramlington,6.4,Longbenton,,,North Tyneside,Camperdown,
