Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BT34 1AD,No,54.174949,-6.337542,117044,484157,SB170841,12/1/1984 12:00:00 AM,6/1/2008 12:00:00 AM,7,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Abbey,
BT34 1AE,Yes,54.174861,-6.337684,117034,484148,SB170841,12/1/1984 12:00:00 AM,,7,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Abbey,
BT34 1AF,Yes,54.175549,-6.337426,117056,484224,SB170842,12/1/1984 12:00:00 AM,,7,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Abbey,
BT34 1AG,Yes,54.173684,-6.339017,116939,484023,SB169840,12/1/1984 12:00:00 AM,,5,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Abbey,
BT34 1AH,No,54.174034,-6.339601,116904,484064,SB169840,12/1/1984 12:00:00 AM,10/1/2007 12:00:00 AM,4,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Abbey,
BT34 1AJ,Yes,54.173573,-6.340033,116872,484015,SB168840,12/1/1984 12:00:00 AM,,4,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Abbey,
BT34 1AN,Yes,54.174452,-6.339293,116926,484109,SB169841,12/1/1984 12:00:00 AM,,5,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Abbey,
BT34 1AP,Yes,54.174279,-6.339131,116936,484089,SB169840,12/1/1984 12:00:00 AM,,6,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Abbey,
BT34 1AQ,Yes,54.173516,-6.339147,116930,484005,SB169840,12/1/1984 12:00:00 AM,,5,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Abbey,
BT34 1AR,Yes,54.174442,-6.338558,116974,484105,SB169841,12/1/1984 12:00:00 AM,,7,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Abbey,
BT34 1AS,Yes,54.193989,-6.333744,117422,486259,SB174862,6/1/1998 12:00:00 AM,,28,45,23,,,,Northern Ireland Water,,"Newry, Mourne and Down",Damolly,
BT34 1AT,Yes,54.174585,-6.338506,116979,484121,SB169841,12/1/1984 12:00:00 AM,,7,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Abbey,
BT34 1AW,No,54.173984,-6.339878,116885,484060,SB168840,12/1/1984 12:00:00 AM,5/1/2016 12:00:00 AM,4,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Abbey,
BT34 1AX,No,54.175319,-6.338339,116995,484202,SB169842,12/1/1984 12:00:00 AM,5/1/1994 12:00:00 AM,7,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Abbey,
BT34 1AY,Yes,54.175319,-6.338339,116995,484202,SB169842,12/1/1984 12:00:00 AM,,7,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Abbey,
