Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DH1 1YH,No,54.709035,-1.512634,431500,535000,NZ315349,7/1/1986 12:00:00 AM,12/1/1990 12:00:00 AM,92,,,Durham,9.0,Coxhoe,,,County Durham,Coxhoe,
DH1 1YJ,No,54.737935,-1.549563,429100,538200,NZ290381,7/1/1986 12:00:00 AM,12/1/1990 12:00:00 AM,91,,,Durham,5.0,,,,County Durham,Coxhoe,
DH1 1YQ,No,54.709035,-1.512634,431500,535000,NZ315349,7/1/1986 12:00:00 AM,7/1/1995 12:00:00 AM,92,,,Durham,9.0,Coxhoe,,,County Durham,Coxhoe,
DH6 4AA,Yes,54.715023,-1.502302,432161,535671,NZ321356,1/1/1980 12:00:00 AM,,112,7,3,Durham,8.8,Coxhoe,Northumbrian Water,,County Durham,Coxhoe,
DH6 4AB,No,54.715297,-1.501181,432233,535702,NZ322357,3/1/2007 12:00:00 AM,2/1/2020 12:00:00 AM,114,,,Durham,8.8,Coxhoe,Northumbrian Water,,County Durham,Coxhoe,
DH6 4AD,Yes,54.715553,-1.500061,432305,535731,NZ323357,1/1/1980 12:00:00 AM,,118,64,30,Durham,8.8,Coxhoe,Northumbrian Water,,County Durham,Coxhoe,
DH6 4AE,Yes,54.715429,-1.500404,432283,535717,NZ322357,1/1/1980 12:00:00 AM,,117,15,6,Durham,8.8,Coxhoe,Northumbrian Water,,County Durham,Coxhoe,
DH6 4AF,Yes,54.716472,-1.495994,432566,535835,NZ325358,1/1/1980 12:00:00 AM,,132,4,2,Durham,8.9,Coxhoe,Northumbrian Water,,County Durham,Coxhoe,
DH6 4AG,Yes,54.715752,-1.498195,432425,535754,NZ324357,1/1/1980 12:00:00 AM,,125,38,13,Durham,8.9,Coxhoe,Northumbrian Water,,County Durham,Coxhoe,
DH6 4AH,Yes,54.714901,-1.501046,432242,535658,NZ322356,1/1/1980 12:00:00 AM,,116,14,4,Durham,8.8,Coxhoe,Northumbrian Water,,County Durham,Coxhoe,
DH6 4AJ,Yes,54.714033,-1.501973,432183,535561,NZ321355,1/1/1980 12:00:00 AM,,115,40,22,Durham,8.9,Coxhoe,Northumbrian Water,,County Durham,Coxhoe,
DH6 4AL,Yes,54.713987,-1.501442,432217,535556,NZ322355,1/1/1980 12:00:00 AM,,116,46,14,Durham,8.9,Coxhoe,Northumbrian Water,,County Durham,Coxhoe,
DH6 4AN,Yes,54.712644,-1.500624,432271,535407,NZ322354,1/1/1980 12:00:00 AM,,114,37,18,Durham,9.1,Coxhoe,Northumbrian Water,,County Durham,Coxhoe,
DH6 4AP,Yes,54.712589,-1.498157,432430,535402,NZ324354,1/1/1980 12:00:00 AM,,115,166,67,Durham,9.2,Coxhoe,Northumbrian Water,,County Durham,Coxhoe,
DH6 4AQ,Yes,54.715273,-1.499707,432328,535700,NZ323356,1/1/1980 12:00:00 AM,,120,34,13,Durham,8.9,Coxhoe,Northumbrian Water,,County Durham,Coxhoe,
DH6 4AR,Yes,54.713201,-1.498335,432418,535470,NZ324354,1/1/1980 12:00:00 AM,,119,80,32,Durham,9.1,Coxhoe,Northumbrian Water,,County Durham,Coxhoe,
