Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
G78 4BH,Yes,55.759101,-4.541603,240614,654675,NS406546,1/1/1980 12:00:00 AM,,170,2,1,Dunlop,5.3,,Scottish Water,,North Ayrshire,Garnock Valley,
G78 4BQ,Yes,55.758392,-4.548092,240204,654611,NS402546,1/1/1980 12:00:00 AM,,161,4,1,Dunlop,5.3,,Scottish Water,,North Ayrshire,Garnock Valley,
KA12 8XX,No,55.609049,-4.694379,230381,638344,NS303383,6/1/2000 12:00:00 AM,3/1/2004 12:00:00 AM,4,,,Irvine,1.2,,Scottish Water,,North Ayrshire,Saltcoats and Stevenston,
KA13 6AA,Yes,55.653943,-4.699514,230252,643351,NS302433,1/1/1980 12:00:00 AM,,19,11,9,Kilwinning,0.7,Kilwinning,Scottish Water,,North Ayrshire,Kilwinning,
KA13 6AB,No,55.653840,-4.699698,230240,643340,NS302433,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,19,,,Kilwinning,0.7,Kilwinning,Scottish Water,,North Ayrshire,Kilwinning,
KA13 6AD,Yes,55.654207,-4.699373,230262,643380,NS302433,1/1/1980 12:00:00 AM,,19,3,1,Kilwinning,0.7,Kilwinning,Scottish Water,,North Ayrshire,Kilwinning,
KA13 6AE,No,55.654392,-4.699927,230228,643402,NS302434,1/1/1980 12:00:00 AM,2/1/2016 12:00:00 AM,19,0,0,Kilwinning,0.7,Kilwinning,Scottish Water,,North Ayrshire,Kilwinning,
KA13 6AF,No,55.654077,-4.698331,230327,643363,NS303433,1/1/1980 12:00:00 AM,2/1/2003 12:00:00 AM,20,,,Kilwinning,0.8,Kilwinning,Scottish Water,,North Ayrshire,Kilwinning,
KA13 6AG,Yes,55.654021,-4.698307,230328,643357,NS303433,1/1/1980 12:00:00 AM,,21,0,0,Kilwinning,0.8,Kilwinning,Scottish Water,,North Ayrshire,Kilwinning,
KA13 6AH,No,55.654111,-4.695583,230500,643360,NS304433,8/1/1973 12:00:00 AM,7/1/1991 12:00:00 AM,17,,,Kilwinning,0.9,Kilwinning,Scottish Water,,North Ayrshire,Kilwinning,
