Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
MK40 1YR,No,52.163833,-0.423921,507900,252900,TL078528,9/1/1991 12:00:00 AM,12/1/1996 12:00:00 AM,36,,,Bedford St Johns,4.8,Salph End,,,Bedford,Renhold & Ravensden,
MK40 1YZ,No,52.163833,-0.423921,507900,252900,TL078528,8/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,36,,,Bedford St Johns,4.8,Salph End,,,Bedford,Renhold & Ravensden,
MK40 1ZH,No,52.163833,-0.423921,507900,252900,TL078528,9/1/1998 12:00:00 AM,9/1/2000 12:00:00 AM,36,,,Bedford St Johns,4.8,Salph End,,,Bedford,Renhold & Ravensden,
MK40 1ZN,No,52.163833,-0.423921,507900,252900,TL078528,6/1/1998 12:00:00 AM,6/1/1999 12:00:00 AM,36,,,Bedford St Johns,4.8,Salph End,,,Bedford,Renhold & Ravensden,
MK40 1ZP,No,52.163833,-0.423921,507900,252900,TL078528,6/1/1998 12:00:00 AM,6/1/1999 12:00:00 AM,36,,,Bedford St Johns,4.8,Salph End,,,Bedford,Renhold & Ravensden,
MK40 1ZY,No,52.163833,-0.423921,507900,252900,TL078528,12/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,36,,,Bedford St Johns,4.8,Salph End,,,Bedford,Renhold & Ravensden,
MK40 4AA,Yes,52.141507,-0.495914,503027,250312,TL030503,1/1/1980 12:00:00 AM,,37,56,19,Bedford,1.3,Bedford,Anglian Water,,Bedford,Biddenham,
MK40 4AB,Yes,52.142374,-0.500714,502697,250402,TL026504,1/1/1980 12:00:00 AM,,44,24,10,Bedford,1.6,Bedford,Anglian Water,,Bedford,Biddenham,
MK40 4AD,Yes,52.139458,-0.505131,502401,250071,TL024500,1/1/1980 12:00:00 AM,,41,53,22,Bedford,1.8,Bedford,Anglian Water,,Bedford,Biddenham,
MK40 4AE,Yes,52.140828,-0.501900,502619,250228,TL026502,1/1/1980 12:00:00 AM,,43,88,39,Bedford,1.6,Bedford,Anglian Water,,Bedford,Biddenham,
MK40 4AF,Yes,52.143199,-0.502361,502582,250491,TL025504,1/1/1980 12:00:00 AM,,46,136,42,Bedford,1.7,Bedford,Anglian Water,,Bedford,Biddenham,
