Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
EX22 6FF,Yes,50.754688,-4.457055,226784,97889,SX267978,1/1/2017 12:00:00 AM,,137,,,Gunnislake,31.4,,South West Water,,Cornwall,Poundstock,
EX22 6LB,Yes,50.729890,-4.484081,224785,95196,SX247951,1/1/1980 12:00:00 AM,,130,37,12,Gunnislake,30.2,,South West Water,,Cornwall,Poundstock,
EX22 6LD,Yes,50.740479,-4.463738,226260,96325,SX262963,1/1/1980 12:00:00 AM,,146,30,13,Gunnislake,30.3,,South West Water,,Cornwall,Poundstock,
EX22 6LE,Yes,50.757428,-4.444380,227688,98164,SX276981,1/1/1980 12:00:00 AM,,129,25,10,Gunnislake,31.2,,South West Water,,Cornwall,Poundstock,
EX22 6RJ,Yes,50.756389,-4.388045,231657,97919,SX316979,1/1/1980 12:00:00 AM,,112,22,11,Okehampton,27.7,,South West Water,,Cornwall,Poundstock,
EX22 6RL,Yes,50.748493,-4.414607,229755,97102,SX297971,1/1/1980 12:00:00 AM,,151,44,19,Gunnislake,29.3,,South West Water,,Cornwall,Poundstock,
EX22 6RN,No,50.753879,-4.414246,229800,97700,SX298976,3/1/1983 12:00:00 AM,12/1/1990 12:00:00 AM,126,,,Okehampton,29.5,,,,Cornwall,Poundstock,
EX22 6RX,Yes,50.750926,-4.391852,231369,97320,SX313973,1/1/1980 12:00:00 AM,,111,24,11,Okehampton,27.9,,South West Water,,Cornwall,Poundstock,
EX22 6RY,Yes,50.750023,-4.395419,231114,97228,SX311972,1/1/1980 12:00:00 AM,,128,37,19,Okehampton,28.1,,South West Water,,Cornwall,Poundstock,
EX22 6RZ,Yes,50.749582,-4.397169,230989,97183,SX309971,1/1/1980 12:00:00 AM,,134,18,6,Okehampton,28.3,,South West Water,,Cornwall,Poundstock,
EX22 6SA,Yes,50.747729,-4.391179,231405,96963,SX314969,1/1/1980 12:00:00 AM,,116,3,2,Okehampton,27.8,,South West Water,,Cornwall,Poundstock,
EX22 6SB,Yes,50.736206,-4.392418,231276,95685,SX312956,1/1/1980 12:00:00 AM,,125,27,11,Gunnislake,27.3,,South West Water,,Cornwall,Poundstock,
EX22 6SD,Yes,50.731037,-4.408862,230097,95148,SX300951,1/1/1980 12:00:00 AM,,146,4,1,Gunnislake,27.4,,South West Water,,Cornwall,Poundstock,
EX22 6SE,Yes,50.738547,-4.409319,230092,95984,SX300959,1/1/1980 12:00:00 AM,,137,15,6,Gunnislake,28.1,,South West Water,,Cornwall,Poundstock,
EX22 6SF,Yes,50.768549,-4.393756,231298,99284,SX312992,1/1/1980 12:00:00 AM,,128,14,8,Okehampton,28.2,,South West Water,,Cornwall,Poundstock,
EX22 6SG,Yes,50.773806,-4.399216,230932,99881,SX309998,1/1/1980 12:00:00 AM,,122,9,3,Okehampton,28.7,,South West Water,,Cornwall,Poundstock,
EX22 6SQ,Yes,50.774463,-4.401803,230752,99960,SX307999,1/1/1980 12:00:00 AM,,125,4,2,Okehampton,28.9,,South West Water,,Cornwall,Poundstock,
EX22 6TA,Yes,50.754466,-4.458457,226684,97868,SX266978,1/1/1980 12:00:00 AM,,141,47,11,Gunnislake,31.4,,South West Water,,Cornwall,Poundstock,
EX22 6TB,Yes,50.752927,-4.461085,226493,97703,SX264977,1/1/1980 12:00:00 AM,,144,20,7,Gunnislake,31.3,,South West Water,,Cornwall,Poundstock,
EX22 6TD,Yes,50.748039,-4.454449,226943,97144,SX269971,1/1/1980 12:00:00 AM,,146,32,14,Gunnislake,30.6,,South West Water,,Cornwall,Poundstock,
EX22 6TE,Yes,50.741572,-4.437019,228149,96384,SX281963,1/1/1980 12:00:00 AM,,161,10,4,Gunnislake,29.4,,South West Water,,Cornwall,Poundstock,
EX22 6TF,No,50.755447,-4.468207,226000,98000,SX260979,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,111,,,Gunnislake,31.9,,,,Cornwall,Poundstock,
EX22 6TG,Yes,50.755969,-4.458848,226662,98036,SX266980,7/1/1986 12:00:00 AM,,143,54,21,Gunnislake,31.5,,South West Water,,Cornwall,Poundstock,
EX22 6TH,Yes,50.760022,-4.461556,226486,98493,SX264984,1/1/1980 12:00:00 AM,,144,30,14,Gunnislake,32.0,,South West Water,,Cornwall,Poundstock,
EX22 6TJ,Yes,50.762269,-4.466471,226148,98754,SX261987,1/1/1980 12:00:00 AM,,163,38,16,Gunnislake,32.4,,South West Water,,Cornwall,Poundstock,
EX22 6TL,Yes,50.764336,-4.476163,225472,99007,SX254990,1/1/1980 12:00:00 AM,,101,2,1,Gunnislake,33.0,,South West Water,,Cornwall,Poundstock,
EX22 6TN,Yes,50.765272,-4.469891,225918,99096,SX259990,1/1/1980 12:00:00 AM,,102,22,10,Gunnislake,32.8,,South West Water,,Cornwall,Poundstock,
EX22 6TP,Yes,50.770654,-4.472713,225739,99701,SX257997,1/1/1980 12:00:00 AM,,96,16,7,Gunnislake,33.4,,South West Water,,Cornwall,Poundstock,
EX22 6TQ,Yes,50.757919,-4.457206,226785,98249,SX267982,1/1/1980 12:00:00 AM,,137,102,46,Gunnislake,31.7,,South West Water,,Cornwall,Poundstock,
EX22 6TR,Yes,50.777519,-4.472462,225782,100464,SS257004,1/1/1980 12:00:00 AM,,105,4,1,Okehampton,33.9,,South West Water,,Cornwall,Poundstock,
EX22 6TS,Yes,50.776219,-4.451399,227262,100270,SS272002,1/1/1980 12:00:00 AM,,112,6,3,Okehampton,32.4,,South West Water,,Cornwall,Poundstock,
EX22 6TU,Yes,50.754477,-4.457242,226770,97866,SX267978,1/1/1980 12:00:00 AM,,139,,,Gunnislake,31.3,,South West Water,,Cornwall,Poundstock,
EX22 6TW,Yes,50.764641,-4.484352,224896,99060,SX248990,1/1/1980 12:00:00 AM,,81,,,Gunnislake,33.3,,South West Water,,Cornwall,Poundstock,
EX22 6TX,Yes,50.755152,-4.456795,226804,97940,SX268979,1/1/1980 12:00:00 AM,,139,19,9,Gunnislake,31.4,,South West Water,,Cornwall,Poundstock,
EX22 6TY,Yes,50.755492,-4.457575,226750,97980,SX267979,1/1/1980 12:00:00 AM,,140,13,4,Gunnislake,31.5,,South West Water,,Cornwall,Poundstock,
EX22 6TZ,Yes,50.756762,-4.458085,226719,98122,SX267981,1/1/1980 12:00:00 AM,,141,23,9,Gunnislake,31.6,,South West Water,,Cornwall,Poundstock,
EX22 6UA,Yes,50.760558,-4.459627,226624,98548,SX266985,1/1/1980 12:00:00 AM,,146,39,4,Gunnislake,32.0,,South West Water,,Cornwall,Poundstock,
EX22 6UB,Yes,50.761978,-4.458823,226686,98704,SX266987,1/1/1980 12:00:00 AM,,145,2,1,Gunnislake,32.1,,South West Water,,Cornwall,Poundstock,
EX22 6UD,Yes,50.764165,-4.460455,226579,98951,SX265989,1/1/1980 12:00:00 AM,,147,17,4,Gunnislake,32.4,,South West Water,,Cornwall,Poundstock,
EX22 6UE,Yes,50.767938,-4.449151,227390,99344,SX273993,1/1/1980 12:00:00 AM,,121,18,5,Okehampton,32.1,,South West Water,,Cornwall,Poundstock,
EX22 6UF,Yes,50.770836,-4.462691,226446,99698,SX264996,1/1/1980 12:00:00 AM,,156,29,10,Okehampton,33.1,,South West Water,,Cornwall,Poundstock,
EX22 6UG,Yes,50.773334,-4.456982,226858,99962,SX268999,1/1/1980 12:00:00 AM,,122,8,3,Okehampton,32.7,,South West Water,,Cornwall,Poundstock,
EX22 6UH,Yes,50.750961,-4.500594,223699,97578,SX236975,1/1/1980 12:00:00 AM,,143,25,10,Gunnislake,32.8,Week St Mary,South West Water,,Cornwall,Poundstock,
EX22 6UJ,Yes,50.750343,-4.500476,223705,97509,SX237975,1/1/1980 12:00:00 AM,,144,3,2,Gunnislake,32.7,Week St Mary,South West Water,,Cornwall,Poundstock,
EX22 6UL,Yes,50.749419,-4.500809,223678,97407,SX236974,1/1/1980 12:00:00 AM,,150,30,12,Gunnislake,32.6,Week St Mary,South West Water,,Cornwall,Poundstock,
EX22 6UN,Yes,50.746558,-4.500548,223686,97088,SX236970,1/1/1980 12:00:00 AM,,163,59,15,Gunnislake,32.4,Week St Mary,South West Water,,Cornwall,Poundstock,
EX22 6UP,Yes,50.746112,-4.499135,223784,97035,SX237970,1/1/1980 12:00:00 AM,,163,27,15,Gunnislake,32.3,Week St Mary,South West Water,,Cornwall,Poundstock,
EX22 6UR,Yes,50.747168,-4.499640,223752,97154,SX237971,1/1/1980 12:00:00 AM,,161,22,8,Gunnislake,32.4,Week St Mary,South West Water,,Cornwall,Poundstock,
EX22 6UT,Yes,50.744082,-4.495199,224054,96800,SX240968,1/1/1980 12:00:00 AM,,163,3,1,Gunnislake,31.9,,South West Water,,Cornwall,Poundstock,
