Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
GL10 3BS,Yes,51.759800,-2.285148,380416,206829,SO804068,1/1/1980 12:00:00 AM,,40,9,5,Stonehouse,1.6,,Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3BT,Yes,51.756246,-2.280704,380721,206433,SO807064,1/1/1980 12:00:00 AM,,48,5,3,Stonehouse,1.2,Stonehouse (Stroud),Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3BU,Yes,51.756617,-2.279736,380788,206474,SO807064,1/1/1980 12:00:00 AM,,48,3,2,Stonehouse,1.2,Stonehouse (Stroud),Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3BX,Yes,51.756867,-2.272899,381260,206500,SO812064,1/1/1980 12:00:00 AM,,63,8,2,Stonehouse,1.3,,Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3BZ,Yes,51.755732,-2.269806,381473,206373,SO814063,1/1/1980 12:00:00 AM,,76,32,4,Stonehouse,1.3,,Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3DA,Yes,51.760530,-2.265172,381795,206905,SO817069,1/1/1980 12:00:00 AM,,107,3,2,Stonehouse,1.9,Stroud,Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3DB,No,51.759295,-2.266585,381697,206768,SO816067,1/1/1980 12:00:00 AM,12/1/2008 12:00:00 AM,97,,,Stonehouse,1.7,Stroud,Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3DD,Yes,51.761663,-2.264904,381814,207031,SO818070,1/1/1980 12:00:00 AM,,109,3,1,Stonehouse,2.0,Stroud,Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3DE,Yes,51.766182,-2.270306,381443,207535,SO814075,1/1/1980 12:00:00 AM,,66,11,7,Stonehouse,2.3,,Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3DF,Yes,51.769105,-2.266136,381732,207859,SO817078,1/1/1980 12:00:00 AM,,68,8,4,Stonehouse,2.7,,Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3DG,Yes,51.767336,-2.261271,382067,207661,SO820076,1/1/1980 12:00:00 AM,,89,15,6,Stonehouse,2.7,,Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3DH,Yes,51.767950,-2.271925,381332,207732,SO813077,1/1/1980 12:00:00 AM,,68,8,3,Stonehouse,2.5,,Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3DJ,Yes,51.767751,-2.278471,380880,207712,SO808077,1/1/1980 12:00:00 AM,,58,5,3,Stonehouse,2.4,,Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3DL,Yes,51.765946,-2.279231,380827,207511,SO808075,1/1/1980 12:00:00 AM,,58,8,3,Stonehouse,2.2,,Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3DN,Yes,51.772772,-2.289636,380112,208273,SO801082,1/1/1980 12:00:00 AM,,39,19,6,Stonehouse,3.1,,Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3DP,Yes,51.791919,-2.287410,380274,210402,SO802104,1/1/1980 12:00:00 AM,,23,6,2,Stonehouse,5.1,,Severn Trent,,Stroud,Hardwicke,Hardwicke and Severn
GL10 3DQ,Yes,51.770833,-2.273349,381235,208053,SO812080,1/1/1980 12:00:00 AM,,54,9,5,Stonehouse,2.8,,Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3DR,Yes,51.780986,-2.287572,380258,209186,SO802091,1/1/1980 12:00:00 AM,,32,24,11,Stonehouse,3.9,,Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3DS,Yes,51.779362,-2.278386,380891,209003,SO808090,1/1/1980 12:00:00 AM,,47,19,7,Stonehouse,3.7,,Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3DT,Yes,51.786542,-2.276300,381038,209801,SO810098,1/1/1980 12:00:00 AM,,38,3,1,Stonehouse,4.5,,Severn Trent,,Stroud,Hardwicke,Hardwicke and Severn
GL10 3DU,Yes,51.788000,-2.275932,381064,209963,SO810099,1/1/1980 12:00:00 AM,,41,37,21,Stonehouse,4.7,,Severn Trent,,Stroud,Hardwicke,Hardwicke and Severn
GL10 3DW,Yes,51.773659,-2.290888,380026,208372,SO800083,1/1/1980 12:00:00 AM,,35,29,9,Stonehouse,3.2,,Severn Trent,,Stroud,Hardwicke,Stonehouse
GL10 3DX,Yes,51.787765,-2.272625,381292,209936,SO812099,1/1/1980 12:00:00 AM,,45,10,4,Stonehouse,4.7,,Severn Trent,,Stroud,Hardwicke,Hardwicke and Severn
GL10 3DY,Yes,51.788241,-2.272598,381294,209989,SO812099,1/1/1980 12:00:00 AM,,44,2,1,Stonehouse,4.7,,Severn Trent,,Stroud,Hardwicke,Hardwicke and Severn
GL10 3DZ,Yes,51.788162,-2.271989,381336,209980,SO813099,1/1/1980 12:00:00 AM,,45,20,7,Stonehouse,4.7,,Severn Trent,,Stroud,Hardwicke,Hardwicke and Severn
GL10 3EA,Yes,51.788063,-2.271670,381358,209969,SO813099,1/1/1980 12:00:00 AM,,46,15,5,Stonehouse,4.7,,Severn Trent,,Stroud,Hardwicke,Hardwicke and Severn
GL10 3EB,Yes,51.788999,-2.271356,381380,210073,SO813100,1/1/1980 12:00:00 AM,,45,18,7,Stonehouse,4.8,,Severn Trent,,Stroud,Hardwicke,Hardwicke and Severn
GL10 3ED,Yes,51.789405,-2.270822,381417,210118,SO814101,1/1/1980 12:00:00 AM,,46,5,3,Stonehouse,4.9,,Severn Trent,,Stroud,Hardwicke,Hardwicke and Severn
GL10 3EE,Yes,51.790143,-2.270609,381432,210200,SO814102,1/1/1980 12:00:00 AM,,45,23,10,Stonehouse,5.0,,Severn Trent,,Stroud,Hardwicke,Hardwicke and Severn
GL10 3EF,Yes,51.790875,-2.268961,381546,210281,SO815102,1/1/1980 12:00:00 AM,,46,31,12,Stonehouse,5.1,,Severn Trent,,Stroud,Hardwicke,Hardwicke and Severn
GL10 3EG,Yes,51.791419,-2.269671,381497,210342,SO814103,1/1/1980 12:00:00 AM,,47,26,9,Stonehouse,5.1,,Severn Trent,,Stroud,Hardwicke,Hardwicke and Severn
GL10 3EH,Yes,51.800566,-2.277255,380978,211361,SO809113,1/1/1980 12:00:00 AM,,26,4,3,Stonehouse,6.1,Haresfield,Severn Trent,,Stroud,Hardwicke,Hardwicke and Severn
