Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BA8 0SB,Yes,50.969693,-2.387204,372908,118991,ST729189,1/1/1980 12:00:00 AM,,75,6,2,Templecombe,4.1,,,,Dorset,Stalbridge & Marnhull,
BA8 0SD,Yes,50.972346,-2.381586,373304,119284,ST733192,1/1/1980 12:00:00 AM,,61,18,6,Templecombe,4.1,,Wessex Water,,Dorset,Stalbridge & Marnhull,
BA8 0TE,Yes,50.991663,-2.362264,374671,121425,ST746214,1/1/1980 12:00:00 AM,,55,,,Templecombe,4.0,,,,Dorset,Gillingham,Blackmoor Vale
BH20 7JH,Yes,50.769465,-2.208328,385405,96674,SY854966,1/1/1980 12:00:00 AM,,75,17,5,Wool,9.8,,,,Dorset,Puddletown & Lower Winterborne,
BH21 2YA,No,50.871487,-1.944523,404000,108000,SU040079,12/1/1998 12:00:00 AM,12/1/1999 12:00:00 AM,50,,,Branksome,16.2,,,,Dorset,Cranborne & Alderholt,
BH21 5AE,Yes,50.889203,-1.967256,402400,109969,SU023099,1/1/1980 12:00:00 AM,,57,14,3,Branksome,18.3,,Bournemouth Water,,Dorset,Cranborne & Alderholt,
BH21 5AG,Yes,50.855538,-2.015206,399026,106225,ST990062,1/1/1980 12:00:00 AM,,32,16,7,Hamworthy,14.5,,Bournemouth Water,,Dorset,Cranborne Chase,
BH21 5AH,Yes,50.855385,-2.018261,398811,106208,ST988062,1/1/1980 12:00:00 AM,,42,34,15,Hamworthy,14.5,,Bournemouth Water,,Dorset,Cranborne Chase,
BH21 5AJ,Yes,50.856931,-2.022609,398505,106380,ST985063,1/1/1980 12:00:00 AM,,61,40,19,Hamworthy,14.6,,Bournemouth Water,,Dorset,Cranborne Chase,
BH21 5AL,Yes,50.857327,-2.020854,398629,106424,ST986064,1/1/1980 12:00:00 AM,,59,8,3,Hamworthy,14.7,,Bournemouth Water,,Dorset,Cranborne Chase,
BH21 5AN,Yes,50.859656,-2.018646,398784,106683,ST987066,1/1/1980 12:00:00 AM,,62,21,10,Hamworthy,14.9,,Bournemouth Water,,Dorset,Cranborne Chase,
BH21 5AP,Yes,50.858136,-2.017239,398883,106514,ST988065,1/1/1980 12:00:00 AM,,45,23,12,Hamworthy,14.8,,Bournemouth Water,,Dorset,Cranborne Chase,
BH21 5AQ,No,50.854414,-2.016087,398964,106100,ST989061,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,31,,,Hamworthy,14.4,,,,Dorset,Cranborne Chase,
BH21 5AR,Yes,50.859611,-2.015634,398996,106678,ST989066,1/1/1980 12:00:00 AM,,40,30,16,Hamworthy,14.9,,Bournemouth Water,,Dorset,Cranborne Chase,
BH21 5AS,Yes,50.859674,-2.016756,398917,106685,ST989066,1/1/1980 12:00:00 AM,,48,7,4,Hamworthy,14.9,,Bournemouth Water,,Dorset,Cranborne Chase,
BH21 5AT,Yes,50.859432,-2.015854,398981,106658,ST989066,1/1/1980 12:00:00 AM,,42,3,2,Hamworthy,14.9,,Bournemouth Water,,Dorset,Cranborne Chase,
