Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BT16 0TY,No,54.620857,-5.777756,156218,531639,NW562316,12/1/1984 12:00:00 AM,6/1/1998 12:00:00 AM,149,,,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT16 0UA,No,54.623054,-5.779959,156089,531891,NW560318,12/1/1984 12:00:00 AM,6/1/1998 12:00:00 AM,148,,,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT16 0UB,No,54.620189,-5.775624,156352,531558,NW563315,12/1/1984 12:00:00 AM,6/1/1998 12:00:00 AM,144,,,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT16 1TY,Yes,54.620802,-5.777728,156220,531633,NW562316,6/1/1998 12:00:00 AM,,149,35,12,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT16 1UA,Yes,54.622680,-5.780165,156074,531850,NW560318,6/1/1998 12:00:00 AM,,150,28,9,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT16 1UB,Yes,54.620187,-5.775562,156356,531557,NW563315,6/1/1998 12:00:00 AM,,144,,,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AA,Yes,54.646353,-5.817562,153804,534613,NW538346,12/1/1984 12:00:00 AM,,32,15,5,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AB,Yes,54.646748,-5.816998,153843,534655,NW538346,12/1/1984 12:00:00 AM,,31,19,9,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AD,Yes,54.647973,-5.818188,153773,534796,NW537347,12/1/1984 12:00:00 AM,,26,40,17,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AE,Yes,54.649233,-5.816819,153869,534931,NW538349,12/1/1984 12:00:00 AM,,29,76,26,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AF,Yes,54.648832,-5.817491,153823,534889,NW538348,11/1/2022 12:00:00 AM,,27,,,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AG,Yes,54.648431,-5.818179,153777,534846,NW537348,12/1/1984 12:00:00 AM,,26,8,5,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AH,Yes,54.647099,-5.817553,153809,534696,NW538346,12/1/1984 12:00:00 AM,,29,15,5,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AJ,Yes,54.646972,-5.819496,153683,534689,NW536346,12/1/1984 12:00:00 AM,,25,18,9,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AL,Yes,54.648091,-5.820258,153640,534816,NW536348,12/1/1984 12:00:00 AM,,21,56,21,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AN,Yes,54.647094,-5.821272,153569,534709,NW535347,12/1/1984 12:00:00 AM,,17,30,11,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AP,Yes,54.650278,-5.822434,153513,535067,NW535350,12/1/1984 12:00:00 AM,,8,18,6,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AQ,Yes,54.648254,-5.817832,153798,534826,NW537348,12/1/1984 12:00:00 AM,,26,,,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AR,Yes,54.651282,-5.818336,153784,535164,NW537351,12/1/1984 12:00:00 AM,,18,51,20,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AS,Yes,54.653459,-5.812981,154142,535387,NW541353,12/1/1984 12:00:00 AM,,21,44,18,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AT,Yes,54.652650,-5.809476,154363,535285,NW543352,12/1/1984 12:00:00 AM,,30,56,19,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AU,Yes,54.652367,-5.805277,154632,535239,NW546352,12/1/1984 12:00:00 AM,,39,11,3,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AW,Yes,54.647608,-5.822344,153503,534770,NW535347,12/1/1984 12:00:00 AM,,13,36,19,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AX,Yes,54.654157,-5.811363,154251,535459,NW542354,12/1/1984 12:00:00 AM,,21,,,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AY,Yes,54.652717,-5.815687,153963,535314,NW539353,12/1/1984 12:00:00 AM,,18,20,7,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0AZ,Yes,54.650896,-5.812887,154133,535102,NW541351,12/1/1984 12:00:00 AM,,33,29,11,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0BA,Yes,54.648933,-5.813643,154072,534886,NW540348,12/1/1984 12:00:00 AM,,34,14,6,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0BB,Yes,54.654932,-5.812933,154154,535551,NW541355,12/1/1984 12:00:00 AM,,8,84,20,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0BD,Yes,54.648343,-5.815286,153963,534827,NW539348,12/1/1984 12:00:00 AM,,32,20,7,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0BE,Yes,54.649548,-5.814369,154029,534957,NW540349,4/1/1985 12:00:00 AM,,31,25,9,,,,Northern Ireland Water,,Ards and North Down,Cultra,
BT18 0BF,No,54.645210,-5.820458,153610,534496,NW536344,1/1/1993 12:00:00 AM,6/1/1998 12:00:00 AM,27,,,,,,Northern Ireland Water,,Ards and North Down,Cultra,
