Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DE4 5FT,Yes,53.144326,-1.500736,433492,360914,SK334609,1/1/1980 12:00:00 AM,,275,13,5,Matlock,3.9,,Severn Trent,,North East Derbyshire,Ashover,Wingerworth and Shirland
DE4 5GF,Yes,53.134769,-1.494105,433943,359854,SK339598,6/1/2017 12:00:00 AM,,266,,,Matlock,4.3,,Severn Trent,,North East Derbyshire,Ashover,Wingerworth and Shirland
DE4 5LH,Yes,53.176210,-1.538862,430919,364444,SK309644,1/1/1980 12:00:00 AM,,301,5,3,Matlock,4.4,,Severn Trent,,North East Derbyshire,Ashover,Wingerworth and Shirland
DE4 5PW,Yes,53.134536,-1.490117,434210,359830,SK342598,7/1/2017 12:00:00 AM,,310,,,Matlock,4.6,,Severn Trent,,North East Derbyshire,Ashover,Wingerworth and Shirland
DE5 6DB,No,53.125598,-1.472965,435365,358844,SK353588,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,241,,,Whatstandwell,5.1,,,,North East Derbyshire,Ashover,Wingerworth and Shirland
DE55 6DB,Yes,53.124361,-1.477700,435049,358704,SK350587,8/1/1992 12:00:00 AM,,246,21,8,Whatstandwell,4.9,,Severn Trent,,North East Derbyshire,Ashover,Wingerworth and Shirland
DE55 6ER,Yes,53.129243,-1.481990,434758,359245,SK347592,9/1/2012 12:00:00 AM,,285,,,Cromford,4.8,,Severn Trent,,North East Derbyshire,Ashover,Wingerworth and Shirland
S1 1DQ,No,53.315885,-1.318494,445500,380100,SK455801,4/1/1985 12:00:00 AM,5/1/1994 12:00:00 AM,97,,,Kiveton Bridge,4.4,Killamarsh,,,North East Derbyshire,Killamarsh West,Eckington and Killamarsh
S12 3XA,No,53.338295,-1.408097,439510,382540,SK395825,1/1/1980 12:00:00 AM,6/1/2012 12:00:00 AM,179,2,1,Woodhouse,4.4,,Severn Trent,,North East Derbyshire,Ridgeway & Marsh Lane,Eckington and Killamarsh
S12 3XD,Yes,53.335279,-1.414431,439091,382201,SK390822,1/1/1980 12:00:00 AM,,167,25,7,Woodhouse,4.9,,Severn Trent,Yorkshire Water,North East Derbyshire,Ridgeway & Marsh Lane,Eckington and Killamarsh
S12 3XF,Yes,53.333833,-1.392917,440525,382052,SK405820,1/1/1980 12:00:00 AM,,174,153,59,Woodhouse,4.1,Highlane,Severn Trent,Yorkshire Water,North East Derbyshire,Ridgeway & Marsh Lane,Eckington and Killamarsh
S12 3XJ,Yes,53.334331,-1.395357,440362,382106,SK403821,1/1/1980 12:00:00 AM,,177,43,16,Woodhouse,4.1,Highlane,Severn Trent,Yorkshire Water,North East Derbyshire,Ridgeway & Marsh Lane,Eckington and Killamarsh
S12 3XN,Yes,53.333907,-1.394987,440387,382059,SK403820,1/1/1980 12:00:00 AM,,172,52,20,Woodhouse,4.1,Highlane,Severn Trent,Yorkshire Water,North East Derbyshire,Ridgeway & Marsh Lane,Eckington and Killamarsh
S12 3XP,Yes,53.333444,-1.395760,440336,382007,SK403820,1/1/1980 12:00:00 AM,,168,77,35,Woodhouse,4.2,Highlane,Severn Trent,,North East Derbyshire,Ridgeway & Marsh Lane,Eckington and Killamarsh
S12 3XR,Yes,53.329934,-1.396680,440278,381616,SK402816,1/1/1980 12:00:00 AM,,155,112,51,Woodhouse,4.6,Ridgeway,Severn Trent,,North East Derbyshire,Ridgeway & Marsh Lane,Eckington and Killamarsh
S12 3XS,Yes,53.330945,-1.397552,440219,381728,SK402817,1/1/1980 12:00:00 AM,,156,46,20,Woodhouse,4.5,Ridgeway,Severn Trent,,North East Derbyshire,Ridgeway & Marsh Lane,Eckington and Killamarsh
S12 3XT,Yes,53.329031,-1.395897,440331,381516,SK403815,1/1/1980 12:00:00 AM,,153,28,13,Woodhouse,4.6,Ridgeway,Severn Trent,Yorkshire Water,North East Derbyshire,Ridgeway & Marsh Lane,Eckington and Killamarsh
S12 3XW,Yes,53.324799,-1.398360,440171,381044,SK401810,1/1/1980 12:00:00 AM,,125,97,38,Woodhouse,5.1,Ridgeway,Severn Trent,Yorkshire Water,North East Derbyshire,Ridgeway & Marsh Lane,Eckington and Killamarsh
S12 3XX,Yes,53.325667,-1.399187,440115,381140,SK401811,1/1/1980 12:00:00 AM,,127,17,5,Woodhouse,5.1,Ridgeway,Severn Trent,Yorkshire Water,North East Derbyshire,Ridgeway & Marsh Lane,Eckington and Killamarsh
S12 3XY,Yes,53.322319,-1.398439,440168,380768,SK401807,1/1/1995 12:00:00 AM,,105,7,3,Dronfield,5.2,Ridgeway,Severn Trent,Yorkshire Water,North East Derbyshire,Ridgeway & Marsh Lane,Eckington and Killamarsh
S12 3XZ,Yes,53.330478,-1.395967,440325,381677,SK403816,7/1/2017 12:00:00 AM,,153,,,Woodhouse,4.5,Ridgeway,,,North East Derbyshire,Ridgeway & Marsh Lane,Eckington and Killamarsh
S12 3YA,Yes,53.324617,-1.402955,439865,381021,SK398810,1/1/1980 12:00:00 AM,,101,35,14,Dronfield,5.1,Ridgeway,Severn Trent,Yorkshire Water,North East Derbyshire,Ridgeway & Marsh Lane,Eckington and Killamarsh
S12 3YB,No,53.323437,-1.400976,439998,380891,SK399808,6/1/2002 12:00:00 AM,4/1/2003 12:00:00 AM,104,,,Dronfield,5.1,,,,North East Derbyshire,Ridgeway & Marsh Lane,Eckington and Killamarsh
S12 3YD,Yes,53.319535,-1.398778,440148,380458,SK401804,1/1/1980 12:00:00 AM,,82,41,13,Dronfield,5.1,Ridgeway,Severn Trent,Yorkshire Water,North East Derbyshire,Ridgeway & Marsh Lane,Eckington and Killamarsh
