Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DD6 8AA,Yes,56.440072,-2.941802,342029,727941,NO420279,9/1/1984 12:00:00 AM,,10,18,16,Dundee,2.6,Newport-on-Tay,Scottish Water,,Fife,Tay Bridgehead,
DD6 8AB,Yes,56.439495,-2.942064,342012,727877,NO420278,1/1/1980 12:00:00 AM,,12,6,3,Dundee,2.6,Newport-on-Tay,Scottish Water,,Fife,Tay Bridgehead,
DD6 8AD,Yes,56.439688,-2.941423,342052,727898,NO420278,1/1/1980 12:00:00 AM,,14,10,6,Dundee,2.6,Newport-on-Tay,Scottish Water,,Fife,Tay Bridgehead,
DD6 8AE,Yes,56.440067,-2.941222,342065,727940,NO420279,1/1/1980 12:00:00 AM,,15,0,0,Dundee,2.6,Newport-on-Tay,Scottish Water,,Fife,Tay Bridgehead,
DD6 8AF,Yes,56.440249,-2.940963,342081,727960,NO420279,1/1/1980 12:00:00 AM,,16,2,2,Dundee,2.6,Newport-on-Tay,Scottish Water,,Fife,Tay Bridgehead,
DD6 8AG,Yes,56.440582,-2.940809,342091,727997,NO420279,1/1/1980 12:00:00 AM,,16,16,5,Dundee,2.6,Newport-on-Tay,Scottish Water,,Fife,Tay Bridgehead,
DD6 8AH,Yes,56.440254,-2.940298,342122,727960,NO421279,11/1/1991 12:00:00 AM,,21,1,1,Dundee,2.6,Newport-on-Tay,Scottish Water,,Fife,Tay Bridgehead,
DD6 8AJ,Yes,56.440601,-2.939545,342169,727998,NO421279,1/1/1980 12:00:00 AM,,30,20,10,Dundee,2.6,Newport-on-Tay,Scottish Water,,Fife,Tay Bridgehead,
DD6 8AL,Yes,56.441438,-2.940555,342108,728092,NO421280,1/1/1980 12:00:00 AM,,16,17,7,Dundee,2.5,Newport-on-Tay,Scottish Water,,Fife,Tay Bridgehead,
DD6 8AN,Yes,56.442638,-2.939838,342154,728225,NO421282,1/1/1980 12:00:00 AM,,18,18,8,Dundee,2.5,Newport-on-Tay,Scottish Water,,Fife,Tay Bridgehead,
DD6 8AP,Yes,56.444108,-2.937960,342272,728387,NO422283,1/1/1980 12:00:00 AM,,20,38,14,Dundee,2.5,Newport-on-Tay,Scottish Water,,Fife,Tay Bridgehead,
DD6 8AQ,Yes,56.444301,-2.938582,342234,728409,NO422284,1/1/1980 12:00:00 AM,,13,20,9,Dundee,2.4,Newport-on-Tay,Scottish Water,,Fife,Tay Bridgehead,
DD6 8AR,Yes,56.445801,-2.936234,342381,728574,NO423285,1/1/1980 12:00:00 AM,,16,56,20,Dundee,2.5,Newport-on-Tay,Scottish Water,,Fife,Tay Bridgehead,
DD6 8AS,Yes,56.445356,-2.935688,342414,728524,NO424285,1/1/1980 12:00:00 AM,,24,20,9,Dundee,2.5,Newport-on-Tay,Scottish Water,,Fife,Tay Bridgehead,
DD6 8AT,Yes,56.445328,-2.934698,342475,728520,NO424285,1/1/1980 12:00:00 AM,,32,47,15,Dundee,2.6,Newport-on-Tay,Scottish Water,,Fife,Tay Bridgehead,
DD6 8AU,Yes,56.444700,-2.935724,342411,728451,NO424284,1/1/1980 12:00:00 AM,,29,7,3,Dundee,2.5,Newport-on-Tay,Scottish Water,,Fife,Tay Bridgehead,
DD6 8AW,Yes,56.445154,-2.933898,342524,728500,NO425285,1/1/1980 12:00:00 AM,,38,40,15,Dundee,2.6,Newport-on-Tay,Scottish Water,,Fife,Tay Bridgehead,
DD6 8AX,Yes,56.444659,-2.934016,342516,728445,NO425284,1/1/1980 12:00:00 AM,,40,12,4,Dundee,2.6,Newport-on-Tay,Scottish Water,,Fife,Tay Bridgehead,
