Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
GU10 5AE,Yes,51.236012,-0.826186,482045,149191,SU820491,1/1/1980 12:00:00 AM,,183,2,1,Farnham,3.6,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5AF,Yes,51.234374,-0.824294,482180,149011,SU821490,1/1/1980 12:00:00 AM,,173,4,2,Farnham,3.3,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5AG,Yes,51.237886,-0.829092,481839,149396,SU818493,1/1/1980 12:00:00 AM,,185,14,5,Farnham,3.9,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5AH,Yes,51.236349,-0.830231,481762,149224,SU817492,1/1/1980 12:00:00 AM,,179,3,2,Farnham,3.8,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5AJ,Yes,51.235093,-0.827828,481932,149087,SU819490,1/1/1980 12:00:00 AM,,176,11,4,Farnham,3.6,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5AL,Yes,51.234792,-0.831016,481710,149050,SU817490,1/1/1980 12:00:00 AM,,174,4,2,Farnham,3.7,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5AN,Yes,51.235308,-0.834970,481433,149103,SU814491,1/1/1980 12:00:00 AM,,163,4,2,Farnham,3.9,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5AP,Yes,51.234977,-0.843117,480865,149057,SU808490,1/1/1980 12:00:00 AM,,116,12,3,Farnham,4.4,Ewshot,South East Water,Thames Water,Hart,Odiham,Odiham & Hook
GU10 5AQ,Yes,51.237070,-0.833135,481558,149301,SU815493,1/1/1980 12:00:00 AM,,177,4,1,Farnham,4.0,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5AR,Yes,51.235966,-0.847719,480542,149162,SU805491,1/1/1980 12:00:00 AM,,111,9,4,Farnham,4.7,,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5AS,Yes,51.237237,-0.838047,481215,149314,SU812493,1/1/1980 12:00:00 AM,,155,33,13,Farnham,4.2,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5AT,Yes,51.236836,-0.837470,481256,149270,SU812492,1/1/1980 12:00:00 AM,,153,24,12,Farnham,4.2,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5AU,Yes,51.237829,-0.835336,481403,149383,SU814493,1/1/1980 12:00:00 AM,,164,15,5,Farnham,4.1,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5AW,Yes,51.234287,-0.843392,480847,148980,SU808489,1/1/1980 12:00:00 AM,,115,56,20,Farnham,4.3,Ewshot,South East Water,Thames Water,Hart,Odiham,Odiham & Hook
GU10 5AX,Yes,51.240423,-0.840072,481068,149666,SU810496,1/1/1980 12:00:00 AM,,131,2,1,Farnham,4.6,,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5AY,Yes,51.241573,-0.848350,480488,149785,SU804497,1/1/1980 12:00:00 AM,,104,8,5,Farnham,5.1,,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5BA,Yes,51.244070,-0.848806,480452,150062,SU804500,1/1/1980 12:00:00 AM,,97,1,1,Farnham,5.3,,South East Water,Thames Water,Hart,Odiham,Odiham & Hook
GU10 5BB,Yes,51.245135,-0.849238,480420,150180,SU804501,1/1/1980 12:00:00 AM,,94,9,2,Fleet,5.2,,South East Water,Thames Water,Hart,Odiham,Odiham & Hook
GU10 5BD,Yes,51.240199,-0.832958,481565,149649,SU815496,1/1/1980 12:00:00 AM,,165,100,38,Farnham,4.2,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5BE,Yes,51.240223,-0.831769,481648,149653,SU816496,1/1/1980 12:00:00 AM,,171,48,18,Farnham,4.2,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5BG,Yes,51.244957,-0.832262,481605,150179,SU816501,1/1/1980 12:00:00 AM,,132,5,2,Farnham,4.6,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5BH,Yes,51.244562,-0.832218,481609,150135,SU816501,1/1/1980 12:00:00 AM,,130,5,3,Farnham,4.6,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5BJ,Yes,51.243683,-0.831581,481655,150038,SU816500,1/1/1980 12:00:00 AM,,138,42,18,Farnham,4.5,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5BL,Yes,51.234255,-0.833035,481570,148988,SU815489,1/1/1980 12:00:00 AM,,171,19,8,Farnham,3.8,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5BN,Yes,51.243112,-0.831953,481630,149974,SU816499,1/1/1980 12:00:00 AM,,142,17,11,Farnham,4.4,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5BP,Yes,51.245723,-0.837704,481224,150258,SU812502,1/1/1980 12:00:00 AM,,113,21,8,Farnham,4.9,,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5BQ,Yes,51.244647,-0.832659,481578,150144,SU815501,1/1/1980 12:00:00 AM,,130,8,3,Farnham,4.6,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5BS,Yes,51.247218,-0.845188,480699,150416,SU806504,1/1/1980 12:00:00 AM,,106,11,6,Fleet,4.9,,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5BT,Yes,51.253588,-0.843880,480779,151126,SU807511,1/1/1980 12:00:00 AM,,91,6,3,Fleet,4.2,Fleet,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5BU,Yes,51.248312,-0.825990,482037,150559,SU820505,1/1/1980 12:00:00 AM,,137,3,2,Aldershot,4.6,,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5BW,Yes,51.242568,-0.830592,481726,149915,SU817499,1/1/1980 12:00:00 AM,,149,36,15,Farnham,4.3,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5BX,Yes,51.245148,-0.831472,481660,150201,SU816502,1/1/1980 12:00:00 AM,,133,22,9,Farnham,4.6,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5BY,Yes,51.251156,-0.824442,482140,150877,SU821508,1/1/1980 12:00:00 AM,,126,13,4,Fleet,4.4,,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5BZ,Yes,51.246831,-0.824423,482149,150396,SU821503,1/1/1980 12:00:00 AM,,155,26,8,Farnham,4.5,,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5DA,No,51.251253,-0.813549,482900,150900,SU829508,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,108,,,Aldershot,3.8,,,,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5DB,Yes,51.237351,-0.826899,481993,149339,SU819493,6/1/1981 12:00:00 AM,,186,33,0,Farnham,3.7,Ewshot,South East Water,Thames Water,Hart,Crookham West and Ewshot,Church Crookham & Ewshot
GU10 5DD,Yes,51.247076,-0.878776,478355,150364,SU783503,11/1/2009 12:00:00 AM,,78,5,1,Winchfield,4.6,,South East Water,Thames Water,Hart,Odiham,Hartley Wintney & Yateley West
GU10 5DE,Yes,51.249813,-0.875328,478591,150672,SU785506,2/1/2012 12:00:00 AM,,79,,,Winchfield,4.5,,South East Water,Thames Water,Hart,Odiham,Odiham & Hook
