Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
HR1 1AB,Yes,52.075382,-2.711528,351331,242130,SO513421,5/1/2012 12:00:00 AM,,70,,,Hereford,1.6,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1AD,Yes,52.068542,-2.703746,351857,241364,SO518413,8/1/2008 12:00:00 AM,,77,201,84,Hereford,0.9,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1AE,Yes,52.076063,-2.711904,351306,242206,SO513422,7/1/2013 12:00:00 AM,,69,,,Hereford,1.7,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1AF,Yes,52.076278,-2.710492,351403,242229,SO514422,12/1/2013 12:00:00 AM,,68,,,Hereford,1.7,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1AG,Yes,52.069103,-2.698518,352216,241423,SO522414,1/1/2015 12:00:00 AM,,73,,,Hereford,1.1,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1AH,Yes,52.071309,-2.705570,351735,241673,SO517416,10/1/1987 12:00:00 AM,,60,87,37,Hereford,1.1,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1AJ,Yes,52.071137,-2.705800,351719,241654,SO517416,10/1/1987 12:00:00 AM,,61,23,10,Hereford,1.1,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1AL,Yes,52.071269,-2.704723,351793,241668,SO517416,10/1/1987 12:00:00 AM,,60,57,21,Hereford,1.1,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1AN,Yes,52.071281,-2.702651,351935,241668,SO519416,10/1/1987 12:00:00 AM,,59,71,30,Hereford,1.2,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1AP,Yes,52.070469,-2.706242,351688,241580,SO516415,10/1/1987 12:00:00 AM,,65,42,16,Hereford,1.0,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1AQ,Yes,52.065984,-2.696937,352321,241075,SO523410,3/1/2011 12:00:00 AM,,80,,,Hereford,0.9,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1AR,Yes,52.070518,-2.705455,351742,241585,SO517415,10/1/1987 12:00:00 AM,,64,29,14,Hereford,1.1,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1AS,Yes,52.069436,-2.705978,351705,241465,SO517414,10/1/1987 12:00:00 AM,,71,15,6,Hereford,0.9,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1AW,Yes,52.070065,-2.706119,351696,241535,SO516415,10/1/1987 12:00:00 AM,,67,46,28,Hereford,1.0,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1AX,Yes,52.053057,-2.676640,353699,239624,SO536396,4/1/1986 12:00:00 AM,,62,62,29,Hereford,2.3,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Backbury,
HR1 1DF,Yes,52.063915,-2.700072,352104,240847,SO521408,1/1/1980 12:00:00 AM,,88,,,Hereford,0.6,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1DG,Yes,52.065792,-2.701953,351977,241057,SO519410,1/1/1980 12:00:00 AM,,85,7,5,Hereford,0.7,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1DP,Yes,52.067238,-2.703726,351857,241219,SO518412,1/1/1980 12:00:00 AM,,84,8,4,Hereford,0.7,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1DR,No,52.067071,-2.703096,351900,241200,SO518411,2/1/1984 12:00:00 AM,5/1/1994 12:00:00 AM,85,,,Hereford,0.7,Hereford,,,"Herefordshire, County of",Holmer,
HR1 1DS,Yes,52.067195,-2.701989,351976,241213,SO519412,1/1/1980 12:00:00 AM,,84,85,44,Hereford,0.8,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1DT,Yes,52.066769,-2.703953,351841,241167,SO518411,1/1/1980 12:00:00 AM,,83,108,22,Hereford,0.7,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1DX,Yes,52.065381,-2.701494,352008,241011,SO520410,4/1/1987 12:00:00 AM,,86,20,15,Hereford,0.7,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1DY,No,52.067961,-2.704569,351800,241300,SO517412,8/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,80,,,Hereford,0.8,Hereford,,,"Herefordshire, County of",Holmer,
HR1 1EA,Yes,52.075593,-2.716799,350970,242157,SO509421,7/1/1995 12:00:00 AM,,72,36,13,Hereford,1.7,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1EX,Yes,52.072239,-2.712311,351274,241781,SO512417,1/1/1980 12:00:00 AM,,70,38,23,Hereford,1.3,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1FA,Yes,52.077869,-2.713481,351200,242408,SO511424,12/1/2015 12:00:00 AM,,58,,,Hereford,1.9,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1FB,Yes,52.055623,-2.679159,353529,239911,SO535399,8/1/2016 12:00:00 AM,,73,,,Hereford,2.1,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Backbury,
HR1 1FD,Yes,52.055520,-2.679858,353481,239900,SO534399,3/1/2019 12:00:00 AM,,68,,,Hereford,2.0,Hereford,,,"Herefordshire, County of",Backbury,
HR1 1FE,Yes,52.055082,-2.679384,353513,239851,SO535398,11/1/2018 12:00:00 AM,,67,,,Hereford,2.1,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Backbury,
HR1 1FF,Yes,52.054877,-2.679119,353531,239828,SO535398,7/1/2018 12:00:00 AM,,66,,,Hereford,2.1,Hereford,,,"Herefordshire, County of",Backbury,
HR1 1FG,Yes,52.056609,-2.679641,353497,240021,SO534400,4/1/2017 12:00:00 AM,,68,,,Hereford,2.0,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Backbury,
HR1 1FH,Yes,52.056920,-2.680200,353459,240056,SO534400,5/1/2017 12:00:00 AM,,70,,,Hereford,2.0,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Backbury,
HR1 1FJ,Yes,52.059520,-2.681508,353372,240346,SO533403,5/1/2017 12:00:00 AM,,68,,,Hereford,1.8,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Backbury,
HR1 1FL,Yes,52.075574,-2.721279,350663,242158,SO506421,8/1/2018 12:00:00 AM,,73,,,Hereford,1.8,Hereford,,,"Herefordshire, County of",Holmer,
HR1 1FQ,No,52.071999,-2.707376,351612,241751,SO516417,9/1/2023 12:00:00 AM,1/1/2024 12:00:00 AM,66,,,Hereford,1.2,Hereford,,,"Herefordshire, County of",Holmer,
HR1 1FR,Yes,52.073087,-2.704460,351813,241870,SO518418,12/1/2021 12:00:00 AM,,60,,,Hereford,1.3,Hereford,,,"Herefordshire, County of",Holmer,
HR1 1GB,Yes,52.075590,-2.711328,351345,242153,SO513421,5/1/2011 12:00:00 AM,,69,,,Hereford,1.6,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1GD,Yes,52.075242,-2.710826,351379,242114,SO513421,5/1/2011 12:00:00 AM,,71,,,Hereford,1.6,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1GE,Yes,52.074721,-2.710818,351379,242056,SO513420,5/1/2011 12:00:00 AM,,71,,,Hereford,1.5,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1GF,Yes,52.077065,-2.711263,351351,242317,SO513423,8/1/2014 12:00:00 AM,,68,,,Hereford,1.8,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1GG,Yes,52.077218,-2.709778,351453,242333,SO514423,6/1/2015 12:00:00 AM,,66,,,Hereford,1.8,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1GH,Yes,52.076177,-2.709352,351481,242217,SO514422,10/1/2015 12:00:00 AM,,66,,,Hereford,1.7,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1GJ,Yes,52.075471,-2.713179,351218,242141,SO512421,6/1/2012 12:00:00 AM,,72,,,Hereford,1.6,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1GL,Yes,52.076247,-2.714096,351156,242228,SO511422,7/1/2013 12:00:00 AM,,72,,,Hereford,1.7,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1GN,Yes,52.076155,-2.711482,351335,242216,SO513422,5/1/2013 12:00:00 AM,,68,,,Hereford,1.7,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1GP,Yes,52.076593,-2.711942,351304,242265,SO513422,10/1/2011 12:00:00 AM,,69,,,Hereford,1.7,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1GQ,Yes,52.076455,-2.712567,351261,242250,SO512422,4/1/2012 12:00:00 AM,,70,,,Hereford,1.7,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1GR,Yes,52.075796,-2.712892,351238,242177,SO512421,7/1/2013 12:00:00 AM,,71,,,Hereford,1.7,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1GS,Yes,52.076272,-2.709952,351440,242228,SO514422,7/1/2015 12:00:00 AM,,67,,,Hereford,1.7,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1GT,Yes,52.076212,-2.712519,351264,242223,SO512422,6/1/2014 12:00:00 AM,,70,,,Hereford,1.7,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1GX,Yes,52.076967,-2.718528,350853,242311,SO508423,5/1/2006 12:00:00 AM,,78,6,3,Hereford,1.9,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1HU,Yes,52.073685,-2.706730,351658,241938,SO516419,2/1/1990 12:00:00 AM,,65,,,Hereford,1.4,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1HX,Yes,52.064777,-2.698757,352195,240942,SO521409,1/1/1980 12:00:00 AM,,85,30,15,Hereford,0.8,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1JD,Yes,52.066046,-2.695552,352416,241081,SO524410,1/1/1980 12:00:00 AM,,76,24,10,Hereford,1.0,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1JE,Yes,52.066081,-2.700279,352092,241088,SO520410,1/1/1980 12:00:00 AM,,86,68,29,Hereford,0.8,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1JF,Yes,52.067566,-2.700011,352112,241253,SO521412,1/1/1980 12:00:00 AM,,84,42,22,Hereford,0.9,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1JH,Yes,52.065489,-2.699993,352111,241022,SO521410,1/1/1980 12:00:00 AM,,87,30,16,Hereford,0.7,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1JJ,Yes,52.069449,-2.696394,352362,241460,SO523414,1/1/1980 12:00:00 AM,,60,108,43,Hereford,1.2,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1JL,Yes,52.073340,-2.698102,352249,241894,SO522418,1/1/1980 12:00:00 AM,,56,25,9,Hereford,1.5,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1JN,Yes,52.074182,-2.704740,351795,241992,SO517419,1/1/1980 12:00:00 AM,,64,8,3,Hereford,1.5,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1JP,Yes,52.074347,-2.707266,351622,242012,SO516420,1/1/1980 12:00:00 AM,,67,12,5,Hereford,1.5,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1JQ,No,52.073156,-2.701980,351983,241876,SO519418,2/1/1990 12:00:00 AM,2/1/2012 12:00:00 AM,56,,,Hereford,1.4,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1JR,Yes,52.071614,-2.708654,351524,241709,SO515417,1/1/1980 12:00:00 AM,,67,1,1,Hereford,1.2,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1JS,Yes,52.072596,-2.703855,351854,241815,SO518418,1/1/1980 12:00:00 AM,,59,9,2,Hereford,1.3,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1JT,Yes,52.072666,-2.701156,352039,241821,SO520418,2/1/1990 12:00:00 AM,,56,,,Hereford,1.4,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1JU,Yes,52.066495,-2.698710,352200,241133,SO522411,11/1/2010 12:00:00 AM,,85,2,1,Hereford,0.9,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1JW,Yes,52.074487,-2.707794,351586,242028,SO515420,1/1/1980 12:00:00 AM,,68,15,4,Hereford,1.5,Hereford,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
HR1 1JX,Yes,52.075745,-2.698855,352200,242162,SO521421,3/1/2006 12:00:00 AM,,61,11,4,Hereford,1.7,,Dwr Cymru Welsh Water,,"Herefordshire, County of",Holmer,
