Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
NE19 1AA,Yes,55.233101,-2.102991,393548,593215,NY935932,1/1/1980 12:00:00 AM,,171,53,22,Morpeth,27.8,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1AB,Yes,55.234829,-2.100307,393719,593407,NY937934,1/1/1980 12:00:00 AM,,174,12,6,Morpeth,27.7,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1AD,Yes,55.232097,-2.100725,393692,593103,NY936931,1/1/1980 12:00:00 AM,,165,49,19,Morpeth,27.6,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1AE,Yes,55.234172,-2.115173,392773,593335,NY927933,1/1/1980 12:00:00 AM,,184,4,2,Morpeth,28.5,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1AH,Yes,55.258844,-2.126652,392048,596082,NY920960,1/1/1980 12:00:00 AM,,233,4,2,Morpeth,30.1,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1AJ,Yes,55.263637,-2.111064,393040,596614,NY930966,1/1/1980 12:00:00 AM,,272,2,1,Morpeth,29.4,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1AL,Yes,55.266489,-2.100018,393742,596930,NY937969,1/1/1980 12:00:00 AM,,191,10,3,Acklington,28.7,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1AN,Yes,55.277920,-2.094450,394098,598202,NY940982,1/1/1980 12:00:00 AM,,234,9,4,Acklington,28.2,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1AP,Yes,55.268666,-2.084664,394718,597171,NY947971,1/1/1980 12:00:00 AM,,152,4,3,Acklington,27.7,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1AR,No,55.249782,-2.088484,394473,595070,NY944950,1/1/1980 12:00:00 AM,6/1/2009 12:00:00 AM,211,,,Morpeth,27.5,,,,Northumberland,Rothbury,
NE19 1AS,Yes,55.253037,-2.089161,394430,595432,NY944954,1/1/1980 12:00:00 AM,,211,5,2,Morpeth,27.6,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1AW,No,55.292787,-2.100611,393709,599857,NY937998,1/1/1980 12:00:00 AM,3/1/2002 12:00:00 AM,241,,,Acklington,28.4,,,,Northumberland,Rothbury,
NE19 1AX,Yes,55.231315,-2.101336,393653,593016,NY936930,3/1/1988 12:00:00 AM,,164,12,6,Morpeth,27.6,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1AY,No,55.233066,-2.102960,393550,593211,NY935932,3/1/2005 12:00:00 AM,2/1/2006 12:00:00 AM,171,,,Morpeth,27.8,,,,Northumberland,Rothbury,
NE19 1AZ,Yes,55.232613,-2.106874,393301,593161,NY933931,10/1/2008 12:00:00 AM,,165,10,4,Morpeth,28.0,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1BD,Yes,55.228756,-2.119079,392524,592733,NY925927,8/1/2011 12:00:00 AM,,166,,,Hexham,28.4,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1BH,Yes,55.231538,-2.103113,393540,593041,NY935930,1/1/1980 12:00:00 AM,,164,15,7,Morpeth,27.7,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1BJ,Yes,55.229437,-2.100844,393684,592807,NY936928,1/1/1980 12:00:00 AM,,161,2,1,Morpeth,27.5,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1BL,Yes,55.216140,-2.118727,392544,591329,NY925913,1/1/1980 12:00:00 AM,,189,16,5,Hexham,27.0,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1BN,Yes,55.210010,-2.104983,393417,590645,NY934906,1/1/1980 12:00:00 AM,,257,5,2,Hexham,26.3,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1BP,Yes,55.220778,-2.096986,393928,591843,NY939918,1/1/1980 12:00:00 AM,,244,4,1,Morpeth,27.0,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1BS,Yes,55.226957,-2.088827,394448,592530,NY944925,1/1/1980 12:00:00 AM,,197,7,4,Morpeth,26.7,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1BT,Yes,55.227638,-2.064067,396023,592604,NY960926,1/1/1980 12:00:00 AM,,246,,,Morpeth,25.2,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1BU,Yes,55.233476,-2.051655,396813,593253,NY968932,1/1/1980 12:00:00 AM,,244,,,Morpeth,24.7,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1BW,Yes,55.216217,-2.106665,393311,591336,NY933913,1/1/1980 12:00:00 AM,,227,,,Hexham,27.0,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1BX,Yes,55.231613,-2.073193,395443,593047,NY954930,1/1/1980 12:00:00 AM,,179,2,1,Morpeth,25.9,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1BY,Yes,55.235362,-2.085229,394678,593465,NY946934,1/1/1980 12:00:00 AM,,189,9,4,Morpeth,26.8,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1BZ,Yes,55.242034,-2.083050,394817,594207,NY948942,1/1/1980 12:00:00 AM,,197,1,1,Morpeth,26.9,,Northumbrian Water,,Northumberland,Rothbury,
NE19 1ND,Yes,55.219685,-2.139502,391223,591726,NY912917,1/1/1980 12:00:00 AM,,168,4,3,Hexham,27.5,,Northumbrian Water,,Northumberland,Rothbury,
NE19 2RJ,Yes,55.194495,-2.069072,395701,588916,NY957889,1/1/1980 12:00:00 AM,,287,9,4,Hexham,24.6,,Northumbrian Water,,Northumberland,Rothbury,
NE48 2TU,Yes,55.191116,-2.160284,389893,588549,NY898885,1/1/1980 12:00:00 AM,,239,24,10,Hexham,24.5,,Northumbrian Water,,Northumberland,Rothbury,
NE61 1AA,Yes,55.167861,-1.691947,419722,585993,NZ197859,6/1/2000 12:00:00 AM,,31,,,Morpeth,0.8,Morpeth,Northumbrian Water,,Northumberland,Morpeth North,
NE61 1AB,No,55.165201,-1.681325,420400,585700,NZ204857,1/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,32,,,Morpeth,0.3,Morpeth,,,Northumberland,Morpeth North,
