Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CW3 9QW,Yes,52.992365,-2.381849,374466,343961,SJ744439,1/1/1980 12:00:00 AM,,118,21,7,Crewe,11.3,,Severn Trent,,Shropshire,Market Drayton East,
CW3 9QY,Yes,52.976222,-2.402928,373041,342173,SJ730421,3/1/2007 12:00:00 AM,,144,17,7,Nantwich,12.4,Woore,Severn Trent,,Shropshire,Market Drayton East,
CW3 9RA,Yes,52.980602,-2.383428,374353,342653,SJ743426,1/1/1980 12:00:00 AM,,136,15,7,Crewe,12.6,,Severn Trent,,Shropshire,Market Drayton East,
CW3 9RB,Yes,52.979626,-2.409245,372619,342554,SJ726425,11/1/2010 12:00:00 AM,,147,,,Nantwich,11.9,Woore,Severn Trent,,Shropshire,Market Drayton East,
CW3 9RD,Yes,52.976956,-2.382398,374420,342247,SJ744422,1/1/1980 12:00:00 AM,,134,5,1,Crewe,13.0,,Severn Trent,,Shropshire,Market Drayton East,
CW3 9RE,Yes,52.977954,-2.390523,373875,342361,SJ738423,10/1/1985 12:00:00 AM,,140,8,4,Crewe,12.7,,Severn Trent,,Shropshire,Market Drayton East,
CW3 9RF,Yes,52.973138,-2.392639,373730,341826,SJ737418,10/1/1985 12:00:00 AM,,136,31,11,Nantwich,13.1,,Severn Trent,,Shropshire,Market Drayton East,
CW3 9RG,Yes,52.969795,-2.396912,373441,341456,SJ734414,1/1/1980 12:00:00 AM,,134,25,11,Nantwich,13.2,,Severn Trent,,Shropshire,Market Drayton East,
CW3 9RH,Yes,52.981801,-2.409325,372615,342796,SJ726427,1/1/1980 12:00:00 AM,,141,15,7,Nantwich,11.7,,Severn Trent,,Shropshire,Market Drayton East,
CW3 9RJ,Yes,52.978871,-2.405842,372847,342469,SJ728424,1/1/1980 12:00:00 AM,,148,60,29,Nantwich,12.1,Woore,Severn Trent,,Shropshire,Market Drayton East,
CW3 9RL,Yes,52.980279,-2.415312,372212,342629,SJ722426,1/1/1980 12:00:00 AM,,143,23,8,Nantwich,11.6,,Severn Trent,,Shropshire,Market Drayton East,
CW3 9RN,Yes,52.981727,-2.425231,371547,342794,SJ715427,1/1/1980 12:00:00 AM,,129,36,10,Nantwich,11.0,,Severn Trent,,Shropshire,Market Drayton East,
CW3 9RP,Yes,52.966733,-2.398790,373313,341116,SJ733411,1/1/1980 12:00:00 AM,,127,7,3,Nantwich,13.4,,Severn Trent,,Shropshire,Market Drayton East,
